case	unit	budget	geometry
COL2A1+KLF1	Norman_pooled_screen	d8	0.023078322436158556
COL2A1+KLF1	Norman_pooled_screen	d16	0.011505617022088228
COL2A1+KLF1	Norman_pooled_screen	d32	0.0058005079222384097
COL2A1+KLF1	Norman_pooled_screen	d64	0.0028792466883020358
COL2A1+KLF1	Norman_pooled_screen	d128	0.0014380482443949827
COL2A1+KLF1	Norman_pooled_screen	d135	0.0013661210416796598
FOXA1+FOXL2	Norman_pooled_screen	d8	0.023078322436158556
FOXA1+FOXL2	Norman_pooled_screen	d16	0.011505617022088228
FOXA1+FOXL2	Norman_pooled_screen	d32	0.0058005079222384097
FOXA1+FOXL2	Norman_pooled_screen	d64	0.0028792466883020358
FOXA1+FOXL2	Norman_pooled_screen	d128	0.0014380482443949827
FOXA1+FOXL2	Norman_pooled_screen	d135	0.0013661210416796598
SAMD1+UBASH3B	Norman_pooled_screen	d8	0.023078322436158556
SAMD1+UBASH3B	Norman_pooled_screen	d16	0.011505617022088228
SAMD1+UBASH3B	Norman_pooled_screen	d32	0.0058005079222384097
SAMD1+UBASH3B	Norman_pooled_screen	d64	0.0028792466883020358
SAMD1+UBASH3B	Norman_pooled_screen	d128	0.0014380482443949827
SAMD1+UBASH3B	Norman_pooled_screen	d135	0.0013661210416796598
FOXA3+HOXB9	Norman_pooled_screen	d8	0.023078322436158556
FOXA3+HOXB9	Norman_pooled_screen	d16	0.011505617022088228
FOXA3+HOXB9	Norman_pooled_screen	d32	0.0058005079222384097
FOXA3+HOXB9	Norman_pooled_screen	d64	0.0028792466883020358
FOXA3+HOXB9	Norman_pooled_screen	d128	0.0014380482443949827
FOXA3+HOXB9	Norman_pooled_screen	d135	0.0013661210416796598
CNN1+UBASH3A	Norman_pooled_screen	d8	0.023078322436158556
CNN1+UBASH3A	Norman_pooled_screen	d16	0.011505617022088228
CNN1+UBASH3A	Norman_pooled_screen	d32	0.0058005079222384097
CNN1+UBASH3A	Norman_pooled_screen	d64	0.0028792466883020358
CNN1+UBASH3A	Norman_pooled_screen	d128	0.0014380482443949827
CNN1+UBASH3A	Norman_pooled_screen	d135	0.0013661210416796598
OSR2+PTPN12	Norman_pooled_screen	d8	0.023078322436158556
OSR2+PTPN12	Norman_pooled_screen	d16	0.011505617022088228
OSR2+PTPN12	Norman_pooled_screen	d32	0.0058005079222384097
OSR2+PTPN12	Norman_pooled_screen	d64	0.0028792466883020358
OSR2+PTPN12	Norman_pooled_screen	d128	0.0014380482443949827
OSR2+PTPN12	Norman_pooled_screen	d135	0.0013661210416796598
PTPN12+UBASH3A	Norman_pooled_screen	d8	0.023078322436158556
PTPN12+UBASH3A	Norman_pooled_screen	d16	0.011505617022088228
PTPN12+UBASH3A	Norman_pooled_screen	d32	0.0058005079222384097
PTPN12+UBASH3A	Norman_pooled_screen	d64	0.0028792466883020358
PTPN12+UBASH3A	Norman_pooled_screen	d128	0.0014380482443949827
PTPN12+UBASH3A	Norman_pooled_screen	d135	0.0013661210416796598
DUSP9+PRTG	Norman_pooled_screen	d8	0.023078322436158556
DUSP9+PRTG	Norman_pooled_screen	d16	0.011505617022088228
DUSP9+PRTG	Norman_pooled_screen	d32	0.0058005079222384097
DUSP9+PRTG	Norman_pooled_screen	d64	0.0028792466883020358
DUSP9+PRTG	Norman_pooled_screen	d128	0.0014380482443949827
DUSP9+PRTG	Norman_pooled_screen	d135	0.0013661210416796598
ETS2+TGFBR2	Norman_pooled_screen	d8	0.023078322436158556
ETS2+TGFBR2	Norman_pooled_screen	d16	0.011505617022088228
ETS2+TGFBR2	Norman_pooled_screen	d32	0.0058005079222384097
ETS2+TGFBR2	Norman_pooled_screen	d64	0.0028792466883020358
ETS2+TGFBR2	Norman_pooled_screen	d128	0.0014380482443949827
ETS2+TGFBR2	Norman_pooled_screen	d135	0.0013661210416796598
ETS2+IKZF3	Norman_pooled_screen	d8	0.023078322436158556
ETS2+IKZF3	Norman_pooled_screen	d16	0.011505617022088228
ETS2+IKZF3	Norman_pooled_screen	d32	0.0058005079222384097
ETS2+IKZF3	Norman_pooled_screen	d64	0.0028792466883020358
ETS2+IKZF3	Norman_pooled_screen	d128	0.0014380482443949827
ETS2+IKZF3	Norman_pooled_screen	d135	0.0013661210416796598
ELMSAN1+ZBTB10	Norman_pooled_screen	d8	0.023078322436158556
ELMSAN1+ZBTB10	Norman_pooled_screen	d16	0.011505617022088228
ELMSAN1+ZBTB10	Norman_pooled_screen	d32	0.0058005079222384097
ELMSAN1+ZBTB10	Norman_pooled_screen	d64	0.0028792466883020358
ELMSAN1+ZBTB10	Norman_pooled_screen	d128	0.0014380482443949827
