allocation	depth_per_gemgroup	cells_per_reference	model	pattern	scaled_squared_error
0	135	1080	CPA_0.8.8	D	0.093827419560398501
0	135	1080	zero_effect	S	0.10291164648091326
0	135	1080	zero_effect	M	0.10291164648091324
0	135	1080	zero_effect	P	0.10291164648091324
0	135	1080	zero_effect	O	0.10291164648091324
0	135	1080	zero_effect	D	0.10291164648091324
1	8	64	additive	S	0.026195167136201958
1	8	64	additive	M	0.026195167136201958
1	8	64	additive	P	0.058155137851557077
1	8	64	additive	O	0.058155137851557077
1	8	64	additive	D	0.058155137851557077
1	8	64	compositional_ridge	S	0.025403931071276635
1	8	64	compositional_ridge	M	0.025403931071276635
1	8	64	compositional_ridge	P	0.057363901786631734
1	8	64	compositional_ridge	O	0.057363901786631734
1	8	64	compositional_ridge	D	0.057363901786631734
1	8	64	CPA_0.8.8	S	0.088900762558220395
1	8	64	CPA_0.8.8	M	0.088900762558220395
1	8	64	CPA_0.8.8	P	0.12450387033179172
1	8	64	CPA_0.8.8	O	0.11721759621535931
1	8	64	CPA_0.8.8	D	0.12086073327357551
1	8	64	zero_effect	S	0.1126886569754965
1	8	64	zero_effect	M	0.1126886569754965
1	8	64	zero_effect	P	0.1126886569754965
1	8	64	zero_effect	O	0.1126886569754965
1	8	64	zero_effect	D	0.1126886569754965
1	16	128	additive	S	0.026195167136201958
1	16	128	additive	M	0.026195167136201958
1	16	128	additive	P	0.042041954457908398
1	16	128	additive	O	0.042041954457908398
1	16	128	additive	D	0.042041954457908398
1	16	128	compositional_ridge	S	0.025403931071276635
1	16	128	compositional_ridge	M	0.025403931071276635
1	16	128	compositional_ridge	P	0.041250718392983096
1	16	128	compositional_ridge	O	0.041250718392983096
1	16	128	compositional_ridge	D	0.041250718392983096
1	16	128	CPA_0.8.8	S	0.091016305386093579
1	16	128	CPA_0.8.8	M	0.091016305386093579
1	16	128	CPA_0.8.8	P	0.10903286660887698
1	16	128	CPA_0.8.8	O	0.1046933188067231
1	16	128	CPA_0.8.8	D	0.10686309270780006
1	16	128	zero_effect	S	0.10814726754503144
1	16	128	zero_effect	M	0.10814726754503144
1	16	128	zero_effect	P	0.10814726754503144
1	16	128	zero_effect	O	0.10814726754503144
1	16	128	zero_effect	D	0.10814726754503144
1	32	256	additive	S	0.026195167136201958
1	32	256	additive	M	0.026195167136201958
1	32	256	additive	P	0.034595175660254489
1	32	256	additive	O	0.034595175660254489
1	32	256	additive	D	0.034595175660254489
1	32	256	compositional_ridge	S	0.025403931071276635
1	32	256	compositional_ridge	M	0.025403931071276635
1	32	256	compositional_ridge	P	0.033803939595329152
1	32	256	compositional_ridge	O	0.033803939595329152
1	32	256	compositional_ridge	D	0.033803939595329152
1	32	256	CPA_0.8.8	S	0.088680129765316584
1	32	256	CPA_0.8.8	M	0.088680129765316584
1	32	256	CPA_0.8.8	P	0.098504528634090913
1	32	256	CPA_0.8.8	O	0.095655747944647276
1	32	256	CPA_0.8.8	D	0.097080138289369122
1	32	256	zero_effect	S	0.102160325254316
1	32	256	zero_effect	M	0.102160325254316
1	32	256	zero_effect	P	0.102160325254316
1	32	256	zero_effect	O	0.102160325254316
1	32	256	zero_effect	D	0.102160325254316
1	64	512	additive	S	0.026195167136201958
1	64	512	additive	M	0.026195167136201958
1	64	512	additive	P	0.02998798556133625
1	64	512	additive	O	0.02998798556133625
1	64	512	additive	D	0.02998798556133625
1	64	512	compositional_ridge	S	0.025403931071276635
1	64	512	compositional_ridge	M	0.025403931071276635
1	64	512	compositional_ridge	P	0.029196749496410941
1	64	512	compositional_ridge	O	0.029196749496410941
1	64	512	compositional_ridge	D	0.029196749496410941
1	64	512	CPA_0.8.8	S	0.091991099467098519
1	64	512	CPA_0.8.8	M	0.091991099467098519
1	64	512	CPA_0.8.8	P	0.096184083148852795
1	64	512	CPA_0.8.8	O	0.095383752635612787
1	64	512	CPA_0.8.8	D	0.095783917892232812
1	64	512	zero_effect	S	0.10363214735789429
1	64	512	zero_effect	M	0.10363214735789433
1	64	512	zero_effect	P	0.10363214735789433
1	64	512	zero_effect	O	0.10363214735789433
1	64	512	zero_effect	D	0.10363214735789433
1	128	1024	additive	S	0.026195167136201958
1	128	1024	additive	M	0.026195167136201958
1	128	1024	additive	P	0.028122203431323579
1	128	1024	additive	O	0.028122203431323579
1	128	1024	additive	D	0.028122203431323579
1	128	1024	compositional_ridge	S	0.025403931071276635
1	128	1024	compositional_ridge	M	0.025403931071276635
1	128	1024	compositional_ridge	P	0.027330967366398257
1	128	1024	compositional_ridge	O	0.027330967366398257
1	128	1024	compositional_ridge	D	0.027330967366398257
1	128	1024	CPA_0.8.8	S	0.093153603071985044
1	128	1024	CPA_0.8.8	M	0.093153603071985044
1	128	1024	CPA_0.8.8	P	0.095323560771655283
1	128	1024	CPA_0.8.8	O	0.094837717962558021
1	128	1024	CPA_0.8.8	D	0.095080639367106659
1	128	1024	zero_effect	S	0.10403765253898523
1	128	1024	zero_effect	M	0.10403765253898523
1	128	1024	zero_effect	P	0.10403765253898523
1	128	1024	zero_effect	O	0.10403765253898523
1	128	1024	zero_effect	D	0.10403765253898523
1	135	1080	additive	S	0.026195167136201958
1	135	1080	additive	M	0.026195167136201958
1	135	1080	additive	P	0.028072007201247424
1	135	1080	additive	O	0.028072007201247424
1	135	1080	additive	D	0.028072007201247424
1	135	1080	compositional_ridge	S	0.025403931071276635
1	135	1080	compositional_ridge	M	0.025403931071276635
1	135	1080	compositional_ridge	P	0.027280771136322112
1	135	1080	compositional_ridge	O	0.027280771136322112
1	135	1080	compositional_ridge	D	0.027280771136322112
1	135	1080	CPA_0.8.8	S	0.092881120222065697
1	135	1080	CPA_0.8.8	M	0.092881120222065683
1	135	1080	CPA_0.8.8	P	0.095031859230796337
1	135	1080	CPA_0.8.8	O	0.094484061343426018
1	135	1080	CPA_0.8.8	D	0.094757960287111198
1	135	1080	zero_effect	S	0.10377728402331596
1	135	1080	zero_effect	M	0.10377728402331596
1	135	1080	zero_effect	P	0.10377728402331596
1	135	1080	zero_effect	O	0.10377728402331596
1	135	1080	zero_effect	D	0.10377728402331596
2	8	64	additive	S	0.026195167136201958
2	8	64	additive	M	0.026195167136201958
2	8	64	additive	P	0.057754922407832143
2	8	64	additive	O	0.057754922407832143
2	8	64	additive	D	0.057754922407832143
2	8	64	compositional_ridge	S	0.025403931071276635
2	8	64	compositional_ridge	M	0.025403931071276635
2	8	64	compositional_ridge	P	0.05696368634290682
2	8	64	compositional_ridge	O	0.05696368634290682
2	8	64	compositional_ridge	D	0.05696368634290682
2	8	64	CPA_0.8.8	S	0.10268752843340502
2	8	64	CPA_0.8.8	M	0.10268752843340502
2	8	64	CPA_0.8.8	P	0.13767773749293291
2	8	64	CPA_0.8.8	O	0.13081682991713747
2	8	64	CPA_0.8.8	D	0.13424728370503516
2	8	64	zero_effect	S	0.12720414693120913
2	8	64	zero_effect	M	0.12720414693120916
2	8	64	zero_effect	P	0.12720414693120916
2	8	64	zero_effect	O	0.12720414693120916
2	8	64	zero_effect	D	0.12720414693120916
2	16	128	additive	S	0.026195167136201958
2	16	128	additive	M	0.026195167136201958
2	16	128	additive	P	0.041877888266364446
2	16	128	additive	O	0.041877888266364446
2	16	128	additive	D	0.041877888266364446
2	16	128	compositional_ridge	S	0.025403931071276635
2	16	128	compositional_ridge	M	0.025403931071276635
2	16	128	compositional_ridge	P	0.041086652201439103
2	16	128	compositional_ridge	O	0.041086652201439103
2	16	128	compositional_ridge	D	0.041086652201439103
2	16	128	CPA_0.8.8	S	0.096183890017954757
2	16	128	CPA_0.8.8	M	0.096183890017954757
2	16	128	CPA_0.8.8	P	0.11334393045455524
2	16	128	CPA_0.8.8	O	0.11038929184167924
2	16	128	CPA_0.8.8	D	0.1118666111481173
2	16	128	zero_effect	S	0.11376465779589257
2	16	128	zero_effect	M	0.11376465779589255
2	16	128	zero_effect	P	0.11376465779589255
2	16	128	zero_effect	O	0.11376465779589255
2	16	128	zero_effect	D	0.11376465779589255
2	32	256	additive	S	0.026195167136201958
2	32	256	additive	M	0.026195167136201958
2	32	256	additive	P	0.034078484986412222
2	32	256	additive	O	0.034078484986412222
2	32	256	additive	D	0.034078484986412222
2	32	256	compositional_ridge	S	0.025403931071276635
2	32	256	compositional_ridge	M	0.025403931071276635
2	32	256	compositional_ridge	P	0.033287248921486892
2	32	256	compositional_ridge	O	0.033287248921486892
2	32	256	compositional_ridge	D	0.033287248921486892
2	32	256	CPA_0.8.8	S	0.094693635827729189
2	32	256	CPA_0.8.8	M	0.094693635827729189
2	32	256	CPA_0.8.8	P	0.10339318224981998
2	32	256	CPA_0.8.8	O	0.10176072510605899
2	32	256	CPA_0.8.8	D	0.10257695367793948
2	32	256	zero_effect	S	0.1083328130814442
2	32	256	zero_effect	M	0.10833281308144418
2	32	256	zero_effect	P	0.10833281308144418
2	32	256	zero_effect	O	0.10833281308144418
2	32	256	zero_effect	D	0.10833281308144418
2	64	512	additive	S	0.026195167136201958
2	64	512	additive	M	0.026195167136201958
2	64	512	additive	P	0.029889854759311357
2	64	512	additive	O	0.029889854759311357
2	64	512	additive	D	0.029889854759311357
2	64	512	compositional_ridge	S	0.025403931071276635
2	64	512	compositional_ridge	M	0.025403931071276635
2	64	512	compositional_ridge	P	0.029098618694386038
2	64	512	compositional_ridge	O	0.029098618694386038
2	64	512	compositional_ridge	D	0.029098618694386038
2	64	512	CPA_0.8.8	S	0.092656993679463368
2	64	512	CPA_0.8.8	M	0.092656993679463368
2	64	512	CPA_0.8.8	P	0.096547026931613031
2	64	512	CPA_0.8.8	O	0.096156335673532545
2	64	512	CPA_0.8.8	D	0.096351681302572809
2	64	512	zero_effect	S	0.10457971686425074
2	64	512	zero_effect	M	0.10457971686425074
2	64	512	zero_effect	P	0.10457971686425074
2	64	512	zero_effect	O	0.10457971686425074
2	64	512	zero_effect	D	0.10457971686425074
2	128	1024	additive	S	0.026195167136201958
2	128	1024	additive	M	0.026195167136201958
2	128	1024	additive	P	0.028090563757598105
2	128	1024	additive	O	0.028090563757598105
2	128	1024	additive	D	0.028090563757598105
2	128	1024	compositional_ridge	S	0.025403931071276635
2	128	1024	compositional_ridge	M	0.025403931071276635
2	128	1024	compositional_ridge	P	0.027299327692672765
2	128	1024	compositional_ridge	O	0.027299327692672765
2	128	1024	compositional_ridge	D	0.027299327692672765
2	128	1024	CPA_0.8.8	S	0.092639017371008811
2	128	1024	CPA_0.8.8	M	0.092639017371008811
2	128	1024	CPA_0.8.8	P	0.09468978215646992
2	128	1024	CPA_0.8.8	O	0.094379045828340086
2	128	1024	CPA_0.8.8	D	0.094534413992405003
2	128	1024	zero_effect	S	0.10362220482537941
2	128	1024	zero_effect	M	0.10362220482537943
2	128	1024	zero_effect	P	0.10362220482537943
2	128	1024	zero_effect	O	0.10362220482537943
2	128	1024	zero_effect	D	0.10362220482537943
2	135	1080	additive	S	0.026195167136201958
2	135	1080	additive	M	0.026195167136201958
2	135	1080	additive	P	0.028001128426417318
2	135	1080	additive	O	0.028001128426417318
2	135	1080	additive	D	0.028001128426417318
2	135	1080	compositional_ridge	S	0.025403931071276635
2	135	1080	compositional_ridge	M	0.025403931071276635
2	135	1080	compositional_ridge	P	0.027209892361492013
2	135	1080	compositional_ridge	O	0.027209892361492013
2	135	1080	compositional_ridge	D	0.027209892361492013
2	135	1080	CPA_0.8.8	S	0.092342987754745753
2	135	1080	CPA_0.8.8	M	0.092342987754745753
2	135	1080	CPA_0.8.8	P	0.094304484333219488
2	135	1080	CPA_0.8.8	O	0.093993413756702782
2	135	1080	CPA_0.8.8	D	0.094148949044961142
2	135	1080	zero_effect	S	0.10327496372290151
2	135	1080	zero_effect	M	0.10327496372290147
2	135	1080	zero_effect	P	0.10327496372290147
2	135	1080	zero_effect	O	0.10327496372290147
2	135	1080	zero_effect	D	0.10327496372290147
3	8	64	additive	S	0.026195167136201958
3	8	64	additive	M	0.026195167136201958
3	8	64	additive	P	0.056371891728376325
3	8	64	additive	O	0.056371891728376325
3	8	64	additive	D	0.056371891728376325
3	8	64	compositional_ridge	S	0.025403931071276635
3	8	64	compositional_ridge	M	0.025403931071276635
3	8	64	compositional_ridge	P	0.055580655663451037
3	8	64	compositional_ridge	O	0.055580655663451037
3	8	64	compositional_ridge	D	0.055580655663451037
3	8	64	CPA_0.8.8	S	0.099249911822750905
3	8	64	CPA_0.8.8	M	0.099249911822750905
3	8	64	CPA_0.8.8	P	0.1325221047177399
3	8	64	CPA_0.8.8	O	0.12633116811211076
3	8	64	CPA_0.8.8	D	0.1294266364149253
3	8	64	zero_effect	S	0.12283104605356325
3	8	64	zero_effect	M	0.12283104605356325
3	8	64	zero_effect	P	0.12283104605356325
3	8	64	zero_effect	O	0.12283104605356325
3	8	64	zero_effect	D	0.12283104605356325
3	16	128	additive	S	0.026195167136201958
3	16	128	additive	M	0.026195167136201958
3	16	128	additive	P	0.041875869312421495
3	16	128	additive	O	0.041875869312421495
3	16	128	additive	D	0.041875869312421495
3	16	128	compositional_ridge	S	0.025403931071276635
3	16	128	compositional_ridge	M	0.025403931071276635
3	16	128	compositional_ridge	P	0.041084633247496172
3	16	128	compositional_ridge	O	0.041084633247496172
3	16	128	compositional_ridge	D	0.041084633247496172
3	16	128	CPA_0.8.8	S	0.093428965012590792
3	16	128	CPA_0.8.8	M	0.093428965012590792
3	16	128	CPA_0.8.8	P	0.11034772553385121
3	16	128	CPA_0.8.8	O	0.10787160884376944
3	16	128	CPA_0.8.8	D	0.10910966718881032
3	16	128	zero_effect	S	0.11037886120403212
3	16	128	zero_effect	M	0.11037886120403212
3	16	128	zero_effect	P	0.11037886120403212
3	16	128	zero_effect	O	0.11037886120403212
3	16	128	zero_effect	D	0.11037886120403212
3	32	256	additive	S	0.026195167136201958
3	32	256	additive	M	0.026195167136201958
3	32	256	additive	P	0.034196954283321583
3	32	256	additive	O	0.034196954283321583
3	32	256	additive	D	0.034196954283321583
3	32	256	compositional_ridge	S	0.025403931071276635
3	32	256	compositional_ridge	M	0.025403931071276635
3	32	256	compositional_ridge	P	0.033405718218396253
3	32	256	compositional_ridge	O	0.033405718218396253
3	32	256	compositional_ridge	D	0.033405718218396253
3	32	256	CPA_0.8.8	S	0.094651214713919171
3	32	256	CPA_0.8.8	M	0.094651214713919171
3	32	256	CPA_0.8.8	P	0.1035610289719192
3	32	256	CPA_0.8.8	O	0.10174497475015838
3	32	256	CPA_0.8.8	D	0.1026530018610388
3	32	256	zero_effect	S	0.10823770066731814
3	32	256	zero_effect	M	0.10823770066731814
3	32	256	zero_effect	P	0.10823770066731814
3	32	256	zero_effect	O	0.10823770066731814
3	32	256	zero_effect	D	0.10823770066731814
3	64	512	additive	S	0.026195167136201958
3	64	512	additive	M	0.026195167136201958
3	64	512	additive	P	0.030324559497747105
3	64	512	additive	O	0.030324559497747105
3	64	512	additive	D	0.030324559497747105
3	64	512	compositional_ridge	S	0.025403931071276635
3	64	512	compositional_ridge	M	0.025403931071276635
3	64	512	compositional_ridge	P	0.029533323432821789
3	64	512	compositional_ridge	O	0.029533323432821789
3	64	512	compositional_ridge	D	0.029533323432821789
3	64	512	CPA_0.8.8	S	0.092595228824617931
3	64	512	CPA_0.8.8	M	0.092595228824617945
3	64	512	CPA_0.8.8	P	0.097319187887601896
3	64	512	CPA_0.8.8	O	0.096130054484724364
3	64	512	CPA_0.8.8	D	0.096724621186163165
3	64	512	zero_effect	S	0.10428550380502531
3	64	512	zero_effect	M	0.10428550380502533
3	64	512	zero_effect	P	0.10428550380502533
3	64	512	zero_effect	O	0.10428550380502533
3	64	512	zero_effect	D	0.10428550380502533
3	128	1024	additive	S	0.026195167136201958
3	128	1024	additive	M	0.026195167136201958
3	128	1024	additive	P	0.028122746785887272
3	128	1024	additive	O	0.028122746785887272
3	128	1024	additive	D	0.028122746785887272
3	128	1024	compositional_ridge	S	0.025403931071276635
3	128	1024	compositional_ridge	M	0.025403931071276635
3	128	1024	compositional_ridge	P	0.027331510720961964
3	128	1024	compositional_ridge	O	0.027331510720961964
3	128	1024	compositional_ridge	D	0.027331510720961964
3	128	1024	CPA_0.8.8	S	0.091334731691070398
3	128	1024	CPA_0.8.8	M	0.091334731691070398
3	128	1024	CPA_0.8.8	P	0.093466751168049506
3	128	1024	CPA_0.8.8	O	0.093057871513461926
3	128	1024	CPA_0.8.8	D	0.093262311340755716
3	128	1024	zero_effect	S	0.10226445598301483
3	128	1024	zero_effect	M	0.10226445598301483
3	128	1024	zero_effect	P	0.10226445598301483
3	128	1024	zero_effect	O	0.10226445598301483
3	128	1024	zero_effect	D	0.10226445598301483
3	135	1080	additive	S	0.026195167136201958
3	135	1080	additive	M	0.026195167136201958
3	135	1080	additive	P	0.028050778005380417
3	135	1080	additive	O	0.028050778005380417
3	135	1080	additive	D	0.028050778005380417
3	135	1080	compositional_ridge	S	0.025403931071276635
3	135	1080	compositional_ridge	M	0.025403931071276635
3	135	1080	compositional_ridge	P	0.027259541940455111
3	135	1080	compositional_ridge	O	0.027259541940455111
3	135	1080	compositional_ridge	D	0.027259541940455111
3	135	1080	CPA_0.8.8	S	0.091649332475246661
3	135	1080	CPA_0.8.8	M	0.091649332475246648
3	135	1080	CPA_0.8.8	P	0.093729361064138289
3	135	1080	CPA_0.8.8	O	0.093280525624711896
3	135	1080	CPA_0.8.8	D	0.093504943344425093
3	135	1080	zero_effect	S	0.102567922411659
3	135	1080	zero_effect	M	0.102567922411659
3	135	1080	zero_effect	P	0.102567922411659
3	135	1080	zero_effect	O	0.102567922411659
3	135	1080	zero_effect	D	0.102567922411659
4	8	64	additive	S	0.026195167136201958
4	8	64	additive	M	0.026195167136201958
4	8	64	additive	P	0.055569780589541741
4	8	64	additive	O	0.055569780589541741
4	8	64	additive	D	0.055569780589541741
4	8	64	compositional_ridge	S	0.025403931071276635
4	8	64	compositional_ridge	M	0.025403931071276635
4	8	64	compositional_ridge	P	0.05477854452461639
4	8	64	compositional_ridge	O	0.05477854452461639
4	8	64	compositional_ridge	D	0.05477854452461639
4	8	64	CPA_0.8.8	S	0.08723939902214671
4	8	64	CPA_0.8.8	M	0.08723939902214671
4	8	64	CPA_0.8.8	P	0.11826931501072284
4	8	64	CPA_0.8.8	O	0.11495870994025018
4	8	64	CPA_0.8.8	D	0.1166140124754865
4	8	64	zero_effect	S	0.11094839173997537
4	8	64	zero_effect	M	0.11094839173997537
4	8	64	zero_effect	P	0.11094839173997537
4	8	64	zero_effect	O	0.11094839173997537
4	8	64	zero_effect	D	0.11094839173997537
4	16	128	additive	S	0.026195167136201958
4	16	128	additive	M	0.026195167136201958
4	16	128	additive	P	0.040351326889998936
4	16	128	additive	O	0.040351326889998936
4	16	128	additive	D	0.040351326889998936
4	16	128	compositional_ridge	S	0.025403931071276635
4	16	128	compositional_ridge	M	0.025403931071276635
