depth_per_gemgroup	cells_per_reference	mean	allocation_min	allocation_max
8	64	0.054521159340233563	0.04089163235047541	0.077951891284087749
16	128	0.037885154298015492	0.023776559183633587	0.052922163942996918
32	256	0.027304698752491967	0.016528569705791137	0.037248078691508327
64	512	0.018638740559624271	0.010989035654388501	0.024547401068575295
128	1024	0.013105732747718297	0.0094447984776959721	0.019984413339853659
135	1080	0.012887070826415725	0.0092732466620409921	0.019202787798892038
