dataset	regime	family	mode	depth	seed_summary	root_index	root_tasks	rms
gse162632	cap48	CPA	raw_state	8	29	1	5	0.11518610824483541
gse162632	cap48	CPA	raw_state	8	29	2	5	0.10924596117311812
gse162632	cap48	CPA	raw_state	8	29	3	5	0.11304645160830795
gse162632	cap48	CPA	raw_state	8	29	4	5	0.1104378797579045
gse162632	cap48	CPA	raw_state	8	29	5	5	0.10903024507213115
gse162632	cap48	CPA	raw_state	8	29	6	5	0.11280041181929465
gse162632	cap48	CPA	raw_state	8	29	7	5	0.10923181650075113
gse162632	cap48	CPA	raw_state	8	43	0	5	0.1145658591584838
gse162632	cap48	CPA	raw_state	8	43	1	5	0.11817393929044791
gse162632	cap48	CPA	raw_state	8	43	2	5	0.11179893889607506
gse162632	cap48	CPA	raw_state	8	43	3	5	0.1112189080335128
gse162632	cap48	CPA	raw_state	8	43	4	5	0.11051191812646603
gse162632	cap48	CPA	raw_state	8	43	5	5	0.11166603350975476
gse162632	cap48	CPA	raw_state	8	43	6	5	0.11479800994255594
gse162632	cap48	CPA	raw_state	8	43	7	5	0.11370449470175178
gse162632	cap48	CPA	input_centered_effect	4	mean_of_squared_seed_displacements	0	5	0.6974505158110196
gse162632	cap48	CPA	input_centered_effect	4	mean_of_squared_seed_displacements	1	5	0.6726702831657139
gse162632	cap48	CPA	input_centered_effect	4	mean_of_squared_seed_displacements	2	5	0.6594689478821268
gse162632	cap48	CPA	input_centered_effect	4	mean_of_squared_seed_displacements	3	5	0.6588938877617877
gse162632	cap48	CPA	input_centered_effect	4	mean_of_squared_seed_displacements	4	5	0.668018852371416
gse162632	cap48	CPA	input_centered_effect	4	mean_of_squared_seed_displacements	5	5	0.6901359443376437
gse162632	cap48	CPA	input_centered_effect	4	mean_of_squared_seed_displacements	6	5	0.7196081006130901
gse162632	cap48	CPA	input_centered_effect	4	mean_of_squared_seed_displacements	7	5	0.6888514801678395
gse162632	cap48	CPA	input_centered_effect	4	17	0	5	0.6975523133386753
gse162632	cap48	CPA	input_centered_effect	4	17	1	5	0.6725108135789757
gse162632	cap48	CPA	input_centered_effect	4	17	2	5	0.6591641857842689
gse162632	cap48	CPA	input_centered_effect	4	17	3	5	0.6585437199802198
gse162632	cap48	CPA	input_centered_effect	4	17	4	5	0.6678553761298489
gse162632	cap48	CPA	input_centered_effect	4	17	5	5	0.6902810545530912
gse162632	cap48	CPA	input_centered_effect	4	17	6	5	0.7195529811235416
gse162632	cap48	CPA	input_centered_effect	4	17	7	5	0.6888450082818712
gse162632	cap48	CPA	input_centered_effect	4	29	0	5	0.6971026423063457
gse162632	cap48	CPA	input_centered_effect	4	29	1	5	0.6725548539727413
gse162632	cap48	CPA	input_centered_effect	4	29	2	5	0.6595612889397723
gse162632	cap48	CPA	input_centered_effect	4	29	3	5	0.6591549064256138
gse162632	cap48	CPA	input_centered_effect	4	29	4	5	0.6677738495005888
gse162632	cap48	CPA	input_centered_effect	4	29	5	5	0.689299462487708
gse162632	cap48	CPA	input_centered_effect	4	29	6	5	0.7192429620402753
gse162632	cap48	CPA	input_centered_effect	4	29	7	5	0.6883129964529071
gse162632	cap48	CPA	input_centered_effect	4	43	0	5	0.6976964542410573
gse162632	cap48	CPA	input_centered_effect	4	43	1	5	0.6729450970025493
gse162632	cap48	CPA	input_centered_effect	4	43	2	5	0.6596812578615125
gse162632	cap48	CPA	input_centered_effect	4	43	3	5	0.6589828861201045
gse162632	cap48	CPA	input_centered_effect	4	43	4	5	0.668427141780235
gse162632	cap48	CPA	input_centered_effect	4	43	5	5	0.6908264483498424
gse162632	cap48	CPA	input_centered_effect	4	43	6	5	0.7200281413359446
gse162632	cap48	CPA	input_centered_effect	4	43	7	5	0.6893960100460693
gse162632	cap48	CPA	input_centered_effect	6	mean_of_squared_seed_displacements	0	5	0.5694170327483293
gse162632	cap48	CPA	input_centered_effect	6	mean_of_squared_seed_displacements	1	5	0.5492225656351009
gse162632	cap48	CPA	input_centered_effect	6	mean_of_squared_seed_displacements	2	5	0.5383923022728511
gse162632	cap48	CPA	input_centered_effect	6	mean_of_squared_seed_displacements	3	5	0.5378856073293099
gse162632	cap48	CPA	input_centered_effect	6	mean_of_squared_seed_displacements	4	5	0.5456629709842321
gse162632	cap48	CPA	input_centered_effect	6	mean_of_squared_seed_displacements	5	5	0.5634499511920207
gse162632	cap48	CPA	input_centered_effect	6	mean_of_squared_seed_displacements	6	5	0.5876125471324366
gse162632	cap48	CPA	input_centered_effect	6	mean_of_squared_seed_displacements	7	5	0.5623293645576708
gse162632	cap48	CPA	input_centered_effect	6	17	0	5	0.5695043135691867
gse162632	cap48	CPA	input_centered_effect	6	17	1	5	0.5490968191261257
gse162632	cap48	CPA	input_centered_effect	6	17	2	5	0.5381520359492477
gse162632	cap48	CPA	input_centered_effect	6	17	3	5	0.5376262225438584
gse162632	cap48	CPA	input_centered_effect	6	17	4	5	0.5455632916687767
gse162632	cap48	CPA	input_centered_effect	6	17	5	5	0.5635567531927712
gse162632	cap48	CPA	input_centered_effect	6	17	6	5	0.5875832787122567
gse162632	cap48	CPA	input_centered_effect	6	17	7	5	0.5623154663327032
gse162632	cap48	CPA	input_centered_effect	6	29	0	5	0.5691232931208923
gse162632	cap48	CPA	input_centered_effect	6	29	1	5	0.5491179878080255
gse162632	cap48	CPA	input_centered_effect	6	29	2	5	0.5384531400736694
gse162632	cap48	CPA	input_centered_effect	6	29	3	5	0.5380907318130472
gse162632	cap48	CPA	input_centered_effect	6	29	4	5	0.5454517720057963
gse162632	cap48	CPA	input_centered_effect	6	29	5	5	0.5627450441446209
gse162632	cap48	CPA	input_centered_effect	6	29	6	5	0.5873321249186993
gse162632	cap48	CPA	input_centered_effect	6	29	7	5	0.5618890213040646
gse162632	cap48	CPA	input_centered_effect	6	43	0	5	0.5696233717159566
gse162632	cap48	CPA	input_centered_effect	6	43	1	5	0.5494528173552684
gse162632	cap48	CPA	input_centered_effect	6	43	2	5	0.5385716438770877
gse162632	cap48	CPA	input_centered_effect	6	43	3	5	0.5379397632506672
gse162632	cap48	CPA	input_centered_effect	6	43	4	5	0.5459737108224937
gse162632	cap48	CPA	input_centered_effect	6	43	5	5	0.5640472885462363
gse162632	cap48	CPA	input_centered_effect	6	43	6	5	0.5879220885956322
gse162632	cap48	CPA	input_centered_effect	6	43	7	5	0.5627832502771344
gse162632	cap48	CPA	input_centered_effect	8	mean_of_squared_seed_displacements	0	5	0.4932752414703088
gse162632	cap48	CPA	input_centered_effect	8	mean_of_squared_seed_displacements	1	5	0.4755867037533387
gse162632	cap48	CPA	input_centered_effect	8	mean_of_squared_seed_displacements	2	5	0.46617449540841865
gse162632	cap48	CPA	input_centered_effect	8	mean_of_squared_seed_displacements	3	5	0.46578379793590313
gse162632	cap48	CPA	input_centered_effect	8	mean_of_squared_seed_displacements	4	5	0.47272812171186357
gse162632	cap48	CPA	input_centered_effect	8	mean_of_squared_seed_displacements	5	5	0.48797266357031477
gse162632	cap48	CPA	input_centered_effect	8	mean_of_squared_seed_displacements	6	5	0.508931200995713
gse162632	cap48	CPA	input_centered_effect	8	mean_of_squared_seed_displacements	7	5	0.48703081566286566
gse162632	cap48	CPA	input_centered_effect	8	17	0	5	0.4933650533166765
gse162632	cap48	CPA	input_centered_effect	8	17	1	5	0.4754461166471398
gse162632	cap48	CPA	input_centered_effect	8	17	2	5	0.4659748946963773
gse162632	cap48	CPA	input_centered_effect	8	17	3	5	0.46555876368828514
gse162632	cap48	CPA	input_centered_effect	8	17	4	5	0.4726421519774726
gse162632	cap48	CPA	input_centered_effect	8	17	5	5	0.4880579937272056
gse162632	cap48	CPA	input_centered_effect	8	17	6	5	0.5088894815689237
gse162632	cap48	CPA	input_centered_effect	8	17	7	5	0.4870220821886752
gse162632	cap48	CPA	input_centered_effect	8	29	0	5	0.49304870483926333
gse162632	cap48	CPA	input_centered_effect	8	29	1	5	0.47551252841975783
gse162632	cap48	CPA	input_centered_effect	8	29	2	5	0.466224615581694
gse162632	cap48	CPA	input_centered_effect	8	29	3	5	0.46596499588550966
gse162632	cap48	CPA	input_centered_effect	8	29	4	5	0.47257369972747765
gse162632	cap48	CPA	input_centered_effect	8	29	5	5	0.48736803404976564
gse162632	cap48	CPA	input_centered_effect	8	29	6	5	0.508702881481043
gse162632	cap48	CPA	input_centered_effect	8	29	7	5	0.48666518492483624
gse162632	cap48	CPA	input_centered_effect	8	43	0	5	0.4934118871337926
gse162632	cap48	CPA	input_centered_effect	8	43	1	5	0.4758013911727253
gse162632	cap48	CPA	input_centered_effect	8	43	2	5	0.4663239065781252
gse162632	cap48	CPA	input_centered_effect	8	43	3	5	0.4658275425747545
gse162632	cap48	CPA	input_centered_effect	8	43	4	5	0.4729684193174701
gse162632	cap48	CPA	input_centered_effect	8	43	5	5	0.4884913052666992
gse162632	cap48	CPA	input_centered_effect	8	43	6	5	0.5092011154369291
gse162632	cap48	CPA	input_centered_effect	8	43	7	5	0.4874048988863285
