allocation	cells_per_role	pattern	mean_utility_improvement	improved_tasks	ties	worse_tasks
20	1024	S	0.018408403487742874	50	0	5
20	1024	M	0.018408403487742874	50	0	5
20	1024	P	0.018372478944114565	50	0	5
20	1024	O	0.018444328031371176	50	0	5
20	1024	D	0.018408403487742874	50	0	5
20	1080	S	0.018390990835748015	50	0	5
20	1080	M	0.018390990835748015	50	0	5
20	1080	P	0.018355079159011793	50	0	5
20	1080	O	0.018426902512484234	50	0	5
20	1080	D	0.018390990835748012	50	0	5
21	64	S	0.01839260630368016	50	0	5
21	64	M	0.01839260630368016	50	0	5
21	64	P	0.018050276742333712	50	0	5
21	64	O	0.018734935865026614	50	0	5
21	64	D	0.018392606303680156	50	0	5
21	128	S	0.01884765196790808	51	0	4
21	128	M	0.018847651967908073	51	0	4
21	128	P	0.01868564323877277	50	0	5
21	128	O	0.01900966069704338	51	0	4
21	128	D	0.018847651967908073	51	0	4
