model	n_conditions	mean_standardized_effect_mse	defined_standardized_effect_mse	mean_standardized_effect_mae	defined_standardized_effect_mae	mean_predicted_magnitude	defined_predicted_magnitude	mean_observed_magnitude	defined_observed_magnitude	mean_magnitude_ratio	defined_magnitude_ratio	mean_cosine	defined_cosine
selected_CPA	55	0.07657170923812084	55	0.20177105755867356	55	4.916237448514422	55	13.604815707487331	55	0.407969742236014	55	0.5533078749743229	55
original_CPA	55	0.09518672892724396	55	0.22444116331510033	55	2.868131951216842	55	13.604815707487331	55	0.23902878233871913	55	0.31423836286288515	55
additive	55	0.029557570204208974	55	0.12866626520988617	55	14.793509809211022	55	13.604815707487331	55	1.1388026221797023	55	0.8749030795221217	55
compositional_ridge	55	0.0285946123559877	55	0.1235615284848284	55	10.192942806568462	55	13.604815707487331	55	0.8124652444909137	55	0.8628528347464156	55
NC	55	0.10338390773996671	55	0.23146228605129593	55	0.0	55	13.604815707487331	55	0.0	55		0
