condition	model	reference	mse_difference
FOSB+UBASH3B	selected_CPA	additive	0.004203054184984411
FOXA1+FOXA3	selected_CPA	additive	0.07784724961539528
FOXA1+FOXL2	selected_CPA	additive	0.06126785243988115
FOXA1+HOXB9	selected_CPA	additive	0.08445009857683099
FOXA3+HOXB9	selected_CPA	additive	0.11920173975591668
FOXL2+POU3F2	selected_CPA	additive	0.09465406183752542
FOXL2+ZNF318	selected_CPA	additive	0.03348276779072551
HOXC13+ZC3HAV1	selected_CPA	additive	0.014850854815699567
IGDCC3+PRTG	selected_CPA	additive	0.010044768959178309
IGDCC3+TGFBR2	selected_CPA	additive	0.021594763148930232
KLF1+TGFBR2	selected_CPA	additive	0.005569469235493601
MAPK1+TGFBR2	selected_CPA	additive	0.02102951208887564
OSR2+PTPN12	selected_CPA	additive	-0.006956746273555862
OSR2+UBASH3B	selected_CPA	additive	-0.00508562714853527
PRTG+TGFBR2	selected_CPA	additive	0.028007866012724956
PTPN12+SAMD1	selected_CPA	additive	0.06670295545576373
PTPN12+SNAI1	selected_CPA	additive	0.018637206850053684
PTPN12+UBASH3A	selected_CPA	additive	0.050662763879904774
PTPN12+ZBTB10	selected_CPA	additive	0.06934490824547765
RHOXF2B+ZBTB25	selected_CPA	additive	0.09002532608325027
SAMD1+UBASH3B	selected_CPA	additive	0.08446623201970481
SAMD1+ZBTB1	selected_CPA	additive	0.07873007762325389
SGK1+TBX2	selected_CPA	additive	0.06433847285565995
SGK1+TBX3	selected_CPA	additive	0.04445703819791113
TBX2+TBX3	selected_CPA	additive	0.039155833081903305
UBASH3A+UBASH3B	selected_CPA	additive	0.016246254796542327
UBASH3B+ZBTB25	selected_CPA	additive	0.04913298629807992
BAK1+KLF1	selected_CPA	compositional_ridge	0.01378343850416141
BAK1+TMSB4X	selected_CPA	compositional_ridge	0.005352949016688499
BPGM+ZBTB1	selected_CPA	compositional_ridge	0.02804009371911912
CBFA2T3+FEV	selected_CPA	compositional_ridge	0.08776868066156868
CBFA2T3+POU3F2	selected_CPA	compositional_ridge	0.028104031296128443
CBL+CNN1	selected_CPA	compositional_ridge	0.07710015068541054
CBL+PTPN12	selected_CPA	compositional_ridge	0.04643173356595155
CBL+PTPN9	selected_CPA	compositional_ridge	0.056316427796140586
CBL+UBASH3B	selected_CPA	compositional_ridge	0.08655281348654745
CEBPB+MAPK1	selected_CPA	compositional_ridge	0.06854640401252968
CEBPB+PTPN12	selected_CPA	compositional_ridge	0.033511834237094765
CEBPE+CNN1	selected_CPA	compositional_ridge	0.04090236767962696
CEBPE+ETS2	selected_CPA	compositional_ridge	0.0596769900745509
CEBPE+PTPN12	selected_CPA	compositional_ridge	0.025685276645467575
CEBPE+SPI1	selected_CPA	compositional_ridge	0.2503410248951178
CLDN6+KLF1	selected_CPA	compositional_ridge	0.02454009985950128
CNN1+ETS2	selected_CPA	compositional_ridge	0.009681412926764821
CNN1+UBASH3A	selected_CPA	compositional_ridge	0.06430031404941433
COL2A1+KLF1	selected_CPA	compositional_ridge	0.02990652824965511
DUSP9+PRTG	selected_CPA	compositional_ridge	0.05574189203289623
DUSP9+SNAI1	selected_CPA	compositional_ridge	0.08516473437797914
ELMSAN1+ZBTB10	selected_CPA	compositional_ridge	0.06535071373301476
ETS2+IGDCC3	selected_CPA	compositional_ridge	0.01292743199540933
ETS2+IKZF3	selected_CPA	compositional_ridge	0.07873133588622128
ETS2+TGFBR2	selected_CPA	compositional_ridge	0.00011464037016210848
FOSB+IKZF3	selected_CPA	compositional_ridge	0.038229176193861084
FOSB+OSR2	selected_CPA	compositional_ridge	0.05658353713868976
FOSB+PTPN12	selected_CPA	compositional_ridge	-0.005040385824846873
FOSB+UBASH3B	selected_CPA	compositional_ridge	-0.006223656652686111
FOXA1+FOXA3	selected_CPA	compositional_ridge	0.0686303757458335
FOXA1+FOXL2	selected_CPA	compositional_ridge	0.06847552178817515
FOXA1+HOXB9	selected_CPA	compositional_ridge	0.07441378361592688
FOXA3+HOXB9	selected_CPA	compositional_ridge	0.0966672685141182
FOXL2+POU3F2	selected_CPA	compositional_ridge	0.08461941280075769
FOXL2+ZNF318	selected_CPA	compositional_ridge	0.03345913638726536
HOXC13+ZC3HAV1	selected_CPA	compositional_ridge	0.023640874293027875
IGDCC3+PRTG	selected_CPA	compositional_ridge	0.03671478752055221
IGDCC3+TGFBR2	selected_CPA	compositional_ridge	0.026423370444620304
KLF1+TGFBR2	selected_CPA	compositional_ridge	0.008452246699192012
MAPK1+TGFBR2	selected_CPA	compositional_ridge	0.019068854813407914
OSR2+PTPN12	selected_CPA	compositional_ridge	-0.006416634433671086
OSR2+UBASH3B	selected_CPA	compositional_ridge	-0.01797299015384487
PRTG+TGFBR2	selected_CPA	compositional_ridge	0.028353265708922555
PTPN12+SAMD1	selected_CPA	compositional_ridge	0.06972193432709992
PTPN12+SNAI1	selected_CPA	compositional_ridge	0.02680365324256943
PTPN12+UBASH3A	selected_CPA	compositional_ridge	0.04866779225591088
PTPN12+ZBTB10	selected_CPA	compositional_ridge	0.07768853475837983
RHOXF2B+ZBTB25	selected_CPA	compositional_ridge	0.08149991664346357
SAMD1+UBASH3B	selected_CPA	compositional_ridge	0.08361239523296973
SAMD1+ZBTB1	selected_CPA	compositional_ridge	0.06652255618655122
SGK1+TBX2	selected_CPA	compositional_ridge	0.06015823461805104
SGK1+TBX3	selected_CPA	compositional_ridge	0.048672209860329975
TBX2+TBX3	selected_CPA	compositional_ridge	0.039487377127140046
UBASH3A+UBASH3B	selected_CPA	compositional_ridge	0.018833520557952493
UBASH3B+ZBTB25	selected_CPA	compositional_ridge	0.054420939350481
BAK1+KLF1	selected_CPA	NC	-0.009242593939982124
BAK1+TMSB4X	selected_CPA	NC	0.0027361346763926236
BPGM+ZBTB1	selected_CPA	NC	-0.02989270919343403
CBFA2T3+FEV	selected_CPA	NC	-0.07758571315600257
CBFA2T3+POU3F2	selected_CPA	NC	-0.0321931152775268
CBL+CNN1	selected_CPA	NC	-0.05442319810858856
CBL+PTPN12	selected_CPA	NC	-0.04035397309498762
CBL+PTPN9	selected_CPA	NC	-0.03227710265039026
CBL+UBASH3B	selected_CPA	NC	-0.04755361538345544
CEBPB+MAPK1	selected_CPA	NC	-0.027359771332338967
CEBPB+PTPN12	selected_CPA	NC	-0.018043898690643115
CEBPE+CNN1	selected_CPA	NC	-0.013421418398036483
CEBPE+ETS2	selected_CPA	NC	-0.016527210111566035
CEBPE+PTPN12	selected_CPA	NC	-0.012625062236398754
CEBPE+SPI1	selected_CPA	NC	-0.05556106795601079
CLDN6+KLF1	selected_CPA	NC	-0.04072330375399737
CNN1+ETS2	selected_CPA	NC	-0.012264535397323684
CNN1+UBASH3A	selected_CPA	NC	-0.04919284100619839
COL2A1+KLF1	selected_CPA	NC	-0.02313448324622206
DUSP9+PRTG	selected_CPA	NC	-0.04669608781056425
DUSP9+SNAI1	selected_CPA	NC	-0.048150248696493536
ELMSAN1+ZBTB10	selected_CPA	NC	-0.02371449589968988
ETS2+IGDCC3	selected_CPA	NC	-0.012130509445219418
ETS2+IKZF3	selected_CPA	NC	-0.054894053466464726
ETS2+TGFBR2	selected_CPA	NC	0.000586606989338892
FOSB+IKZF3	selected_CPA	NC	-0.03778616691629445
FOSB+OSR2	selected_CPA	NC	-0.017326689652117547
FOSB+PTPN12	selected_CPA	NC	-0.00894646185974034
FOSB+UBASH3B	selected_CPA	NC	-0.0029310723966091967
FOXA1+FOXA3	selected_CPA	NC	-0.03175267446632914
FOXA1+FOXL2	selected_CPA	NC	-0.026135257255480687
FOXA1+HOXB9	selected_CPA	NC	-0.034356572685190365
FOXA3+HOXB9	selected_CPA	NC	-0.0370132569624389
FOXL2+POU3F2	selected_CPA	NC	-0.04031441179040071
FOXL2+ZNF318	selected_CPA	NC	-0.012187890592259304
HOXC13+ZC3HAV1	selected_CPA	NC	-0.011419296772240725
IGDCC3+PRTG	selected_CPA	NC	-0.025655417447713776
IGDCC3+TGFBR2	selected_CPA	NC	-0.014613602141765082
KLF1+TGFBR2	selected_CPA	NC	-0.016396942264631873
MAPK1+TGFBR2	selected_CPA	NC	-0.01128061723171088
OSR2+PTPN12	selected_CPA	NC	0.001837367017399217
OSR2+UBASH3B	selected_CPA	NC	0.006870955053633051
PRTG+TGFBR2	selected_CPA	NC	-0.018700086168015793
PTPN12+SAMD1	selected_CPA	NC	-0.04172480324893375
PTPN12+SNAI1	selected_CPA	NC	-0.014286129994286176
PTPN12+UBASH3A	selected_CPA	NC	-0.04110585832875446
PTPN12+ZBTB10	selected_CPA	NC	-0.030486208979096138
RHOXF2B+ZBTB25	selected_CPA	NC	-0.04614643000051517
SAMD1+UBASH3B	selected_CPA	NC	-0.0364946298521424
SAMD1+ZBTB1	selected_CPA	NC	-0.039112635476052635
SGK1+TBX2	selected_CPA	NC	-0.035345511647002836
SGK1+TBX3	selected_CPA	NC	-0.01858515202253752
TBX2+TBX3	selected_CPA	NC	-0.01431726708541356
UBASH3A+UBASH3B	selected_CPA	NC	-0.012889925426560863
UBASH3B+ZBTB25	selected_CPA	NC	-0.03143000442251717
