model	epoch	condition	group	standardized_effect_mse	standardized_effect_mae	predicted_magnitude	observed_magnitude	magnitude_ratio	cosine
selected_CPA	400	BAK1+KLF1	original_test	0.023416075671643614	0.11732901765278415	5.515321257934944	8.081914329121009	0.6824275825421663	0.5485660719086078
selected_CPA	400	BAK1+TMSB4X	original_test	0.016831724275371784	0.09469892822124447	4.29540980420158	5.309536627424122	0.8089989966385189	0.2845285076760582
selected_CPA	400	BPGM+ZBTB1	original_test	0.041551344487101065	0.15408808219964243	5.138189927549158	11.953581361293786	0.4298452298310228	0.701617835965821
selected_CPA	400	CBFA2T3+FEV	original_test	0.17977750625930097	0.319528256349546	5.933586430314263	22.687583362504856	0.26153452906405794	0.707103924746584
selected_CPA	400	CBFA2T3+POU3F2	original_test	0.07250907140191026	0.21078803095363968	4.981313881811257	14.470811081583305	0.3442318370219669	0.6187236351004296
selected_CPA	400	CBL+CNN1	original_test	0.12740479277019606	0.2785674431472963	5.085145377253263	19.06976616945182	0.2666600802583119	0.6945528551543779
selected_CPA	400	CBL+PTPN12	original_test	0.0613542229640543	0.19148460126104636	5.168972619684999	14.262411861886608	0.3624192506667141	0.7285898390462956
selected_CPA	400	CBL+PTPN9	original_test	0.078381907003344	0.2296167652833111	4.847191302646779	14.876761048947062	0.32582302604032554	0.6105176122843118
selected_CPA	400	CBL+UBASH3B	original_test	0.1214048029821322	0.28172885113978063	4.8623666970786905	18.382514428966875	0.2645104246139826	0.6642788362588635
selected_CPA	400	CEBPB+MAPK1	original_test	0.08161606079172742	0.20325988110449292	4.739317241973687	14.763186114390509	0.32102265766019217	0.5515471903121397
selected_CPA	400	CEBPB+PTPN12	original_test	0.05113510479232622	0.17741258821714373	4.736913695993729	11.762568042988685	0.40271084330239104	0.5251971130714959
selected_CPA	400	CEBPE+CNN1	original_test	0.056033469159765814	0.1838643839591268	4.513789978917925	11.785999114016793	0.3829789850866176	0.44377404725771874
selected_CPA	400	CEBPE+ETS2	original_test	0.07477175454229606	0.1907230073977	4.417294860969299	13.512880126298915	0.32689514150076054	0.4403298964457784
selected_CPA	400	CEBPE+PTPN12	original_test	0.04094445813095071	0.1596959051326125	4.601997463697494	10.350799038465532	0.44460311195257474	0.48734268684008025
selected_CPA	400	CEBPE+SPI1	original_test	0.36153233054965245	0.4733627358051842	4.519979428792429	28.88229210106647	0.15649656242572005	0.5038491155553246
selected_CPA	400	CLDN6+KLF1	original_test	0.05640269772961477	0.1829005845837615	5.842856861692098	13.937431720630036	0.4192204832862833	0.709685080666748
selected_CPA	400	CNN1+ETS2	original_test	0.020441405986885538	0.11130897988748235	4.781361021929515	8.087761295217511	0.5911847354788833	0.6127471317175618
selected_CPA	400	CNN1+UBASH3A	original_test	0.15858520023476558	0.3181646797126924	4.673203535872806	20.385192726141394	0.22924500144067914	0.6310060360284592
selected_CPA	400	COL2A1+KLF1	original_test	0.05887675989561505	0.18273976385558344	6.124343072804897	12.807126386651856	0.478198066288153	0.5340491664548915
selected_CPA	400	DUSP9+PRTG	original_test	0.07868601814314646	0.21587251578261982	5.494957801271889	15.835536363111338	0.3470016850248481	0.7101412336988727
selected_CPA	400	DUSP9+SNAI1	original_test	0.18903879611941254	0.33981424032958807	5.438549336062126	21.780222442202287	0.24970127603123835	0.5313437127483194
selected_CPA	400	ELMSAN1+ZBTB10	original_test	0.13774074629686864	0.2854476518539631	4.733116329994209	17.969710192240637	0.2633941382114209	0.41051817510077265
selected_CPA	400	ETS2+IGDCC3	original_test	0.02591457535723628	0.12578945683664056	4.689658258389864	8.722967935565933	0.5376218613929372	0.5653442971306685
selected_CPA	400	ETS2+IKZF3	original_test	0.09305782226073506	0.23057788975367213	5.32894501239696	17.201853140124165	0.3097890075556415	0.7537317801982998
selected_CPA	400	ETS2+TGFBR2	original_test	0.019083274531208005	0.09958620026176494	4.467353539675226	6.08221465288247	0.7344945541437061	0.3456581458107826
selected_CPA	400	FOSB+IKZF3	original_test	0.058110263080780086	0.18642100206855652	5.262508559842896	13.848929922349562	0.3799938760142182	0.7084671453657186
selected_CPA	400	FOSB+OSR2	original_test	0.07741853754063618	0.18029516331080683	4.563479818060343	13.765553181238575	0.3315144519059377	0.44157725112700363
selected_CPA	400	FOSB+PTPN12	original_test	0.020233878515176336	0.11223007015998189	4.6810442656276985	7.639416257138588	0.6127489467868092	0.5565520563014797
selected_CPA	400	FOSB+UBASH3B	original_test	0.02203127811789939	0.112499098902378	4.424838157204239	7.065741364430004	0.6262383420202068	0.40686920169230534
selected_CPA	400	FOXA1+FOXA3	original_test	0.09777929188867114	0.2489734273939042	4.783962755427902	16.095463109522527	0.29722429997044175	0.5609840312724323
selected_CPA	400	FOXA1+FOXL2	original_test	0.08585968466191568	0.22916409706263186	4.713127237072961	14.966291585920432	0.3149161707838731	0.5279710532598628
selected_CPA	400	FOXA1+HOXB9	original_test	0.10816311169241029	0.2548537975277957	4.654185584786766	16.88310897776832	0.2756711214098895	0.5750693460918407
selected_CPA	400	FOXA3+HOXB9	original_test	0.1435400627081524	0.29750566429448577	4.796713520166598	19.00280609123775	0.25242132646811444	0.5322758748100742
selected_CPA	400	FOXL2+POU3F2	original_test	0.12007434834982555	0.27339772320650674	5.217882647134103	17.910262987473203	0.29133478669652113	0.5770514173769054
selected_CPA	400	FOXL2+ZNF318	original_test	0.04988734372042296	0.17724126089100906	4.476548067025667	11.14228291802737	0.4017621972049329	0.44523040652927054
selected_CPA	400	HOXC13+ZC3HAV1	original_test	0.04050118508003155	0.15161946573434212	4.787147323462303	10.190238648066323	0.4697777440541789	0.4689763657414728
selected_CPA	400	IGDCC3+PRTG	original_test	0.0566734222622157	0.18836347248017968	5.062262661148992	12.831900849829653	0.3945060611356107	0.5922042100231772
selected_CPA	400	IGDCC3+TGFBR2	original_test	0.036991264429615006	0.15232203074008535	4.534622351775462	10.1592191207179	0.44635540368726917	0.5403942445094627
selected_CPA	400	KLF1+TGFBR2	original_test	0.01976744080397769	0.10622263071889859	5.587137649823016	8.504632040083752	0.6569523082821106	0.6735547069783783
selected_CPA	400	MAPK1+TGFBR2	original_test	0.03316269755059025	0.123429770017999	4.607672690350819	9.427970596294957	0.48872370180721203	0.5040385744056084
selected_CPA	400	OSR2+PTPN12	original_test	0.020171093926071356	0.09921905805290938	4.650022465628445	6.055365704674185	0.7679176935654036	0.3187058460256439
selected_CPA	400	OSR2+UBASH3B	original_test	0.022586776375437573	0.1018860699141284	4.512813629117647	5.606393015443088	0.8049406484145649	0.130897586637966
selected_CPA	400	PRTG+TGFBR2	original_test	0.04417621539571313	0.16584877578240426	4.6262578542463935	11.213946813118824	0.41254501482335265	0.566731015081216
selected_CPA	400	PTPN12+SAMD1	original_test	0.08529578199571745	0.23343490479690154	5.106259760783499	15.938669031299396	0.3203692699030348	0.6728563305565227
selected_CPA	400	PTPN12+SNAI1	original_test	0.04146715294678594	0.15626956647879744	4.9304003235963885	10.559666939924963	0.4669086962350182	0.5078531393717506
selected_CPA	400	PTPN12+UBASH3A	original_test	0.08858491856533349	0.23612444637533353	4.7965456412873495	16.105326876166654	0.2978235510628152	0.6810268912304972
selected_CPA	400	PTPN12+ZBTB10	original_test	0.1050675097224849	0.2530701929008722	5.231665399829654	16.465340488528078	0.31773806338682886	0.512778960051472
selected_CPA	400	RHOXF2B+ZBTB25	original_test	0.11173227450346203	0.262623776578657	5.467902742571999	17.769564119807622	0.30771169769307744	0.6287978223758055
selected_CPA	400	SAMD1+UBASH3B	original_test	0.1009550492977558	0.2562684564100135	4.883875706375291	16.580089212660962	0.29456269165583526	0.5979709052577448
selected_CPA	400	SAMD1+ZBTB1	original_test	0.09837083361089848	0.24878086917555192	5.0560488879819925	16.582127070249527	0.30490954909235957	0.6189697366216536
selected_CPA	400	SGK1+TBX2	original_test	0.0838570269348215	0.2198999383098261	5.189846718434759	15.44037166533399	0.33612187782284825	0.6091456367861576
selected_CPA	400	SGK1+TBX3	original_test	0.06399407649350243	0.2010322287299253	4.60029727373282	12.851399030147647	0.35796081523429035	0.49334224067559673
selected_CPA	400	TBX2+TBX3	original_test	0.05557647832633099	0.1736488771728362	4.923259578027129	11.823176004081523	0.416407535194228	0.45416872494001836
selected_CPA	400	UBASH3A+UBASH3B	original_test	0.026785490807345148	0.13018238664128226	4.501936963945241	8.907908422733813	0.5053865341111812	0.5741150097430201
selected_CPA	400	UBASH3B+ZBTB25	original_test	0.06613759645540514	0.20622950321572697	4.831658694915694	13.969080204360077	0.3458823790994929	0.6386134655684412
original_CPA	200	BAK1+KLF1	original_test	0.02256074040215307	0.10928009270830227	3.389641171394854	8.081914329121009	0.4194106783811345	0.5783129968507147
original_CPA	200	BAK1+TMSB4X	original_test	0.014722016145642329	0.09162780371708368	2.471758365602773	5.309536627424122	0.46553184186280416	0.18503415303155601
original_CPA	200	BPGM+ZBTB1	original_test	0.06611641591990695	0.18978447608212412	2.696099341062929	11.953581361293786	0.22554741207459508	0.27808432661946086
original_CPA	200	CBFA2T3+FEV	original_test	0.23834668033234255	0.3659277946230795	3.1282297227441673	22.687583362504856	0.13788289712310683	0.33688579874850155
original_CPA	200	CBFA2T3+POU3F2	original_test	0.0977607330128468	0.2445091655950794	2.708746739914927	14.470811081583305	0.18718693269116696	0.27068147474193777
original_CPA	200	CBL+CNN1	original_test	0.16883846594664242	0.31519760914504497	2.770066572121319	19.06976616945182	0.14525959823035142	0.31852932623814795
original_CPA	200	CBL+PTPN12	original_test	0.09050883009711959	0.22864132722182545	2.948290172017469	14.262411861886608	0.20671750336253955	0.3696949755378577
original_CPA	200	CBL+PTPN9	original_test	0.10303293817294815	0.26186431526186954	2.689046700337522	14.876761048947062	0.18075484922357113	0.2810086939384474
original_CPA	200	CBL+UBASH3B	original_test	0.1586681811533364	0.3164659560276012	2.599377505817572	18.382514428966875	0.14140489408355986	0.28605554039865294
original_CPA	200	CEBPB+MAPK1	original_test	0.09297845248049541	0.2217162456268259	3.0964266364550115	14.763186114390509	0.20973972775678484	0.45482144649763384
original_CPA	200	CEBPB+PTPN12	original_test	0.06306775994204837	0.19651199839720354	2.8138561586554505	11.762568042988685	0.23922124389603053	0.3042505190969814
original_CPA	200	CEBPE+CNN1	original_test	0.06325485355704208	0.19952751323677614	2.7160536525632364	11.785999114016793	0.23044746790563575	0.3089057612855734
original_CPA	200	CEBPE+ETS2	original_test	0.0800716114130036	0.20551434940824692	2.8904830269184316	13.512880126298915	0.2139057698952677	0.39440071812356475
original_CPA	200	CEBPE+PTPN12	original_test	0.04766259968505986	0.17402965293792597	2.9111615083031994	10.350799038465532	0.2812499303179176	0.33665425296701895
