view	depth	model	model_kind	metric	metric_direction	task_count	allocation_count	realizations_per_allocation	repeated_realizations	A_allocation	A_Cobs	A_Cpred	A_Cmodel	A_anchor_task_mean	B_repeated_task_mean	B_minimum_task_mean	B_maximum_task_mean	C_same_primary_mean	C_minus_B_same_primary	C_full_role_assignments_per_allocation	all_task_support
direct_state	16	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.1062842872279846	0.1101149373473323	0.06268909771165629	0.1741955440455819	0.1101149373473323	0	27	True
direct_state	16	selected_CPA	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.5612794612794613	0.5605462027684249	0.5521885521885522	0.569023569023569	0.5605462027684249	0	27	True
direct_state	16	original_CPA_fixed	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.09275262305821325	0.09275262305821325	0.09275262305821325	0.09275262305821325	0.09275262305821325	0	27	True
direct_state	16	original_CPA_fixed	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.1315293332522501	0.13152933325225	0.1315293332522501	0.1315293332522501	0.13152933325225	0	27	True
direct_state	16	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	-0.09991128464033494	-0.09991128464033494	-0.09991128464033494	-0.09991128464033494	-0.09991128464033494	0	27	True
direct_state	16	original_CPA_fixed	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.5279461279461278	0.5279461279461278	0.5279461279461278	0.5279461279461278	0.5279461279461278	0	27	True
direct_state	16	additive	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.02619516713620195	0.02619516713620195	0.02619516713620195	0.02619516713620195	0.02619516713620195	0	27	True
direct_state	16	additive	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.0689669535513437	0.0689669535513437	0.0689669535513437	0.0689669535513437	0.0689669535513437	0	27	True
direct_state	16	additive	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.7960862159356358	0.7960862159356356	0.7960862159356358	0.7960862159356358	0.7960862159356356	0	27	True
direct_state	16	additive	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.9717171717171719	0.9717171717171719	0.9717171717171719	0.9717171717171719	0.9717171717171719	0	27	True
