role_a	role_b	depth	model	model_kind	metric	metric_direction	task_count	allocation_count	directed_contrasts_per_allocation	total_task_mean_contrasts	mean_abs_task_score_change	minimum_task_mean_change	maximum_task_mean_change	mean_abs_task_mean_change	gap_0_positive_count	gap_0_negative_count	gap_0_within_count	gap_0p005_positive_count	gap_0p005_negative_count	gap_0p005_within_count	gap_0p01_positive_count	gap_0p01_negative_count	gap_0p01_within_count	gap_0p02_positive_count	gap_0p02_negative_count	gap_0p02_within_count
Cobs	Cpred	16	original_CPA_fixed	state	standardized_MSE	lower	55	30	108	3240	0.02045443026148936	-0.03574702416434884	0.03574702416434885	0.02045443026149008	1620	1620	0	1620	1620	0	1620	1620	0	540	540	2160
Cobs	Cpred	16	original_CPA_fixed	state	raw_RMSE	lower	55	30	108	3240	0.01569333067985402	-0.02701406475683552	0.02701406475683552	0.01569333067985427	1620	1620	0	1620	1620	0	1620	1620	0	540	540	2160
Cobs	Cpred	16	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.1406100824674927	-0.07112654028830634	0.07112654028830633	0.04216650180636631	1620	1620	0	1620	1620	0	1620	1620	0	1620	1620	0
Cobs	Cpred	16	original_CPA_fixed	state	centroid_accuracy	higher	55	30	108	3240	0.01263000374110773	-0.008080808080808079	0.008080808080808077	0.001735877291432849	1518	1518	204	54	54	3132	0	0	3240	0	0	3240
Cobs	Cpred	16	additive	state	standardized_MSE	lower	55	30	108	3240	0.02045443026148936	-0.03574702416434883	0.03574702416434882	0.02045443026149005	1620	1620	0	1620	1620	0	1620	1620	0	540	540	2160
Cobs	Cpred	16	additive	state	raw_RMSE	lower	55	30	108	3240	0.02590248365880879	-0.0444001566659739	0.0444001566659739	0.02590248365880911	1620	1620	0	1620	1620	0	1620	1620	0	852	852	1536
Cobs	Cpred	16	additive	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.1276782750998647	-0.2150836112680218	0.2150836112680218	0.1276782750998656	1620	1620	0	1620	1620	0	1620	1620	0	1620	1620	0
Cobs	Cpred	16	additive	state	centroid_accuracy	higher	55	30	108	3240	0.004466891133555605	-0.009427609427609425	0.009427609427609422	0.001977802718543472	1518	1518	204	126	126	2988	0	0	3240	0	0	3240
Cobs	Cpred	16	compositional_ridge	state	standardized_MSE	lower	55	30	108	3240	0.02045443026148936	-0.03574702416434886	0.03574702416434886	0.02045443026149005	1620	1620	0	1620	1620	0	1620	1620	0	540	540	2160
Cobs	Cpred	16	compositional_ridge	state	raw_RMSE	lower	55	30	108	3240	0.02714825862406694	-0.04654345271010708	0.04654345271010708	0.02714825862406838	1620	1620	0	1620	1620	0	1620	1620	0	1188	1188	864
Cobs	Cpred	16	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.2369493415806182	-0.3926118569671423	0.3926118569671423	0.2369493415806115	1620	1620	0	1620	1620	0	1620	1620	0	1620	1620	0
Cobs	Cpred	16	compositional_ridge	state	centroid_accuracy	higher	55	30	108	3240	0.01417882528993714	-0.02491582491582493	0.02491582491582491	0.004362139917695487	1584	1584	72	522	522	2196	162	162	2916	12	12	3216
Cobs	Cpred	16	NC_native_effect	native_effect	standardized_MSE	lower	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	16	NC_native_effect	native_effect	raw_RMSE	lower	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	16	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	16	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	16	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	16	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	16	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	16	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	108	3240	0	0	0	0	0	0	3240	0	0	3240	0	0	3240	0	0	3240
Cobs	Cpred	32	selected_CPA	state	standardized_MSE	lower	55	30	108	3240	0.01031201408397913	-0.01883774562382822	0.01883774562382822	0.01031201408397946	1620	1620	0	1620	1620	0	552	552	2136	0	0	3240
Cobs	Cpred	32	selected_CPA	state	raw_RMSE	lower	55	30	108	3240	0.008934206562683442	-0.01655809701108241	0.01655809701108241	0.008934206562683622	1620	1620	0	1620	1620	0	540	540	2160	0	0	3240
Cobs	Cpred	32	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	108	3240	0.08361248619115208	-0.07907380295926712	0.07907380295926711	0.03102675468448483	1620	1620	0	1620	1620	0	1610	1610	20	1264	1264	712
Cobs	Cpred	32	selected_CPA	state	centroid_accuracy	higher	55	30	108	3240	0.01296254728352867	-0.009764309764309769	0.009764309764309765	0.00204181735045933	1542	1542	156	92	92	3056	0	0	3240	0	0	3240
Cobs	Cpred	32	original_CPA_fixed	state	standardized_MSE	lower	55	30	108	3240	0.01031201408397915	-0.01883774562382822	0.01883774562382822	0.01031201408397946	1620	1620	0	1620	1620	0	552	552	2136	0	0	3240
