role	depth	model	model_kind	metric	metric_direction	task_count	allocation_count	directed_contrasts_per_allocation	total_task_mean_contrasts	mean_abs_task_score_change	minimum_task_mean_change	maximum_task_mean_change	mean_abs_task_mean_change	gap_0_positive_count	gap_0_negative_count	gap_0_within_count	gap_0p005_positive_count	gap_0p005_negative_count	gap_0p005_within_count	gap_0p01_positive_count	gap_0p01_negative_count	gap_0p01_within_count	gap_0p02_positive_count	gap_0p02_negative_count	gap_0p02_within_count
Cobs	16	original_CPA_fixed	state	raw_RMSE	lower	55	30	54	1620	0.00976771942543557	-0.02554446621345597	0.02554446621345597	0.009362646588600917	810	810	0	564	564	492	336	336	948	60	60	1500
Cobs	16	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.0835076824793589	-0.0767228740108747	0.0767228740108747	0.02556973541154477	810	810	0	738	738	144	648	648	324	444	444	732
Cobs	16	original_CPA_fixed	state	centroid_accuracy	higher	55	30	54	1620	0.01230078563411228	-0.01010101010101011	0.01010101010101011	0.002628756702830786	771	771	78	114	114	1392	3	3	1614	0	0	1620
Cobs	16	additive	state	standardized_MSE	lower	55	30	54	1620	0.01115243174672953	-0.02081826686293794	0.02081826686293794	0.01068776568792255	810	810	0	540	540	540	540	540	540	6	6	1608
Cobs	16	additive	state	raw_RMSE	lower	55	30	54	1620	0.01395937453806481	-0.02545906315540207	0.02545906315540207	0.01348266169193526	810	810	0	543	543	534	540	540	540	171	171	1278
Cobs	16	additive	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.06835722054213879	-0.1091514429066627	0.1091514429066627	0.06508012862949022	810	810	0	618	618	384	543	543	534	540	540	540
Cobs	16	additive	state	centroid_accuracy	higher	55	30	54	1620	0.005067963586482453	-0.01245791245791245	0.01245791245791245	0.00307769048509789	780	780	60	174	174	1272	21	21	1578	0	0	1620
Cobs	16	compositional_ridge	state	standardized_MSE	lower	55	30	54	1620	0.01118896513689082	-0.02159104318567929	0.02159104318567929	0.01073682289980612	810	810	0	546	546	528	540	540	540	18	18	1584
Cobs	16	compositional_ridge	state	raw_RMSE	lower	55	30	54	1620	0.01462289072387125	-0.02643877064291658	0.02643877064291658	0.0140694508181063	810	810	0	546	546	528	540	540	540	273	273	1074
Cobs	16	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.1265189993308936	-0.2168690266888466	0.2168690266888466	0.1215825499058997	810	810	0	717	717	186	651	651	318	561	561	498
Cobs	16	compositional_ridge	state	centroid_accuracy	higher	55	30	54	1620	0.02028931288190033	-0.04242424242424243	0.04242424242424243	0.01064222471629882	798	798	24	549	549	522	360	360	900	126	126	1368
