depth	role	model	metric	gap	taskmean_values	positive	negative	within
8	Cobs	native_effect_ridge	raw_RMSE	0.005	1620	36	36	1548
8	Cobs	native_effect_ridge	raw_RMSE	0.01	1620	0	0	1620
8	Cobs	native_effect_ridge	raw_RMSE	0.02	1620	0	0	1620
8	Cobs	native_effect_ridge	perturbation_centred_Pearson	0.0	1620	810	810	0
8	Cobs	native_effect_ridge	perturbation_centred_Pearson	0.005	1620	459	459	702
8	Cobs	native_effect_ridge	perturbation_centred_Pearson	0.01	1620	243	243	1134
8	Cobs	native_effect_ridge	perturbation_centred_Pearson	0.02	1620	18	18	1584
8	Cobs	native_effect_ridge	centroid_accuracy	0.0	1620	765	765	90
8	Cobs	native_effect_ridge	centroid_accuracy	0.005	1620	153	153	1314
8	Cobs	native_effect_ridge	centroid_accuracy	0.01	1620	18	18	1584
8	Cobs	native_effect_ridge	centroid_accuracy	0.02	1620	0	0	1620
8	Cpred	selected_CPA	standardized_MSE	0.0	1620	810	810	0
8	Cpred	selected_CPA	standardized_MSE	0.005	1620	704	704	212
8	Cpred	selected_CPA	standardized_MSE	0.01	1620	631	631	358
8	Cpred	selected_CPA	standardized_MSE	0.02	1620	477	477	666
8	Cpred	selected_CPA	raw_RMSE	0.0	1620	810	810	0
8	Cpred	selected_CPA	raw_RMSE	0.005	1620	668	668	284
8	Cpred	selected_CPA	raw_RMSE	0.01	1620	573	573	474
8	Cpred	selected_CPA	raw_RMSE	0.02	1620	387	387	846
8	Cpred	selected_CPA	perturbation_centred_Pearson	0.0	1620	810	810	0
8	Cpred	selected_CPA	perturbation_centred_Pearson	0.005	1620	759	759	102
8	Cpred	selected_CPA	perturbation_centred_Pearson	0.01	1620	691	691	238
8	Cpred	selected_CPA	perturbation_centred_Pearson	0.02	1620	583	583	454
8	Cpred	selected_CPA	centroid_accuracy	0.0	1620	795	795	30
8	Cpred	selected_CPA	centroid_accuracy	0.005	1620	466	466	688
8	Cpred	selected_CPA	centroid_accuracy	0.01	1620	211	211	1198
8	Cpred	selected_CPA	centroid_accuracy	0.02	1620	8	8	1604
8	Cpred	original_CPA_fixed	standardized_MSE	0.0	1620	810	810	0
8	Cpred	original_CPA_fixed	standardized_MSE	0.005	1620	720	720	180
8	Cpred	original_CPA_fixed	standardized_MSE	0.01	1620	657	657	306
8	Cpred	original_CPA_fixed	standardized_MSE	0.02	1620	453	453	714
8	Cpred	original_CPA_fixed	raw_RMSE	0.0	1620	810	810	0
8	Cpred	original_CPA_fixed	raw_RMSE	0.005	1620	690	690	240
8	Cpred	original_CPA_fixed	raw_RMSE	0.01	1620	579	579	462
8	Cpred	original_CPA_fixed	raw_RMSE	0.02	1620	327	327	966
8	Cpred	original_CPA_fixed	perturbation_centred_Pearson	0.0	1620	810	810	0
8	Cpred	original_CPA_fixed	perturbation_centred_Pearson	0.005	1620	768	768	84
8	Cpred	original_CPA_fixed	perturbation_centred_Pearson	0.01	1620	711	711	198
8	Cpred	original_CPA_fixed	perturbation_centred_Pearson	0.02	1620	567	567	486
8	Cpred	original_CPA_fixed	centroid_accuracy	0.0	1620	777	777	66
8	Cpred	original_CPA_fixed	centroid_accuracy	0.005	1620	213	213	1194
8	Cpred	original_CPA_fixed	centroid_accuracy	0.01	1620	27	27	1566
8	Cpred	original_CPA_fixed	centroid_accuracy	0.02	1620	0	0	1620
8	Cpred	additive	standardized_MSE	0.0	1620	810	810	0
8	Cpred	additive	standardized_MSE	0.005	1620	573	573	474
8	Cpred	additive	standardized_MSE	0.01	1620	540	540	540
8	Cpred	additive	standardized_MSE	0.02	1620	540	540	540
8	Cpred	additive	raw_RMSE	0.0	1620	810	810	0
8	Cpred	additive	raw_RMSE	0.005	1620	570	570	480
8	Cpred	additive	raw_RMSE	0.01	1620	540	540	540
8	Cpred	additive	raw_RMSE	0.02	1620	540	540	540
8	Cpred	additive	perturbation_centred_Pearson	0.0	1620	810	810	0
8	Cpred	additive	perturbation_centred_Pearson	0.005	1620	699	699	222
8	Cpred	additive	perturbation_centred_Pearson	0.01	1620	591	591	438
8	Cpred	additive	perturbation_centred_Pearson	0.02	1620	549	549	522
8	Cpred	additive	centroid_accuracy	0.0	1620	777	777	66
8	Cpred	additive	centroid_accuracy	0.005	1620	267	267	1086
8	Cpred	additive	centroid_accuracy	0.01	1620	84	84	1452
8	Cpred	additive	centroid_accuracy	0.02	1620	3	3	1614
8	Cpred	compositional_ridge	standardized_MSE	0.0	1620	810	810	0
8	Cpred	compositional_ridge	standardized_MSE	0.005	1620	582	582	456
8	Cpred	compositional_ridge	standardized_MSE	0.01	1620	543	543	534
8	Cpred	compositional_ridge	standardized_MSE	0.02	1620	540	540	540
8	Cpred	compositional_ridge	raw_RMSE	0.0	1620	810	810	0
