task_index	task	depth	allocation	model	view	Cobs	Cpred	Cmodel	standardized_MSE	raw_RMSE	perturbation_centred_Pearson	centroid_accuracy
0	BAK1+KLF1	8	0	selected_CPA	roles	0	0	0	0.022750751097408102	0.068007337962856	0.7786846847376435	0.9814814814814815
0	BAK1+KLF1	8	0	selected_CPA	roles	0	0	1	0.020927507226978635	0.06480357300410965	0.8122675324100517	1.0
0	BAK1+KLF1	8	0	selected_CPA	roles	0	0	2	0.019364769609588675	0.0627655007656229	0.8358963917413637	0.9814814814814815
0	BAK1+KLF1	8	0	selected_CPA	roles	0	1	0	0.05504849336160856	0.10437745207151448	0.4622202612057502	0.9444444444444444
0	BAK1+KLF1	8	0	selected_CPA	roles	0	1	1	0.0483289488706522	0.0970319843770744	0.5050710984141954	0.9629629629629629
0	BAK1+KLF1	8	0	selected_CPA	roles	0	1	2	0.04937944376262283	0.09853133106774356	0.5117475906400089	0.9629629629629629
0	BAK1+KLF1	8	0	selected_CPA	roles	0	2	0	0.056983888717430375	0.10592950152550568	0.4290344605040811	0.9629629629629629
0	BAK1+KLF1	8	0	selected_CPA	roles	0	2	1	0.052670423052295204	0.10107559050363717	0.45812143019493895	0.9814814814814815
0	BAK1+KLF1	8	0	selected_CPA	roles	0	2	2	0.05027394808559444	0.09920147878926704	0.4844100854337816	0.9814814814814815
0	BAK1+KLF1	8	0	selected_CPA	roles	1	0	0	0.047899582606396755	0.09623399815511989	0.506867758120428	1.0
0	BAK1+KLF1	8	0	selected_CPA	roles	1	0	1	0.05097263935649417	0.0994456586499271	0.4921089436387268	1.0
0	BAK1+KLF1	8	0	selected_CPA	roles	1	0	2	0.04679666922974362	0.09526925967493514	0.529213125161517	1.0
0	BAK1+KLF1	8	0	selected_CPA	roles	1	1	0	0.022750751097408102	0.068007337962856	0.7786846847376435	0.9814814814814815
0	BAK1+KLF1	8	0	selected_CPA	roles	1	1	1	0.020927507226978635	0.06480357300410965	0.8122675324100517	1.0
0	BAK1+KLF1	8	0	selected_CPA	roles	1	1	2	0.019364769609588675	0.0627655007656229	0.8358963917413637	0.9814814814814815
0	BAK1+KLF1	8	0	selected_CPA	roles	1	2	0	0.05199208272710933	0.10058431745038564	0.4581552156709573	0.9814814814814815
0	BAK1+KLF1	8	0	selected_CPA	roles	1	2	1	0.05257491768250104	0.10082842944958599	0.4605298937078089	1.0
0	BAK1+KLF1	8	0	selected_CPA	roles	1	2	2	0.047565210206439695	0.0961135702490577	0.5024227852695206	1.0
0	BAK1+KLF1	8	0	selected_CPA	roles	2	0	0	0.04679271493841658	0.09455595244673114	0.5385074268203305	0.9814814814814815
0	BAK1+KLF1	8	0	selected_CPA	roles	2	0	1	0.04745969286269282	0.09536573050892731	0.5359515177018493	1.0
0	BAK1+KLF1	8	0	selected_CPA	roles	2	0	2	0.04673069259461365	0.09460430318808857	0.553967186656262	1.0
0	BAK1+KLF1	8	0	selected_CPA	roles	2	1	0	0.04894981970330734	0.09731723314320034	0.5236081861738561	0.9814814814814815
0	BAK1+KLF1	8	0	selected_CPA	roles	2	1	1	0.04472049700705669	0.09257692322035514	0.5529554436116583	0.9814814814814815
0	BAK1+KLF1	8	0	selected_CPA	roles	2	1	2	0.04660472924833812	0.09475785211114698	0.5542628866706492	0.9814814814814815
0	BAK1+KLF1	8	0	selected_CPA	roles	2	2	0	0.022750751097408102	0.068007337962856	0.7786846847376435	0.9814814814814815
0	BAK1+KLF1	8	0	selected_CPA	roles	2	2	1	0.020927507226978635	0.06480357300410965	0.8122675324100517	1.0
0	BAK1+KLF1	8	0	selected_CPA	roles	2	2	2	0.019364769609588675	0.0627655007656229	0.8358963917413637	0.9814814814814815
0	BAK1+KLF1	8	0	selected_CPA	direct_state	unused	unused	0	0.022750751097408102	0.068007337962856	0.7786846847376435	0.9814814814814815
0	BAK1+KLF1	8	0	selected_CPA	direct_state	unused	unused	1	0.020927507226978635	0.06480357300410965	0.8122675324100517	1.0
0	BAK1+KLF1	8	0	selected_CPA	direct_state	unused	unused	2	0.019364769609588675	0.0627655007656229	0.8358963917413637	0.9814814814814815
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	0	0	0	0.02060770208667321	0.06794371769685714	0.795187953542578	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	0	0	1	0.02060770208667321	0.06794371769685714	0.795187953542578	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	0	0	2	0.02060770208667321	0.06794371769685714	0.795187953542578	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	0	1	0	0.05221650220557062	0.10290423697477617	0.461647552765726	0.8888888888888888
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	0	1	1	0.05221650220557062	0.10290423697477617	0.461647552765726	0.8888888888888888
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	0	1	2	0.05221650220557062	0.10290423697477617	0.461647552765726	0.8888888888888888
