depth	role_pair	model	metric	edges_per_allocation	task_edge_values	all_task_mean_abs_change	all_task_max_abs_change	taskmean_min_change	taskmean_max_change	taskmean_mean_abs_change	taskmean_max_abs_change	taskmean_signed_mean_change
8	Cobs:Cpred	selected_CPA	standardized_MSE	108	178200	0.04102812877538304	0.07413858642109747	-0.07413858642109744	0.07413858642109744	0.04102812877539351	0.07413858642109744	4.326100520337223e-19
8	Cobs:Cpred	selected_CPA	raw_RMSE	108	178200	0.03179028592622966	0.09623645016396595	-0.05934061540537296	0.05934061540537295	0.031790285926229435	0.05934061540537296	-6.639065154972966e-20
8	Cobs:Cpred	selected_CPA	perturbation_centred_Pearson	108	178200	0.16090675888834627	0.8069585897064975	-0.20721678236707464	0.2072167823670747	0.06477295837811922	0.2072167823670747	-5.996574978685259e-19
8	Cobs:Cpred	selected_CPA	centroid_accuracy	108	178200	0.019830402793382832	0.20370370370370372	-0.014478114478114472	0.014478114478114472	0.002717712100428158	0.014478114478114472	-2.7868011396479263e-19
8	Cobs:Cpred	original_CPA_fixed	standardized_MSE	108	178200	0.04102812877538304	0.07413858642109755	-0.07413858642109743	0.07413858642109744	0.04102812877539351	0.07413858642109744	3.555112308791975e-19
8	Cobs:Cpred	original_CPA_fixed	raw_RMSE	108	178200	0.029752632617993036	0.09767780612193128	-0.05160443082886243	0.05160443082886243	0.029752632617994615	0.05160443082886243	0.0
8	Cobs:Cpred	original_CPA_fixed	perturbation_centred_Pearson	108	178200	0.20321834438129494	0.7029415053489763	-0.10551569467514732	0.10551569467514732	0.06001817009903476	0.10551569467514732	-1.8846378504439386e-19
8	Cobs:Cpred	original_CPA_fixed	centroid_accuracy	108	178200	0.01564534231200982	0.1296296296296296	-0.010437710437710431	0.010437710437710428	0.0019952612545205252	0.010437710437710431	-1.9038790927025547e-19
8	Cobs:Cpred	additive	standardized_MSE	108	178200	0.04102812877538304	0.0741385864210974	-0.07413858642109743	0.07413858642109743	0.04102812877539351	0.07413858642109743	4.411765877175583e-19
8	Cobs:Cpred	additive	raw_RMSE	108	178200	0.04658105288307415	0.11294138206731297	-0.08101030932410322	0.08101030932410322	0.046581052883075375	0.08101030932410322	2.826956775665908e-19
8	Cobs:Cpred	additive	perturbation_centred_Pearson	108	178200	0.21358276310028437	0.6525485418232777	-0.3438782602237535	0.3438782602237535	0.21358276310029067	0.3438782602237535	1.3706457094137735e-19
8	Cobs:Cpred	additive	centroid_accuracy	108	178200	0.006422247162984502	0.38888888888888884	-0.017845117845117855	0.017845117845117844	0.003461778276593112	0.017845117845117855	-1.0869461409467332e-18
8	Cobs:Cpred	compositional_ridge	standardized_MSE	108	178200	0.04102812877538304	0.07413858642109741	-0.07413858642109744	0.07413858642109744	0.04102812877539351	0.07413858642109744	-6.853228547068867e-20
8	Cobs:Cpred	compositional_ridge	raw_RMSE	108	178200	0.04835524627377801	0.11641892864274675	-0.0838548132676831	0.0838548132676831	0.048355246273780066	0.0838548132676831	-2.355797313054923e-19
8	Cobs:Cpred	compositional_ridge	perturbation_centred_Pearson	108	178200	0.3544828433620417	0.8648852689863644	-0.5620177808291441	0.5620177808291441	0.35448284336203656	0.5620177808291441	-3.666477272681844e-18
8	Cobs:Cpred	compositional_ridge	centroid_accuracy	108	178200	0.019204389574768603	0.2592592592592594	-0.0511784511784512	0.05117845117845119	0.008165606684125191	0.0511784511784512	-2.3852447794681098e-18
