depth	role	model	metric	edges_per_allocation	task_edge_values	all_task_mean_abs_change	all_task_max_abs_change	taskmean_min_change	taskmean_max_change	taskmean_mean_abs_change	taskmean_max_abs_change	taskmean_signed_mean_change
8	Cobs	selected_CPA	standardized_MSE	54	89100	0.023767358075692663	0.10042942376371033	-0.06759071969973207	0.06759071969973207	0.02342913376077086	0.06759071969973207	2.9982874893426294e-19
8	Cobs	selected_CPA	raw_RMSE	54	89100	0.018102988023801714	0.0574366825103714	-0.04497140222770644	0.04497140222770644	0.017809462405391486	0.04497140222770644	-2.3557973130549232e-20
8	Cobs	selected_CPA	perturbation_centred_Pearson	54	89100	0.09852633539585187	0.5770954423926132	-0.15474505766137542	0.15474505766137542	0.040736479157776055	0.15474505766137542	2.5699607051508254e-20
8	Cobs	selected_CPA	centroid_accuracy	54	89100	0.02319075528950964	0.2777777777777778	-0.030976430976430974	0.030976430976430974	0.0068212994138919965	0.030976430976430974	-3.132626344384604e-20
8	Cobs	original_CPA_fixed	standardized_MSE	54	89100	0.02403702020153231	0.098679914164989	-0.0632869491822344	0.0632869491822344	0.023773095502449017	0.0632869491822344	4.7115946261098464e-20
8	Cobs	original_CPA_fixed	raw_RMSE	54	89100	0.017077442408092457	0.05401728130461102	-0.041959241676524775	0.041959241676524775	0.016856913136871095	0.041959241676524775	-7.06739193916477e-20
8	Cobs	original_CPA_fixed	perturbation_centred_Pearson	54	89100	0.11674081055125826	0.4951170965043089	-0.10826390129142097	0.10826390129142097	0.03558221785462728	0.10826390129142097	-1.3492293702041833e-19
8	Cobs	original_CPA_fixed	centroid_accuracy	54	89100	0.016563162489077254	0.16666666666666663	-0.01582491582491582	0.01582491582491582	0.0033470507544581824	0.01582491582491582	-1.603548398318067e-19
8	Cobs	additive	standardized_MSE	54	89100	0.021875987145967803	0.061188448403830795	-0.041944051601568104	0.041944051601568104	0.021280414600173995	0.041944051601568104	1.3278130309945932e-19
8	Cobs	additive	raw_RMSE	54	89100	0.024556939373125274	0.06041789798576574	-0.045040295221896176	0.045040295221896176	0.024032226552485977	0.045040295221896176	8.138208899644281e-20
8	Cobs	additive	perturbation_centred_Pearson	54	89100	0.11315784146660855	0.4449158569078827	-0.18393172955605822	0.18393172955605822	0.10899815883420082	0.18393172955605822	6.339236406038702e-19
8	Cobs	additive	centroid_accuracy	54	89100	0.007379972565157178	0.4259259259259258	-0.024915824915824922	0.024915824915824922	0.004459408903853361	0.024915824915824922	-1.13774302050948e-19
8	Cobs	compositional_ridge	standardized_MSE	54	89100	0.021956205647055412	0.06774176559946496	-0.04172430353268021	0.04172430353268021	0.021421861210844627	0.04172430353268021	-8.566535683836084e-21
8	Cobs	compositional_ridge	raw_RMSE	54	89100	0.025510930034886296	0.05931645227821338	-0.04564382631980192	0.04564382631980192	0.024980338904295508	0.04564382631980192	-1.4563110662521344e-19
8	Cobs	compositional_ridge	perturbation_centred_Pearson	54	89100	0.1876414726883648	0.5995863468451831	-0.32283473679393365	0.32283473679393365	0.18195075735099733	0.32283473679393365	-2.741291418827547e-19
8	Cobs	compositional_ridge	centroid_accuracy	54	89100	0.027532111235816132	0.42592592592592593	-0.07407407407407407	0.07407407407407407	0.015266242673650078	0.07407407407407407	-3.5604663935943725e-20
8	Cobs	NC_native_effect	standardized_MSE	54	89100	0.010486916326381096	0.06565201122799075	-0.02985213312722525	0.02985213312722525	0.010079382501131212	0.02985213312722525	2.9233303021090637e-19
8	Cobs	NC_native_effect	raw_RMSE	54	89100	0.006705215318655644	0.02625789393002792	-0.01920501660693724	0.01920501660693724	0.006306934002822245	0.01920501660693724	1.8846378504439386e-19
8	Cobs	NC_native_effect	perturbation_centred_Pearson	54	89100	0.03900879806638881	0.2081780992263031	-0.03825403434030806	0.03825403434030806	0.011900415066812286	0.03825403434030806	-6.639065154972966e-20
8	Cobs	NC_native_effect	centroid_accuracy	54	89100	0.014440703329582607	0.16666666666666663	-1.0092936587501423e-18	1.0092936587501423e-18	5.607186993056324e-20	1.0092936587501423e-18	0.0
8	Cobs	native_effect_ridge	standardized_MSE	54	89100	0.0032675175106265265	0.02705204976675428	-0.005833263698650834	0.005833263698650834	0.001306635753828634	0.005833263698650834	1.566069804701284e-20
8	Cobs	native_effect_ridge	raw_RMSE	54	89100	0.003733115702521247	0.02377559562371344	-0.007208950764493269	0.007208950764493269	0.0015904549789274732	0.007208950764493269	1.9943965888930885e-20
8	Cobs	native_effect_ridge	perturbation_centred_Pearson	54	89100	0.021279808840599428	0.23477042349274038	-0.0236933301948062	0.0236933301948062	0.006771071903059269	0.0236933301948062	-8.138208899644281e-20
8	Cobs	native_effect_ridge	centroid_accuracy	54	89100	0.011066217732881696	0.40740740740740744	-0.011784511784511788	0.011784511784511788	0.002933034044145171	0.011784511784511788	-1.0172761124555351e-20
8	Cpred	selected_CPA	standardized_MSE	54	89100	0.023813705223496257	0.10042942376371033	-0.06759071969973207	0.06759071969973207	0.023460398053803892	0.06759071969973207	2.5699607051508254e-20
8	Cpred	selected_CPA	raw_RMSE	54	89100	0.018150658568291712	0.0574366825103714	-0.04497140222770644	0.04497140222770644	0.017846270385256293	0.04497140222770644	-1.0279842820603302e-19
8	Cpred	selected_CPA	perturbation_centred_Pearson	54	89100	0.0985746043386703	0.5770954423926132	-0.15474505766137542	0.15474505766137542	0.04083157829071491	0.15474505766137542	2.9126221325042687e-19
