depth	role_pair	model	metric	gap	taskmean_values	positive	negative	within
8	Cobs:Cpred	NC_native_effect	perturbation_centred_Pearson	0.005	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	perturbation_centred_Pearson	0.01	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	perturbation_centred_Pearson	0.02	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	centroid_accuracy	0.0	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	centroid_accuracy	0.005	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	centroid_accuracy	0.01	3240	0	0	3240
8	Cobs:Cpred	NC_native_effect	centroid_accuracy	0.02	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	standardized_MSE	0.0	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	standardized_MSE	0.005	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	standardized_MSE	0.01	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	standardized_MSE	0.02	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	raw_RMSE	0.0	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	raw_RMSE	0.005	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	raw_RMSE	0.01	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	raw_RMSE	0.02	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	perturbation_centred_Pearson	0.0	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	perturbation_centred_Pearson	0.005	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	perturbation_centred_Pearson	0.01	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	perturbation_centred_Pearson	0.02	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	centroid_accuracy	0.0	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	centroid_accuracy	0.005	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	centroid_accuracy	0.01	3240	0	0	3240
8	Cobs:Cpred	native_effect_ridge	centroid_accuracy	0.02	3240	0	0	3240
8	Cobs:Cmodel	selected_CPA	standardized_MSE	0.0	3240	1620	1620	0
8	Cobs:Cmodel	selected_CPA	standardized_MSE	0.005	3240	528	528	2184
8	Cobs:Cmodel	selected_CPA	standardized_MSE	0.01	3240	84	84	3072
8	Cobs:Cmodel	selected_CPA	standardized_MSE	0.02	3240	0	0	3240
8	Cobs:Cmodel	selected_CPA	raw_RMSE	0.0	3240	1620	1620	0
8	Cobs:Cmodel	selected_CPA	raw_RMSE	0.005	3240	250	250	2740
8	Cobs:Cmodel	selected_CPA	raw_RMSE	0.01	3240	30	30	3180
8	Cobs:Cmodel	selected_CPA	raw_RMSE	0.02	3240	0	0	3240
8	Cobs:Cmodel	selected_CPA	perturbation_centred_Pearson	0.0	3240	1620	1620	0
8	Cobs:Cmodel	selected_CPA	perturbation_centred_Pearson	0.005	3240	1012	1012	1216
8	Cobs:Cmodel	selected_CPA	perturbation_centred_Pearson	0.01	3240	788	788	1664
8	Cobs:Cmodel	selected_CPA	perturbation_centred_Pearson	0.02	3240	638	638	1964
8	Cobs:Cmodel	selected_CPA	centroid_accuracy	0.0	3240	1556	1556	128
8	Cobs:Cmodel	selected_CPA	centroid_accuracy	0.005	3240	232	232	2776
8	Cobs:Cmodel	selected_CPA	centroid_accuracy	0.01	3240	4	4	3232
8	Cobs:Cmodel	selected_CPA	centroid_accuracy	0.02	3240	0	0	3240
8	Cobs:Cmodel	original_CPA_fixed	standardized_MSE	0.0	3240	0	0	3240
8	Cobs:Cmodel	original_CPA_fixed	standardized_MSE	0.005	3240	0	0	3240
8	Cobs:Cmodel	original_CPA_fixed	standardized_MSE	0.01	3240	0	0	3240
8	Cobs:Cmodel	original_CPA_fixed	standardized_MSE	0.02	3240	0	0	3240
8	Cobs:Cmodel	original_CPA_fixed	raw_RMSE	0.0	3240	0	0	3240
8	Cobs:Cmodel	original_CPA_fixed	raw_RMSE	0.005	3240	0	0	3240
8	Cobs:Cmodel	original_CPA_fixed	raw_RMSE	0.01	3240	0	0	3240
8	Cobs:Cmodel	original_CPA_fixed	raw_RMSE	0.02	3240	0	0	3240
8	Cobs:Cmodel	original_CPA_fixed	perturbation_centred_Pearson	0.0	3240	0	0	3240
8	Cobs:Cmodel	original_CPA_fixed	perturbation_centred_Pearson	0.005	3240	0	0	3240
8	Cobs:Cmodel	original_CPA_fixed	perturbation_centred_Pearson	0.01	3240	0	0	3240
8	Cobs:Cmodel	original_CPA_fixed	perturbation_centred_Pearson	0.02	3240	0	0	3240
8	Cobs:Cmodel	original_CPA_fixed	centroid_accuracy	0.0	3240	0	0	3240
8	Cobs:Cmodel	original_CPA_fixed	centroid_accuracy	0.005	3240	0	0	3240
8	Cobs:Cmodel	original_CPA_fixed	centroid_accuracy	0.01	3240	0	0	3240
8	Cobs:Cmodel	original_CPA_fixed	centroid_accuracy	0.02	3240	0	0	3240
8	Cobs:Cmodel	additive	standardized_MSE	0.0	3240	0	0	3240
8	Cobs:Cmodel	additive	standardized_MSE	0.005	3240	0	0	3240
8	Cobs:Cmodel	additive	standardized_MSE	0.01	3240	0	0	3240
8	Cobs:Cmodel	additive	standardized_MSE	0.02	3240	0	0	3240
8	Cobs:Cmodel	additive	raw_RMSE	0.0	3240	0	0	3240
8	Cobs:Cmodel	additive	raw_RMSE	0.005	3240	0	0	3240
8	Cobs:Cmodel	additive	raw_RMSE	0.01	3240	0	0	3240
8	Cobs:Cmodel	additive	raw_RMSE	0.02	3240	0	0	3240
8	Cobs:Cmodel	additive	perturbation_centred_Pearson	0.0	3240	0	0	3240
8	Cobs:Cmodel	additive	perturbation_centred_Pearson	0.005	3240	0	0	3240
8	Cobs:Cmodel	additive	perturbation_centred_Pearson	0.01	3240	0	0	3240
8	Cobs:Cmodel	additive	perturbation_centred_Pearson	0.02	3240	0	0	3240
8	Cobs:Cmodel	additive	centroid_accuracy	0.0	3240	0	0	3240
8	Cobs:Cmodel	additive	centroid_accuracy	0.005	3240	0	0	3240
8	Cobs:Cmodel	additive	centroid_accuracy	0.01	3240	0	0	3240
8	Cobs:Cmodel	additive	centroid_accuracy	0.02	3240	0	0	3240
8	Cobs:Cmodel	compositional_ridge	standardized_MSE	0.0	3240	0	0	3240
8	Cobs:Cmodel	compositional_ridge	standardized_MSE	0.005	3240	0	0	3240
8	Cobs:Cmodel	compositional_ridge	standardized_MSE	0.01	3240	0	0	3240
