dataset	regime	family	mode	depth	seed_summary	root_index	root_tasks	rms
gse162632	cap48	CellOT	raw_state	8	17	7	5	0.12292779207100245
gse162632	cap48	CellOT	raw_state	8	29	0	5	0.13106963548306322
gse162632	cap48	CellOT	raw_state	8	29	1	5	0.1269199900625864
gse162632	cap48	CellOT	raw_state	8	29	2	5	0.12199865451462479
gse162632	cap48	CellOT	raw_state	8	29	3	5	0.12366828070720152
gse162632	cap48	CellOT	raw_state	8	29	4	5	0.12158395544709259
gse162632	cap48	CellOT	raw_state	8	29	5	5	0.12127674987570435
gse162632	cap48	CellOT	raw_state	8	29	6	5	0.12273617816774655
gse162632	cap48	CellOT	raw_state	8	29	7	5	0.12517517583995535
gse162632	cap48	CellOT	raw_state	8	43	0	5	0.13298168610515645
gse162632	cap48	CellOT	raw_state	8	43	1	5	0.12915428115002672
gse162632	cap48	CellOT	raw_state	8	43	2	5	0.12300981996854359
gse162632	cap48	CellOT	raw_state	8	43	3	5	0.12610900605412526
gse162632	cap48	CellOT	raw_state	8	43	4	5	0.12543509802724087
gse162632	cap48	CellOT	raw_state	8	43	5	5	0.12224116018013421
gse162632	cap48	CellOT	raw_state	8	43	6	5	0.12369804731411033
gse162632	cap48	CellOT	raw_state	8	43	7	5	0.12689339626604787
gse162632	cap48	CellOT	input_centered_effect	4	mean_of_squared_seed_displacements	0	5	0.6859710805329373
gse162632	cap48	CellOT	input_centered_effect	4	mean_of_squared_seed_displacements	1	5	0.6608866431171718
gse162632	cap48	CellOT	input_centered_effect	4	mean_of_squared_seed_displacements	2	5	0.647961130940045
gse162632	cap48	CellOT	input_centered_effect	4	mean_of_squared_seed_displacements	3	5	0.647404490435108
gse162632	cap48	CellOT	input_centered_effect	4	mean_of_squared_seed_displacements	4	5	0.6573865877302624
gse162632	cap48	CellOT	input_centered_effect	4	mean_of_squared_seed_displacements	5	5	0.6786598364164841
gse162632	cap48	CellOT	input_centered_effect	4	mean_of_squared_seed_displacements	6	5	0.7072037961443097
gse162632	cap48	CellOT	input_centered_effect	4	mean_of_squared_seed_displacements	7	5	0.6783902134294213
gse162632	cap48	CellOT	input_centered_effect	4	17	0	5	0.6862744891699872
gse162632	cap48	CellOT	input_centered_effect	4	17	1	5	0.6612308721433663
gse162632	cap48	CellOT	input_centered_effect	4	17	2	5	0.6483782172327981
gse162632	cap48	CellOT	input_centered_effect	4	17	3	5	0.647551186335152
gse162632	cap48	CellOT	input_centered_effect	4	17	4	5	0.6575179656581078
gse162632	cap48	CellOT	input_centered_effect	4	17	5	5	0.679281447006574
gse162632	cap48	CellOT	input_centered_effect	4	17	6	5	0.7075584957563131
gse162632	cap48	CellOT	input_centered_effect	4	17	7	5	0.6786800941254162
gse162632	cap48	CellOT	input_centered_effect	4	29	0	5	0.6856368883222326
gse162632	cap48	CellOT	input_centered_effect	4	29	1	5	0.660374011975464
gse162632	cap48	CellOT	input_centered_effect	4	29	2	5	0.6475896571975548
gse162632	cap48	CellOT	input_centered_effect	4	29	3	5	0.6469204602542279
gse162632	cap48	CellOT	input_centered_effect	4	29	4	5	0.6571773699813357
gse162632	cap48	CellOT	input_centered_effect	4	29	5	5	0.6782827378252191
gse162632	cap48	CellOT	input_centered_effect	4	29	6	5	0.7066345230830172
gse162632	cap48	CellOT	input_centered_effect	4	29	7	5	0.6779667541281641
gse162632	cap48	CellOT	input_centered_effect	4	43	0	5	0.6860017149168486
gse162632	cap48	CellOT	input_centered_effect	4	43	1	5	0.661054735391862
gse162632	cap48	CellOT	input_centered_effect	4	43	2	5	0.6479152760477849
gse162632	cap48	CellOT	input_centered_effect	4	43	3	5	0.6477415394175522
gse162632	cap48	CellOT	input_centered_effect	4	43	4	5	0.6574643765286082
gse162632	cap48	CellOT	input_centered_effect	4	43	5	5	0.6784148907678306
gse162632	cap48	CellOT	input_centered_effect	4	43	6	5	0.7074180190757551
gse162632	cap48	CellOT	input_centered_effect	4	43	7	5	0.6785235848261189
gse162632	cap48	CellOT	input_centered_effect	6	mean_of_squared_seed_displacements	0	5	0.5600873851461959
gse162632	cap48	CellOT	input_centered_effect	6	mean_of_squared_seed_displacements	1	5	0.5395480778120486
gse162632	cap48	CellOT	input_centered_effect	6	mean_of_squared_seed_displacements	2	5	0.5289934912027591
gse162632	cap48	CellOT	input_centered_effect	6	mean_of_squared_seed_displacements	3	5	0.5284716616842666
gse162632	cap48	CellOT	input_centered_effect	6	mean_of_squared_seed_displacements	4	5	0.5369196803132006
gse162632	cap48	CellOT	input_centered_effect	6	mean_of_squared_seed_displacements	5	5	0.5541278313430785
gse162632	cap48	CellOT	input_centered_effect	6	mean_of_squared_seed_displacements	6	5	0.5774907304714388
gse162632	cap48	CellOT	input_centered_effect	6	mean_of_squared_seed_displacements	7	5	0.5537979629428794
gse162632	cap48	CellOT	input_centered_effect	6	17	0	5	0.5603497879881658
gse162632	cap48	CellOT	input_centered_effect	6	17	1	5	0.5398384187591726
gse162632	cap48	CellOT	input_centered_effect	6	17	2	5	0.5293080085256532
gse162632	cap48	CellOT	input_centered_effect	6	17	3	5	0.5285847960326712
gse162632	cap48	CellOT	input_centered_effect	6	17	4	5	0.5370181281179524
gse162632	cap48	CellOT	input_centered_effect	6	17	5	5	0.5546281469648073
gse162632	cap48	CellOT	input_centered_effect	6	17	6	5	0.5777880252550417
gse162632	cap48	CellOT	input_centered_effect	6	17	7	5	0.5540230402554349
gse162632	cap48	CellOT	input_centered_effect	6	29	0	5	0.5598009268706255
gse162632	cap48	CellOT	input_centered_effect	6	29	1	5	0.5391146523315901
gse162632	cap48	CellOT	input_centered_effect	6	29	2	5	0.5286941777673727
gse162632	cap48	CellOT	input_centered_effect	6	29	3	5	0.5280791449696008
gse162632	cap48	CellOT	input_centered_effect	6	29	4	5	0.5367510525145412
gse162632	cap48	CellOT	input_centered_effect	6	29	5	5	0.5538219984048864
gse162632	cap48	CellOT	input_centered_effect	6	29	6	5	0.5770135075936272
gse162632	cap48	CellOT	input_centered_effect	6	29	7	5	0.5534456153837255
gse162632	cap48	CellOT	input_centered_effect	6	43	0	5	0.5601113053457436
gse162632	cap48	CellOT	input_centered_effect	6	43	1	5	0.5396908912377656
gse162632	cap48	CellOT	input_centered_effect	6	43	2	5	0.5289781089139134
gse162632	cap48	CellOT	input_centered_effect	6	43	3	5	0.5287508124450162
gse162632	cap48	CellOT	input_centered_effect	6	43	4	5	0.5369898202201878
gse162632	cap48	CellOT	input_centered_effect	6	43	5	5	0.5539330041477514
gse162632	cap48	CellOT	input_centered_effect	6	43	6	5	0.5776703569231212
gse162632	cap48	CellOT	input_centered_effect	6	43	7	5	0.5539250607778127
gse162632	cap48	CellOT	input_centered_effect	8	mean_of_squared_seed_displacements	0	5	0.4851704923941206
gse162632	cap48	CellOT	input_centered_effect	8	mean_of_squared_seed_displacements	1	5	0.46718782173157636
