task	model_a	model_b	allocation	S_margin	O_margin	O_fixed_input_margin	S_direction	O_direction	O_fixed_input_direction	strict_S_O_reversal	actual_vs_fixed_input_direction_changed
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	13	-0.02919451499566915	0.09118790289175824	0.09433530038442131	-1	1	1	True	False
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	14	-0.02919451499566915	0.08822072996914904	0.0912116332765292	-1	1	1	True	False
Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	15	-0.02919451499566915	0.09861020751024813	0.10249687408656993	-1	1	1	True	False
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	0	0.008910950730290829	0.12849668192675	0.13173704337164743	1	1	1	False	False
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	1	0.008910950730290829	0.13875863633813834	0.14385159788073248	1	1	1	False	False
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	2	0.008910950730290829	0.12836817234587458	0.1282445873551232	1	1	1	False	False
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	3	0.008910950730290829	0.1351150808097008	0.14127398060945434	1	1	1	False	False
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	4	0.008910950730290829	0.13439557403480934	0.13737695489654578	1	1	1	False	False
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	5	0.008910950730290829	0.13005677287343886	0.13250263522317218	1	1	1	False	False
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	6	0.008910950730290829	0.1290602247100648	0.1311043241991582	1	1	1	False	False
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	7	0.008910950730290829	0.13686701240351903	0.14233804383877216	1	1	1	False	False
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	8	0.008910950730290829	0.12975806463416184	0.13423870100234342	1	1	1	False	False
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	9	0.008910950730290829	0.13216216816129162	0.1359839194555169	1	1	1	False	False
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	10	0.008910950730290829	0.1334051305334849	0.1362293718575162	1	1	1	False	False
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	11	0.008910950730290829	0.13148323990778632	0.13677571153923934	1	1	1	False	False
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	12	0.008910950730290829	0.13180955417716034	0.13578973279295597	1	1	1	False	False
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	13	0.008910950730290829	0.12810852596940098	0.13125592346206405	1	1	1	False	False
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	14	0.008910950730290829	0.1273989401064883	0.13038984341386847	1	1	1	False	False
Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	15	0.008910950730290829	0.13564292882482884	0.13952959540115065	1	1	1	False	False
DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	0	-0.033137194056127764	-0.03196772094834438	-0.03196772094834438	-1	-1	-1	False	False
DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	1	-0.033137194056127764	-0.0343066671639112	-0.0343066671639112	-1	-1	-1	False	False
DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	2	-0.033137194056127764	-0.03370818779663856	-0.03370818779663856	-1	-1	-1	False	False
DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	3	-0.033137194056127764	-0.032566200315616994	-0.032566200315616994	-1	-1	-1	False	False
DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	4	-0.033137194056127764	-0.033755747386352675	-0.033755747386352675	-1	-1	-1	False	False
DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	5	-0.033137194056127764	-0.03251864072590291	-0.03251864072590291	-1	-1	-1	False	False
DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	6	-0.033137194056127764	-0.03342557821506209	-0.03342557821506209	-1	-1	-1	False	False
DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	7	-0.033137194056127764	-0.03284880989719352	-0.03284880989719352	-1	-1	-1	False	False
DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	8	-0.033137194056127764	-0.03239375217102647	-0.03239375217102647	-1	-1	-1	False	False
DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	9	-0.033137194056127764	-0.03388063594122909	-0.03388063594122909	-1	-1	-1	False	False
DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	10	-0.033137194056127764	-0.0330837021021082	-0.0330837021021082	-1	-1	-1	False	False
DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	11	-0.033137194056127764	-0.03319068601014741	-0.03319068601014741	-1	-1	-1	False	False
DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	12	-0.033137194056127764	-0.033341102147218304	-0.033341102147218304	-1	-1	-1	False	False
DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	13	-0.033137194056127764	-0.03293328596503728	-0.03293328596503728	-1	-1	-1	False	False
DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	14	-0.033137194056127764	-0.03356795771366314	-0.03356795771366314	-1	-1	-1	False	False
DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	15	-0.033137194056127764	-0.03270643039859239	-0.03270643039859239	-1	-1	-1	False	False
DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	0	-0.016965327702266636	0.10869554450159291	0.12101277363834623	-1	1	1	True	False
DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	1	-0.016965327702266636	0.10430295518051616	0.10014358090555178	-1	1	1	True	False
DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	2	-0.016965327702266636	0.11582022342661838	0.11250517531075518	-1	1	1	True	False
DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	3	-0.016965327702266636	0.1010482602411365	0.11563478231279772	-1	1	1	True	False
DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	4	-0.016965327702266636	0.1061996477272441	0.10428267902030913	-1	1	1	True	False
DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	5	-0.016965327702266636	0.11137993359863346	0.1231734263340502	-1	1	1	True	False
DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	6	-0.016965327702266636	0.10573068131351243	0.11270756365114998	-1	1	1	True	False
DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	7	-0.016965327702266636	0.11059842872750836	0.10907672945243319	-1	1	1	True	False
DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	8	-0.016965327702266636	0.09985957293567632	0.10797362686077322	-1	1	1	True	False
DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	9	-0.016965327702266636	0.1154263589675325	0.11812306342966461	-1	1	1	True	False
DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	10	-0.016965327702266636	0.10595749193838427	0.11935200891103703	-1	1	1	True	False
DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	11	-0.016965327702266636	0.11317278287603105	0.11259017961691714	-1	1	1	True	False
DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	12	-0.016965327702266636	0.11128082083147822	0.11362764625495514	-1	1	1	True	False
DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	13	-0.016965327702266636	0.10664986759295195	0.11314161230908479	-1	1	1	True	False
DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	14	-0.016965327702266636	0.10961749208203736	0.10872928412301752	-1	1	1	True	False
DA	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	15	-0.016965327702266636	0.10771457215037661	0.1180196447748752	-1	1	1	True	False
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	0	0.016171866353861128	0.1406632654499373	0.1529804945866906	1	1	1	False	False
DA	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	1	0.016171866353861128	0.13860962234442736	0.13445024806946299	1	1	1	False	False
