root_task_index	root_index	task	model_a	model_b	allocation	S_margin	O_margin	O_fixed_input_margin	S_direction	O_direction	O_fixed_input_direction	strict_S_O_reversal	actual_vs_fixed_input_direction_changed
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	12	-0.05298779291983302	0.03697512104475495	0.038710720939250626	-1	1	1	True	False
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	13	-0.05298779291983302	0.03866537818343632	0.03831616897047188	-1	1	1	True	False
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	14	-0.05298779291983302	0.04948747104080095	0.04890803671599653	-1	1	1	True	False
0	0	Astro	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	15	-0.05298779291983302	0.03398675434190676	0.03400978991076087	-1	1	1	True	False
0	0	Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	0	0.004139697657225758	0.08403083725702176	0.08364170800791113	1	1	1	False	False
0	0	Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	1	0.004139697657225758	0.11448519681067697	0.12627579801081107	1	1	1	False	False
0	0	Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	2	0.004139697657225758	0.09662523878956332	0.09984494932454989	1	1	1	False	False
0	0	Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	3	0.004139697657225758	0.09360002841352401	0.0917870124233323	1	1	1	False	False
0	0	Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	4	0.004139697657225758	0.07541046259360468	0.07658520508105951	1	1	1	False	False
0	0	Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	5	0.004139697657225758	0.11479380218489252	0.11979487867647587	1	1	1	False	False
0	0	Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	6	0.004139697657225758	0.11317823439092695	0.11275193571960859	1	1	1	False	False
0	0	Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	7	0.004139697657225758	0.09325197895616656	0.0971524711490618	1	1	1	False	False
0	0	Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	8	0.004139697657225758	0.09767355144411488	0.10621398647245614	1	1	1	False	False
0	0	Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	9	0.004139697657225758	0.1108425908969409	0.1097316596913383	1	1	1	False	False
0	0	Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	10	0.004139697657225758	0.07735296577761264	0.07567231141102909	1	1	1	False	False
0	0	Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	11	0.004139697657225758	0.1019164062192283	0.10623309539274499	1	1	1	False	False
0	0	Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	12	0.004139697657225758	0.09496581895079241	0.09670141884528809	1	1	1	False	False
0	0	Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	13	0.004139697657225758	0.09492966143151639	0.09458045221855195	1	1	1	False	False
0	0	Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	14	0.004139697657225758	0.1048214209257788	0.10424198660097438	1	1	1	False	False
0	0	Astro	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	15	0.004139697657225758	0.09290778561104651	0.09293082117990062	1	1	1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	0	-0.05239633407302419	-0.0468893312324882	-0.0468893312324882	-1	-1	-1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	1	-0.05239633407302419	-0.057903336913560255	-0.057903336913560255	-1	-1	-1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	2	-0.05239633407302419	-0.053132731876352396	-0.053132731876352396	-1	-1	-1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	3	-0.05239633407302419	-0.05165993626969603	-0.05165993626969603	-1	-1	-1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	4	-0.05239633407302419	-0.06336953154466263	-0.06336953154466263	-1	-1	-1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	5	-0.05239633407302419	-0.041423136601385774	-0.041423136601385774	-1	-1	-1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	6	-0.05239633407302419	-0.05220523485346698	-0.05220523485346698	-1	-1	-1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	7	-0.05239633407302419	-0.05258743329258139	-0.05258743329258139	-1	-1	-1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	8	-0.05239633407302419	-0.062040352158603096	-0.062040352158603096	-1	-1	-1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	9	-0.05239633407302419	-0.04275231598744525	-0.04275231598744525	-1	-1	-1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	10	-0.05239633407302419	-0.05527085919686889	-0.05527085919686889	-1	-1	-1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	11	-0.05239633407302419	-0.04952180894917951	-0.04952180894917951	-1	-1	-1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	12	-0.05239633407302419	-0.05484546133247262	-0.05484546133247262	-1	-1	-1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	13	-0.05239633407302419	-0.049947206813575756	-0.049947206813575756	-1	-1	-1	False	False
1	0	DA	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	14	-0.05239633407302419	-0.045673113885847105	-0.045673113885847105	-1	-1	-1	False	False
