condition	depth_per_gemgroup	cells_per_role	effect_model	state_model	d_S	V	d_D	n_allocations	crossing_unit_count	d_D_predicted	identity_residual	condition_strict_raw	expected_crossing	observed_crossing	S_tie	D_tie	classification
BAK1+TMSB4X	128	1024	direct_effect_ridge	additive	-0.0014670272229900605	0.0019173976591933101	0.00045037043620325	30	30	0.0004503704362032496	4.336808689942018e-19	True	True	True	False	False	state_to_effect
BAK1+TMSB4X	128	1024	direct_effect_ridge	compositional_ridge	-0.0012232597492351782	0.0019173976591933101	0.0006941379099581322	30	30	0.0006941379099581319	3.2526065174565133e-19	True	True	True	False	False	state_to_effect
BAK1+TMSB4X	128	1024	direct_effect_ridge	CPA_0.8.8	0.002510538472825686	0.0019173976591933101	0.004427936132018997	30	0	0.004427936132018996	8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
BAK1+TMSB4X	135	1080	direct_effect_ridge	additive	-0.0014058439593446993	0.0018214947222395463	0.00041565076289484744	30	30	0.00041565076289484695	4.87890977618477e-19	True	True	True	False	False	state_to_effect
BAK1+TMSB4X	135	1080	direct_effect_ridge	compositional_ridge	-0.001162076485589817	0.0018214947222395463	0.0006594182366497288	30	30	0.0006594182366497293	-4.336808689942018e-19	True	True	True	False	False	state_to_effect
BAK1+TMSB4X	135	1080	direct_effect_ridge	CPA_0.8.8	0.0025409501457927816	0.0018214947222395463	0.004362444868032329	30	0	0.004362444868032328	8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
BPGM+ZBTB1	8	64	direct_effect_ridge	additive	-0.008404344132730467	0.030771096581544737	0.022366752448814278	30	30	0.02236675244881427	6.938893903907228e-18	True	True	True	False	False	state_to_effect
BPGM+ZBTB1	8	64	direct_effect_ridge	compositional_ridge	-0.0158298309835852	0.030771096581544737	0.014941265597959545	30	30	0.014941265597959538	6.938893903907228e-18	True	True	True	False	False	state_to_effect
BPGM+ZBTB1	8	64	direct_effect_ridge	CPA_0.8.8	0.03982446845122594	0.030771096581544737	0.07059556503277069	30	0	0.07059556503277067	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
BPGM+ZBTB1	16	128	direct_effect_ridge	additive	-0.0006286912980409487	0.015340822696117635	0.014712131398076691	30	25	0.014712131398076686	5.204170427930421e-18	True	True	True	False	False	state_to_effect
