realization_id	root_task_index	root_id	root_index	task_id	task_index	construction	pca64_standardized_mse	scgen_standardized_mse	pca64_utility	scgen_utility	pca64_minus_scgen	expected_pca64_utility	expected_scgen_utility	maximum_method_absolute_error_vs_expected
q1	0	R41	0	T01	0	shared	0.14962566904563082	0.12282139478474607	-0.14962566904563082	-0.12282139478474607	-0.026804274260884747	-0.14962566904563082	-0.12282139478474607	0
q1	1	R41	0	T02	1	shared	0.1461298130889534	0.11371003109137967	-0.1461298130889534	-0.11371003109137967	-0.032419781997573727	-0.1461298130889534	-0.11371003109137967	0
q1	2	R41	0	T03	2	shared	0.19446307983519059	0.15289584828239394	-0.19446307983519059	-0.15289584828239394	-0.041567231552796652	-0.19446307983519059	-0.15289584828239394	0
q1	3	R41	0	T04	3	shared	0.14599883516597587	0.1043447963425175	-0.14599883516597587	-0.1043447963425175	-0.041654038823458361	-0.14599883516597587	-0.1043447963425175	0
q1	4	R41	0	T05	4	shared	0.21107275784566229	0.16277210540859696	-0.21107275784566229	-0.16277210540859696	-0.048300652437065328	-0.21107275784566229	-0.16277210540859696	0
q1	5	R42	1	T01	0	shared	0.14426466196132154	0.1120178496423522	-0.14426466196132154	-0.1120178496423522	-0.032246812318969337	-0.14426466196132154	-0.1120178496423522	0
q1	6	R42	1	T02	1	shared	0.14333762278491941	0.11277132498254254	-0.14333762278491941	-0.11277132498254254	-0.030566297802376866	-0.14333762278491941	-0.11277132498254254	0
q1	7	R42	1	T03	2	shared	0.16406201614961829	0.132400818384414	-0.16406201614961829	-0.132400818384414	-0.031661197765204291	-0.16406201614961829	-0.132400818384414	0
q1	8	R42	1	T04	3	shared	0.11757851304999059	0.085999405773888302	-0.11757851304999059	-0.085999405773888302	-0.031579107276102289	-0.11757851304999059	-0.085999405773888302	0
q1	9	R42	1	T05	4	shared	0.19988234399148957	0.15278034820930428	-0.19988234399148957	-0.15278034820930428	-0.047101995782185296	-0.19988234399148957	-0.15278034820930428	0
q1	10	R43	2	T01	0	shared	0.13628463660827317	0.10192000120924957	-0.13628463660827317	-0.10192000120924957	-0.034364635399023596	-0.13628463660827317	-0.10192000120924957	0
q1	11	R43	2	T02	1	shared	0.13275852290927095	0.10065659109997889	-0.13275852290927095	-0.10065659109997889	-0.032101931809292064	-0.13275852290927095	-0.10065659109997889	0
q1	12	R43	2	T03	2	shared	0.16055364768688027	0.11636451870134934	-0.16055364768688027	-0.11636451870134934	-0.044189128985530929	-0.16055364768688027	-0.11636451870134934	0
q1	13	R43	2	T04	3	shared	0.12328958394533082	0.089608701786979522	-0.12328958394533082	-0.089608701786979522	-0.0336808821583513	-0.12328958394533082	-0.089608701786979522	0
q1	14	R43	2	T05	4	shared	0.18581968199878068	0.15184707176286089	-0.18581968199878068	-0.15184707176286089	-0.033972610235919798	-0.18581968199878068	-0.15184707176286089	0
q1	15	R44	3	T01	0	shared	0.14551025945069246	0.11279224400402196	-0.14551025945069246	-0.11279224400402196	-0.032718015446670495	-0.14551025945069246	-0.11279224400402196	0
q1	16	R44	3	T02	1	shared	0.1282951227850008	0.10346188409734214	-0.1282951227850008	-0.10346188409734214	-0.02483323868765866	-0.1282951227850008	-0.10346188409734214	0
q1	17	R44	3	T03	2	shared	0.16588715137846913	0.12455028286936884	-0.16588715137846913	-0.12455028286936884	-0.041336868509100289	-0.16588715137846913	-0.12455028286936884	0
q1	18	R44	3	T04	3	shared	0.14402108816743817	0.10937795440023347	-0.14402108816743817	-0.10937795440023347	-0.034643133767204695	-0.14402108816743817	-0.10937795440023347	0
q1	19	R44	3	T05	4	shared	0.18498536382530997	0.13344379750327887	-0.18498536382530997	-0.13344379750327887	-0.051541566322031107	-0.18498536382530997	-0.13344379750327887	0
q1	20	R45	4	T01	0	shared	0.12802640069142035	0.095320316649393569	-0.12802640069142035	-0.095320316649393569	-0.032706084042026781	-0.12802640069142035	-0.095320316649393569	0
q1	21	R45	4	T02	1	shared	0.13624089907814815	0.10249735554315482	-0.13624089907814815	-0.10249735554315482	-0.033743543534993328	-0.13624089907814815	-0.10249735554315482	0
q1	22	R45	4	T03	2	shared	0.15820196866209985	0.11920855661568244	-0.15820196866209985	-0.11920855661568244	-0.038993412046417403	-0.15820196866209985	-0.11920855661568244	0
q1	23	R45	4	T04	3	shared	0.1651878568858981	0.12809803553573101	-0.1651878568858981	-0.12809803553573101	-0.037089821350167085	-0.1651878568858981	-0.12809803553573101	0
q1	24	R45	4	T05	4	shared	0.18250372844821661	0.14051996954810156	-0.18250372844821661	-0.14051996954810156	-0.041983758900115048	-0.18250372844821661	-0.14051996954810156	0
q1	25	R46	5	T01	0	shared	0.14397453448974246	0.1162582368484216	-0.14397453448974246	-0.1162582368484216	-0.027716297641320858	-0.14397453448974246	-0.1162582368484216	0
q1	26	R46	5	T02	1	shared	0.14345776855890122	0.10698729630843516	-0.14345776855890122	-0.10698729630843516	-0.036470472250466054	-0.14345776855890122	-0.10698729630843516	0
q1	27	R46	5	T03	2	shared	0.18047907120357712	0.14418070540129721	-0.18047907120357712	-0.14418070540129721	-0.036298365802279908	-0.18047907120357712	-0.14418070540129721	0
q1	28	R46	5	T04	3	shared	0.12997728547413429	0.098030120910346019	-0.12997728547413429	-0.098030120910346019	-0.031947164563788266	-0.12997728547413429	-0.098030120910346019	0
q1	29	R46	5	T05	4	shared	0.20084214071546944	0.15372995181858248	-0.20084214071546944	-0.15372995181858248	-0.047112188896886953	-0.20084214071546944	-0.15372995181858248	0
q1	30	R47	6	T01	0	shared	0.18406887136057509	0.16022143065590363	-0.18406887136057509	-0.16022143065590363	-0.023847440704671458	-0.18406887136057509	-0.16022143065590363	0
q1	31	R47	6	T02	1	shared	0.17857695078927247	0.15084445677851177	-0.17857695078927247	-0.15084445677851177	-0.027732494010760694	-0.17857695078927247	-0.15084445677851177	0
q1	32	R47	6	T03	2	shared	0.20822675305418961	0.16819872209132991	-0.20822675305418961	-0.16819872209132991	-0.040028030962859701	-0.20822675305418961	-0.16819872209132991	0
q1	33	R47	6	T04	3	shared	0.1939502778004997	0.25339735468625857	-0.1939502778004997	-0.25339735468625857	0.059447076885758871	-0.1939502778004997	-0.25339735468625857	0
q1	34	R47	6	T05	4	shared	0.2082417319904008	0.16960929273911232	-0.2082417319904008	-0.16960929273911232	-0.038632439251288481	-0.2082417319904008	-0.16960929273911232	0
q1	35	R48	7	T01	0	shared	0.15598530193561516	0.1222093516051173	-0.15598530193561516	-0.1222093516051173	-0.033775950330497864	-0.15598530193561516	-0.1222093516051173	0
q1	36	R48	7	T02	1	shared	0.14544667410581569	0.11066096157462739	-0.14544667410581569	-0.11066096157462739	-0.034785712531188298	-0.14544667410581569	-0.11066096157462739	0
q1	37	R48	7	T03	2	shared	0.18422518636001384	0.14635736300961319	-0.18422518636001384	-0.14635736300961319	-0.037867823350400648	-0.18422518636001384	-0.14635736300961319	0
q1	38	R48	7	T04	3	shared	0.13199368830799163	0.096501590529450496	-0.13199368830799163	-0.096501590529450496	-0.035492097778541135	-0.13199368830799163	-0.096501590529450496	0
