realization_id	seed	realization_role	shared_pca64_minus_scgen	expected_shared_pca64_minus_scgen	shared_absolute_error	split_pca64_minus_scgen	expected_split_pca64_minus_scgen	split_absolute_error	rotation_pca64_minus_scgen	expected_rotation_pca64_minus_scgen	rotation_absolute_error	split_minus_shared_shift	rotation_minus_shared_shift	direction_pattern_passed	expected_value_check_passed
q1	17	primary_analysis_realization	-0.0339990537976535	-0.0339990537976535	0	0.12031850891433964	0.12031850891433962	1.3877787807814457e-17	0.12466578191228984	0.12466578191228986	1.3877787807814457e-17	0.15431756271199315	0.15866483570994333	true	true
q2	29	additional_realization	-0.032932379893415922	-0.032932379893415922	0	0.12160800818605971	0.12160800818605973	1.3877787807814457e-17	0.12506030825084774	0.12506030825084774	0	0.15454038807947562	0.15799268814426365	true	true
q3	43	additional_realization	-0.032876957472577323	-0.032876957472577323	0	0.12243530473472511	0.12243530473472512	1.3877787807814457e-17	0.12594173879337409	0.12594173879337409	0	0.15531226220730243	0.15881869626595141	true	true
q4	763929762	additional_realization	-0.032720770346453598	-0.032720770346453598	0	0.12129325483030941	0.12129325483030941	0	0.12514184973117448	0.12514184973117448	0	0.15401402517676299	0.15786262007762808	true	true
q5	85508424	additional_realization	-0.030857366193047579	-0.030857366193047579	0	0.12249462655794911	0.12249462655794911	0	0.12615546209390543	0.12615546209390543	0	0.1533519927509967	0.15701282828695301	true	true
