realization_id	root_id	root_index	construction	pca64_mean_standardized_mse	scgen_mean_standardized_mse	pca64_mean_utility	scgen_mean_utility	pca64_minus_scgen
q1	R41	0	shared	0.16945803099628259	0.13130883518192685	-0.16945803099628259	-0.13130883518192685	-0.038149195814355746
q1	R42	1	shared	0.15382503158746791	0.11919394939850028	-0.15382503158746791	-0.11919394939850028	-0.034631082188967627
q1	R43	2	shared	0.14774121462970718	0.11207937691208363	-0.14774121462970718	-0.11207937691208363	-0.03566183771762356
q1	R44	3	shared	0.15373979712138211	0.11672523257484906	-0.15373979712138211	-0.11672523257484906	-0.037014564546533055
q1	R45	4	shared	0.15403217075315662	0.11712884677841269	-0.15403217075315662	-0.11712884677841269	-0.036903323974743926
q1	R46	5	shared	0.1597461600883649	0.12383726225741649	-0.1597461600883649	-0.12383726225741649	-0.035908897830948402
q1	R47	6	shared	0.1946129169989875	0.18045425139022325	-0.1946129169989875	-0.18045425139022325	-0.014158665608764248
q1	R48	7	shared	0.16536433997359828	0.12579947727430688	-0.16536433997359828	-0.12579947727430688	-0.039564862699291409
q1	R41	0	split	0.24843211357493072	0.37343010313255331	-0.24843211357493072	-0.37343010313255331	0.12499798955762259
q1	R42	1	split	0.23584725845448845	0.34438341861842015	-0.23584725845448845	-0.34438341861842015	0.10853616016393169
q1	R43	2	split	0.21850504802052567	0.33160213175937836	-0.21850504802052567	-0.33160213175937836	0.11309708373885269
q1	R44	3	split	0.227459011696476	0.33163555904792358	-0.227459011696476	-0.33163555904792358	0.10417654735144757
q1	R45	4	split	0.23377569566011025	0.35563588153662062	-0.23377569566011025	-0.35563588153662062	0.12186018587651037
q1	R46	5	split	0.24182021700412831	0.36126972481341235	-0.24182021700412831	-0.36126972481341235	0.11944950780928404
q1	R47	6	split	0.28530535091234288	0.43842467118645995	-0.28530535091234288	-0.43842467118645995	0.15311932027411707
q1	R48	7	split	0.24791674256567423	0.36522801910862518	-0.24791674256567423	-0.36522801910862518	0.11731127654295095
q1	R41	0	rotation	0.25119769092008842	0.38478023311939408	-0.25119769092008842	-0.38478023311939408	0.13358254219930565
q1	R42	1	rotation	0.22796301815701153	0.34353083565036802	-0.22796301815701153	-0.34353083565036802	0.11556781749335648
q1	R43	2	rotation	0.22043031882524183	0.33373361943786439	-0.22043031882524183	-0.33373361943786439	0.11330330061262256
q1	R44	3	rotation	0.2279507362516652	0.34231061229946258	-0.2279507362516652	-0.34231061229946258	0.11435987604779738
q1	R45	4	rotation	0.22831354583291086	0.34382103664336161	-0.22831354583291086	-0.34382103664336161	0.11550749081045075
q1	R46	5	rotation	0.2389618684805494	0.36308325960709598	-0.2389618684805494	-0.36308325960709598	0.12412139112654658
q1	R47	6	rotation	0.28058487481755556	0.43959445923923807	-0.28058487481755556	-0.43959445923923807	0.1590095844216825
q1	R48	7	rotation	0.24453295507075867	0.36640720765731549	-0.24453295507075867	-0.36640720765731549	0.12187425258655682
q2	R41	0	shared	0.16945803099628259	0.13442735218230198	-0.16945803099628259	-0.13442735218230198	-0.035030678813980615
q2	R42	1	shared	0.15382503158746791	0.12162136138133747	-0.15382503158746791	-0.12162136138133747	-0.032203670206130436
q2	R43	2	shared	0.14774121462970718	0.11565271705947085	-0.14774121462970718	-0.11565271705947085	-0.032088497570236338
q2	R44	3	shared	0.15373979712138211	0.11775097909532932	-0.15373979712138211	-0.11775097909532932	-0.035988818026052791
q2	R45	4	shared	0.15403217075315662	0.11794647271699432	-0.15403217075315662	-0.11794647271699432	-0.036085698036162295
q2	R46	5	shared	0.1597461600883649	0.1258581945369667	-0.1597461600883649	-0.1258581945369667	-0.033887965551398197
q2	R47	6	shared	0.1946129169989875	0.17460512169856129	-0.1946129169989875	-0.17460512169856129	-0.020007795300426207
q2	R48	7	shared	0.16536433997359828	0.12719842433065776	-0.16536433997359828	-0.12719842433065776	-0.038165915642940529
q2	R41	0	split	0.24843211357493072	0.37468757018489862	-0.24843211357493072	-0.37468757018489862	0.1262554566099679
q2	R42	1	split	0.23584725845448845	0.35142311103016277	-0.23584725845448845	-0.35142311103016277	0.11557585257567432
q2	R43	2	split	0.21850504802052567	0.33667466057094952	-0.21850504802052567	-0.33667466057094952	0.11816961255042385
q2	R44	3	split	0.227459011696476	0.33169479688023396	-0.227459011696476	-0.33169479688023396	0.10423578518375795
q2	R45	4	split	0.23377569566011025	0.35222151842408295	-0.23377569566011025	-0.35222151842408295	0.1184458227639727
q2	R46	5	split	0.24182021700412831	0.36343326624327499	-0.24182021700412831	-0.36343326624327499	0.12161304923914668
q2	R47	6	split	0.28530535091234288	0.43286173787561111	-0.28530535091234288	-0.43286173787561111	0.14755638696326823
q2	R48	7	split	0.24791674256567423	0.36892884216794031	-0.24791674256567423	-0.36892884216794031	0.12101209960226608
q2	R41	0	rotation	0.25119769092008842	0.38367560276529555	-0.25119769092008842	-0.38367560276529555	0.13247791184520713
q2	R42	1	rotation	0.22796301815701153	0.34604270144980598	-0.22796301815701153	-0.34604270144980598	0.11807968329279445
q2	R43	2	rotation	0.22043031882524183	0.33658928584356601	-0.22043031882524183	-0.33658928584356601	0.11615896701832418
q2	R44	3	rotation	0.2279507362516652	0.3435985466282872	-0.2279507362516652	-0.3435985466282872	0.115647810376622
q2	R45	4	rotation	0.22831354583291086	0.34361463096542705	-0.22831354583291086	-0.34361463096542705	0.11530108513251619
q2	R46	5	rotation	0.2389618684805494	0.36466976876769408	-0.2389618684805494	-0.36466976876769408	0.12570790028714468
q2	R47	6	rotation	0.28058487481755556	0.43412911731526538	-0.28058487481755556	-0.43412911731526538	0.15354424249770982
