batch_id	mse_S	mse_D	mse_D_minus_S	mae_S	mae_D	mae_D_minus_S	prediction_mae_difference
B01	0.023338817232430257	0.02192577022260686	-0.0014130470098233931	0.11971712454736931	0.11423342404475084	-0.00548370050261847	0.06751697063169165
B02	0.023109249232353333	0.019145358920958457	-0.003963890311394876	0.1202508552819486	0.10813329448174333	-0.012117560800205287	0.056308262037759516
B03	0.021617691056181637	0.01653115578724661	-0.005086535268935026	0.11664476584567404	0.1019931746766656	-0.014651591169008436	0.05899678183393155
B04	0.030423635876528306	0.024827761993849704	-0.0055958738826786016	0.13657067524831829	0.12920677810082717	-0.007363897147491113	0.05161261497510184
B05	0.023295305642290792	0.01878853597572166	-0.004506769666569132	0.11746024837713098	0.10439060141207979	-0.01306964696505119	0.05057838696798553
B06	0.02380317107810854	0.02151402145431243	-0.002289149623796105	0.11188075483580945	0.1012075237678266	-0.010673231067982854	0.06303133097306773
B07	0.020735201355405027	0.017534395476548448	-0.0032008058788565736	0.11312527366901767	0.10511077076286388	-0.008014502906153805	0.06355056764525147
B08	0.021976017394007397	0.01546986540333983	-0.0065061519906675705	0.11510390138691018	0.09946481604231718	-0.015639085344593004	0.056508930937093464
