evaluation_reference	mse_S	mse_D	mse_D_minus_S	mae_S	mae_D	mae_D_minus_S	prediction_mae_difference	donor_count	task_count	D_lower_mse_donors	D_lower_mse_tasks
shared_B1	0.010030947771743667	0.012713863713429004	0.002682915941685336	0.0732262076455555	0.0871710540932162	0.013944846447660694	0.05707514809786773	8	40	1	5
heldout_B2	0.0174304767380355	0.01318098186227951	-0.004249494875755992	0.09946910719654865	0.08731879738522012	-0.01215030981132851	0.05707514809786773	8	40	7	33
