dataset	regime	reference_depth	family	readout	root_index	value
parse	common128	48	scGen	input_centered_effect	1	0.181672383287373
parse	common128	48	scGen	input_centered_effect	2	0.17342492909913412
parse	common128	48	scGen	input_centered_effect	3	0.1731176719862757
parse	common128	48	scGen	input_centered_effect	4	0.1800590447958059
parse	common128	48	scGen	input_centered_effect	5	0.17957133071694337
parse	common128	48	scGen	input_centered_effect	6	0.17509673265417275
parse	common128	48	scGen	input_centered_effect	7	0.17984545393027979
parse	common128	48	scGen	reference	0	0.18015913714842088
parse	common128	48	scGen	reference	1	0.1880274111763369
parse	common128	48	scGen	reference	2	0.18035242758737655
parse	common128	48	scGen	reference	3	0.17999923333013756
parse	common128	48	scGen	reference	4	0.1872899039794497
parse	common128	48	scGen	reference	5	0.18726647727376414
parse	common128	48	scGen	reference	6	0.18288274708271757
parse	common128	48	scGen	reference	7	0.18629664812208066
parse	common128	48	scGen	D_to_O	0	0.0024472333301050367
parse	common128	48	scGen	D_to_O	1	0.0020734816007931
parse	common128	48	scGen	D_to_O	2	0.00214457122013881
parse	common128	48	scGen	D_to_O	3	0.0021296810426746277
parse	common128	48	scGen	D_to_O	4	0.0023530495658959003
parse	common128	48	scGen	D_to_O	5	0.0025110611673383808
parse	common128	48	scGen	D_to_O	6	0.002451499272665756
parse	common128	48	scGen	D_to_O	7	0.002094896626120366
parse	common128	48	scGen	D_to_P	0	-0.0024472333301349867
parse	common128	48	scGen	D_to_P	1	-0.0020734816007466914
parse	common128	48	scGen	D_to_P	2	-0.0021445712201617457
parse	common128	48	scGen	D_to_P	3	-0.002129681042612125
parse	common128	48	scGen	D_to_P	4	-0.0023530495657959464
parse	common128	48	scGen	D_to_P	5	-0.002511061167356598
parse	common128	48	scGen	D_to_P	6	-0.0024514992726777066
parse	common128	48	scGen	D_to_P	7	-0.0020948966262378994
parse	common128	48	scGen	S_to_M	0	8.796375664902692e-15
parse	common128	48	scGen	S_to_M	1	-2.1398874570458897e-14
parse	common128	48	scGen	S_to_M	2	4.8478732602349116e-15
parse	common128	48	scGen	S_to_M	3	-6.954540762715843e-14
parse	common128	48	scGen	S_to_M	4	-8.01531468512066e-14
parse	common128	48	scGen	S_to_M	5	1.6891744947233892e-14
parse	common128	48	scGen	S_to_M	6	1.5909374512235173e-14
parse	common128	48	scGen	S_to_M	7	1.3717767257763007e-13
parse	common128	48	CPA	raw_state	0	0.050726046664489884
parse	common128	48	CPA	raw_state	1	0.044459018844853024
parse	common128	48	CPA	raw_state	2	0.047567392540495766
parse	common128	48	CPA	raw_state	3	0.047387767257714236
parse	common128	48	CPA	raw_state	4	0.04713296647833344
parse	common128	48	CPA	raw_state	5	0.04976537440092295
parse	common128	48	CPA	raw_state	6	0.048971142798823926
parse	common128	48	CPA	raw_state	7	0.04568387272315105
parse	common128	48	CPA	input_centered_effect	0	0.1744232861191221
parse	common128	48	CPA	input_centered_effect	1	0.18395830176565023
parse	common128	48	CPA	input_centered_effect	2	0.17526590265372366
parse	common128	48	CPA	input_centered_effect	3	0.17488225610515898
parse	common128	48	CPA	input_centered_effect	4	0.18279193039536315
parse	common128	48	CPA	input_centered_effect	5	0.1819516277650299
parse	common128	48	CPA	input_centered_effect	6	0.17749345397157287
parse	common128	48	CPA	input_centered_effect	7	0.18190021250275465
parse	common128	48	CPA	reference	0	0.18015913714842088
parse	common128	48	CPA	reference	1	0.1880274111763369
parse	common128	48	CPA	reference	2	0.18035242758737655
parse	common128	48	CPA	reference	3	0.17999923333013756
parse	common128	48	CPA	reference	4	0.1872899039794497
parse	common128	48	CPA	reference	5	0.18726647727376414
parse	common128	48	CPA	reference	6	0.18288274708271757
parse	common128	48	CPA	reference	7	0.18629664812208066
parse	common128	48	CPA	D_to_O	0	0.00230348188306052
parse	common128	48	CPA	D_to_O	1	0.0017451274609537255
parse	common128	48	CPA	D_to_O	2	0.0020357591678224376
parse	common128	48	CPA	D_to_O	3	0.0020307604919059838
parse	common128	48	CPA	D_to_O	4	0.0019430674215032764
parse	common128	48	CPA	D_to_O	5	0.0022194655775508863
parse	common128	48	CPA	D_to_O	6	0.002170172902412495
parse	common128	48	CPA	D_to_O	7	0.0018528850096928655
parse	common128	48	CPA	D_to_P	0	-0.0023034818831359377
parse	common128	48	CPA	D_to_P	1	-0.0017451274612496218
parse	common128	48	CPA	D_to_P	2	-0.0020357591679599305
parse	common128	48	CPA	D_to_P	3	-0.0020307604921556053
parse	common128	48	CPA	D_to_P	4	-0.0019430674218491942
parse	common128	48	CPA	D_to_P	5	-0.0022194655774968046
parse	common128	48	CPA	D_to_P	6	-0.0021701729022587254
parse	common128	48	CPA	D_to_P	7	-0.0018528850097062038
parse	common128	48	CPA	S_to_M	0	3.804665841637226e-14
parse	common128	48	CPA	S_to_M	1	2.9183002310991436e-13
parse	common128	48	CPA	S_to_M	2	7.892068480212326e-14
parse	common128	48	CPA	S_to_M	3	1.7639941359467077e-13
parse	common128	48	CPA	S_to_M	4	2.563699622963137e-13
parse	common128	48	CPA	S_to_M	5	-9.394216885875532e-14
parse	common128	48	CPA	S_to_M	6	-1.1586869426890207e-13
parse	common128	48	CPA	S_to_M	7	4.261010988493297e-14
parse	common128	48	CellOT	raw_state	0	0.051029161299893384
parse	common128	48	CellOT	raw_state	1	0.048817863614185754
parse	common128	48	CellOT	raw_state	2	0.047587599692298234
parse	common128	48	CellOT	raw_state	3	0.04790327883832886
parse	common128	48	CellOT	raw_state	4	0.05245880714457224
parse	common128	48	CellOT	raw_state	5	0.05329881721197937
parse	common128	48	CellOT	raw_state	6	0.05133364690886198
parse	common128	48	CellOT	raw_state	7	0.04881043561025014
parse	common128	48	CellOT	input_centered_effect	0	0.17266351733097904
parse	common128	48	CellOT	input_centered_effect	1	0.18183049635083165
parse	common128	48	CellOT	input_centered_effect	2	0.17383411468155874
parse	common128	48	CellOT	input_centered_effect	3	0.1734310552084185
parse	common128	48	CellOT	input_centered_effect	4	0.18023011171380815
parse	common128	48	CellOT	input_centered_effect	5	0.17973969534020612
parse	common128	48	CellOT	input_centered_effect	6	0.17541366758430912
parse	common128	48	CellOT	input_centered_effect	7	0.18000114710332935
parse	common128	48	CellOT	reference	0	0.18015913714842088
parse	common128	48	CellOT	reference	1	0.1880274111763369
parse	common128	48	CellOT	reference	2	0.18035242758737655
parse	common128	48	CellOT	reference	3	0.17999923333013756
parse	common128	48	CellOT	reference	4	0.1872899039794497
parse	common128	48	CellOT	reference	5	0.18726647727376414
parse	common128	48	CellOT	reference	6	0.18288274708271757
parse	common128	48	CellOT	reference	7	0.18629664812208066
parse	common128	48	CellOT	D_to_O	0	0.002624299891515849
parse	common128	48	CellOT	D_to_O	1	0.0023375808797488407
parse	common128	48	CellOT	D_to_O	2	0.002286639176677535
parse	common128	48	CellOT	D_to_O	3	0.0023080586062221545
parse	common128	48	CellOT	D_to_O	4	0.00267327070611061
parse	common128	48	CellOT	D_to_O	5	0.002801569673068043
parse	common128	48	CellOT	D_to_O	6	0.0026556438550125925
parse	common128	48	CellOT	D_to_O	7	0.0023442433837341354
parse	common128	48	CellOT	D_to_P	0	-0.0026242998915314113
parse	common128	48	CellOT	D_to_P	1	-0.002337580879680709
parse	common128	48	CellOT	D_to_P	2	-0.002286639176608939
parse	common128	48	CellOT	D_to_P	3	-0.0023080586062430605
parse	common128	48	CellOT	D_to_P	4	-0.002673270706034705
parse	common128	48	CellOT	D_to_P	5	-0.0028015696731035176
parse	common128	48	CellOT	D_to_P	6	-0.0026556438550505317
parse	common128	48	CellOT	D_to_P	7	-0.0023442433838041076
parse	common128	48	CellOT	S_to_M	0	7.359888161880451e-15
parse	common128	48	CellOT	S_to_M	1	-2.534101285293448e-14
parse	common128	48	CellOT	S_to_M	2	-4.766983335846575e-14
parse	common128	48	CellOT	S_to_M	3	-6.77749523170235e-16
parse	common128	48	CellOT	S_to_M	4	-5.2243314998164563e-14
parse	common128	48	CellOT	S_to_M	5	2.2630965388718374e-14
parse	common128	48	CellOT	S_to_M	6	1.4930001679402948e-14
parse	common128	48	CellOT	S_to_M	7	7.864389810670798e-14
