dataset	regime	reference_depth	family	readout	root_index	value
gse162632	original8	8	CellOT	raw_state	5	0.09512971627807354
gse162632	original8	8	CellOT	raw_state	6	0.09686601497225372
gse162632	original8	8	CellOT	raw_state	7	0.10529528561330419
gse162632	original8	8	CellOT	input_centered_effect	0	0.48871496535241327
gse162632	original8	8	CellOT	input_centered_effect	1	0.47165104421564363
gse162632	original8	8	CellOT	input_centered_effect	2	0.4617605137791129
gse162632	original8	8	CellOT	input_centered_effect	3	0.4615980204627218
gse162632	original8	8	CellOT	input_centered_effect	4	0.4687294210687467
gse162632	original8	8	CellOT	input_centered_effect	5	0.48388902583148974
gse162632	original8	8	CellOT	input_centered_effect	6	0.5038851223646003
gse162632	original8	8	CellOT	input_centered_effect	7	0.48323775631766097
gse162632	original8	8	CellOT	reference	0	0.4945971765783124
gse162632	original8	8	CellOT	reference	1	0.4772762745684007
gse162632	original8	8	CellOT	reference	2	0.4681235466829002
gse162632	original8	8	CellOT	reference	3	0.4676773835581799
gse162632	original8	8	CellOT	reference	4	0.4737203334423644
gse162632	original8	8	CellOT	reference	5	0.4890371039141158
gse162632	original8	8	CellOT	reference	6	0.5086716093608081
gse162632	original8	8	CellOT	reference	7	0.4879458449993468
gse162632	original8	8	CellOT	D_to_O	0	0.008537927878754825
gse162632	original8	8	CellOT	D_to_O	1	0.00825898357464683
gse162632	original8	8	CellOT	D_to_O	2	0.008130626433547719
gse162632	original8	8	CellOT	D_to_O	3	0.008436304849103371
gse162632	original8	8	CellOT	D_to_O	4	0.007176846705978671
gse162632	original8	8	CellOT	D_to_O	5	0.007029181311018318
gse162632	original8	8	CellOT	D_to_O	6	0.007114807229681218
gse162632	original8	8	CellOT	D_to_O	7	0.00782975785524928
gse162632	original8	8	CellOT	D_to_P	0	-0.008537927877145895
gse162632	original8	8	CellOT	D_to_P	1	-0.008258983576758904
gse162632	original8	8	CellOT	D_to_P	2	-0.00813062643213751
gse162632	original8	8	CellOT	D_to_P	3	-0.008436304847970276
gse162632	original8	8	CellOT	D_to_P	4	-0.007176846697711357
gse162632	original8	8	CellOT	D_to_P	5	-0.007029181303881496
gse162632	original8	8	CellOT	D_to_P	6	-0.007114807239096445
gse162632	original8	8	CellOT	D_to_P	7	-0.007829757850013963
gse162632	original8	8	CellOT	S_to_M	0	-2.071826913733569e-12
gse162632	original8	8	CellOT	S_to_M	1	3.4372788041784715e-12
gse162632	original8	8	CellOT	S_to_M	2	-1.3447323624996935e-12
gse162632	original8	8	CellOT	S_to_M	3	3.844216426666473e-13
gse162632	original8	8	CellOT	S_to_M	4	-6.3540218642188505e-12
gse162632	original8	8	CellOT	S_to_M	5	-7.354472993566694e-12
