case_id	graph_id	comparison_index	source	target	wins	losses	ties
G39_W09	G39	26	PCA	scGen	39	0	0
G39_W09	G39	27	PCA	CellOT	39	0	0
G39_W09	G39	28	RBF	NC	24	15	0
G39_W09	G39	29	RBF	CM	33	6	0
G39_W09	G39	30	RBF	TW	28	11	0
G39_W09	G39	31	RBF	PCA	28	11	0
G39_W09	G39	32	RBF	CPA	39	0	0
G39_W09	G39	33	RBF	scGen	39	0	0
G39_W09	G39	34	RBF	CellOT	39	0	0
G39_W09	G39	35	CPA	NC	0	39	0
G39_W09	G39	36	CPA	CM	0	39	0
G39_W09	G39	37	CPA	TW	0	39	0
G39_W09	G39	38	CPA	PCA	0	39	0
G39_W09	G39	39	CPA	RBF	0	39	0
G39_W09	G39	40	CPA	scGen	0	39	0
G39_W09	G39	41	CPA	CellOT	0	39	0
G39_W09	G39	42	scGen	NC	0	39	0
G39_W09	G39	43	scGen	CM	0	39	0
G39_W09	G39	44	scGen	TW	0	39	0
G39_W09	G39	45	scGen	PCA	0	39	0
G39_W09	G39	46	scGen	RBF	0	39	0
G39_W09	G39	47	scGen	CPA	39	0	0
G39_W09	G39	48	scGen	CellOT	39	0	0
G39_W09	G39	49	CellOT	NC	0	39	0
G39_W09	G39	50	CellOT	CM	0	39	0
G39_W09	G39	51	CellOT	TW	0	39	0
G39_W09	G39	52	CellOT	PCA	0	39	0
G39_W09	G39	53	CellOT	RBF	0	39	0
G39_W09	G39	54	CellOT	CPA	39	0	0
G39_W09	G39	55	CellOT	scGen	0	39	0
G39_W10	G39	0	NC	CM	16	23	0
G39_W10	G39	1	NC	TW	16	23	0
G39_W10	G39	2	NC	PCA	16	23	0
G39_W10	G39	3	NC	RBF	16	23	0
G39_W10	G39	4	NC	CPA	39	0	0
G39_W10	G39	5	NC	scGen	39	0	0
G39_W10	G39	6	NC	CellOT	39	0	0
G39_W10	G39	7	CM	NC	23	16	0
G39_W10	G39	8	CM	TW	4	35	0
G39_W10	G39	9	CM	PCA	4	35	0
G39_W10	G39	10	CM	RBF	5	34	0
G39_W10	G39	11	CM	CPA	39	0	0
G39_W10	G39	12	CM	scGen	39	0	0
G39_W10	G39	13	CM	CellOT	39	0	0
G39_W10	G39	14	TW	NC	23	16	0
G39_W10	G39	15	TW	CM	35	4	0
G39_W10	G39	16	TW	PCA	0	0	39
G39_W10	G39	17	TW	RBF	9	30	0
G39_W10	G39	18	TW	CPA	39	0	0
G39_W10	G39	19	TW	scGen	39	0	0
G39_W10	G39	20	TW	CellOT	39	0	0
G39_W10	G39	21	PCA	NC	23	16	0
G39_W10	G39	22	PCA	CM	35	4	0
G39_W10	G39	23	PCA	TW	0	0	39
G39_W10	G39	24	PCA	RBF	9	30	0
G39_W10	G39	25	PCA	CPA	39	0	0
G39_W10	G39	26	PCA	scGen	39	0	0
G39_W10	G39	27	PCA	CellOT	39	0	0
G39_W10	G39	28	RBF	NC	23	16	0
G39_W10	G39	29	RBF	CM	34	5	0
G39_W10	G39	30	RBF	TW	30	9	0
G39_W10	G39	31	RBF	PCA	30	9	0
G39_W10	G39	32	RBF	CPA	39	0	0
G39_W10	G39	33	RBF	scGen	39	0	0
G39_W10	G39	34	RBF	CellOT	39	0	0
G39_W10	G39	35	CPA	NC	0	39	0
G39_W10	G39	36	CPA	CM	0	39	0
G39_W10	G39	37	CPA	TW	0	39	0
G39_W10	G39	38	CPA	PCA	0	39	0
G39_W10	G39	39	CPA	RBF	0	39	0
G39_W10	G39	40	CPA	scGen	0	39	0
G39_W10	G39	41	CPA	CellOT	0	39	0
G39_W10	G39	42	scGen	NC	0	39	0
G39_W10	G39	43	scGen	CM	0	39	0
G39_W10	G39	44	scGen	TW	0	39	0
G39_W10	G39	45	scGen	PCA	0	39	0
G39_W10	G39	46	scGen	RBF	0	39	0
G39_W10	G39	47	scGen	CPA	39	0	0
G39_W10	G39	48	scGen	CellOT	39	0	0
G39_W10	G39	49	CellOT	NC	0	39	0
G39_W10	G39	50	CellOT	CM	0	39	0
G39_W10	G39	51	CellOT	TW	0	39	0
G39_W10	G39	52	CellOT	PCA	0	39	0
G39_W10	G39	53	CellOT	RBF	0	39	0
G39_W10	G39	54	CellOT	CPA	39	0	0
G39_W10	G39	55	CellOT	scGen	0	39	0
