condition	depth_per_gemgroup	model_a	model_b	pair_role	pattern	S_margin	margin	displacement	crossing_allocation_count	n_allocations	strict_crossing_after_allocation_mean
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	S	0.0150765288668276	0.0150765288668276	0	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	M	0.0150765288668276	0.0150765288668276	2.3129646346357432e-19	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	P	0.0150765288668276	0.015838388681591601	0.00076185981476400001	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	O	0.0150765288668276	0.0143146690520636	-0.00076185981476400001	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	D	0.0150765288668276	0.0150765288668276	-5.7824115865893576e-19	0	30	False
BAK1+KLF1	64	additive	CPA_0.8.8	primary_state_pair	S	0.0149633313111144	0.0149633313111144	0	0	30	False
BAK1+KLF1	64	additive	CPA_0.8.8	primary_state_pair	M	0.0149633313111144	0.0149633313111144	2.3129646346357432e-19	0	30	False
BAK1+KLF1	64	additive	CPA_0.8.8	primary_state_pair	P	0.0149633313111144	0.015316928375349899	0.00035359706423549999	0	30	False
BAK1+KLF1	64	additive	CPA_0.8.8	primary_state_pair	O	0.0149633313111144	0.0146097342468788	-0.00035359706423549999	0	30	False
BAK1+KLF1	64	additive	CPA_0.8.8	primary_state_pair	D	0.0149633313111144	0.0149633313111144	-9.8300996972019085e-19	0	30	False
BAK1+KLF1	128	additive	CPA_0.8.8	primary_state_pair	S	0.014820056275714401	0.014820056275714401	0	0	30	False
BAK1+KLF1	128	additive	CPA_0.8.8	primary_state_pair	M	0.014820056275714401	0.014820056275714401	0	0	30	False
BAK1+KLF1	128	additive	CPA_0.8.8	primary_state_pair	P	0.014820056275714401	0.014997614614108701	0.0001775583383942	0	30	False
BAK1+KLF1	128	additive	CPA_0.8.8	primary_state_pair	O	0.014820056275714401	0.014642497937320101	-0.0001775583383942	0	30	False
BAK1+KLF1	128	additive	CPA_0.8.8	primary_state_pair	D	0.014820056275714401	0.014820056275714401	-1.7347234759768072e-19	0	30	False
BAK1+KLF1	135	additive	CPA_0.8.8	primary_state_pair	S	0.0148506520089043	0.0148506520089043	0	0	30	False
BAK1+KLF1	135	additive	CPA_0.8.8	primary_state_pair	M	0.0148506520089043	0.0148506520089043	0	0	30	False
