allocation	depth_per_gemgroup	cells_per_role	effect_model	state_model	d_S	V	d_D	n_tasks	crossing_unit_count	d_D_predicted	identity_residual	condition_strict_raw	expected_crossing	observed_crossing	S_tie	D_tie	classification
1	135	1080	direct_effect_ridge	compositional_ridge	0.0030749081319839827	0.0018768400650454743	0.004951748197029457	55	10	0.004951748197029457	0.0	False	False	False	False	False	effect_preferred_both
1	135	1080	direct_effect_ridge	CPA_0.8.8	0.07055209728277305	0.0018768400650454743	0.07242893734781854	55	0	0.07242893734781852	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
2	8	64	direct_effect_ridge	additive	-0.010423006079000362	0.03155975527163019	0.021136749192629832	55	44	0.021136749192629832	0.0	True	True	True	False	False	state_to_effect
2	8	64	direct_effect_ridge	compositional_ridge	-0.01121424214392568	0.03155975527163019	0.020345513127704513	55	43	0.020345513127704513	0.0	True	True	True	False	False	state_to_effect
2	8	64	direct_effect_ridge	CPA_0.8.8	0.06606935521820267	0.03155975527163019	0.09762911048983287	55	7	0.09762911048983286	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
2	16	128	direct_effect_ridge	additive	-0.0030447287902009503	0.015682721130162478	0.012637992339961535	55	38	0.012637992339961528	6.938893903907228e-18	True	True	True	False	False	state_to_effect
2	16	128	direct_effect_ridge	compositional_ridge	-0.003835964855126267	0.015682721130162478	0.011846756275036216	55	34	0.01184675627503621	5.204170427930421e-18	True	True	True	False	False	state_to_effect
2	16	128	direct_effect_ridge	CPA_0.8.8	0.06694399409155186	0.015682721130162478	0.08262671522171433	55	2	0.08262671522171433	0.0	False	False	False	False	False	effect_preferred_both
2	32	256	direct_effect_ridge	additive	0.0009451829779440671	0.007883317850210262	0.008828500828154331	55	18	0.00882850082815433	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
2	32	256	direct_effect_ridge	compositional_ridge	0.00015394691301875003	0.007883317850210262	0.008037264763229014	55	29	0.008037264763229012	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
2	32	256	direct_effect_ridge	CPA_0.8.8	0.0694436516694713	0.007883317850210262	0.07732696951968157	55	1	0.07732696951968157	0.0	False	False	False	False	False	effect_preferred_both
2	64	512	direct_effect_ridge	additive	0.002959500756554396	0.0036946876231094025	0.0066541883796638005	55	10	0.006654188379663799	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
2	64	512	direct_effect_ridge	compositional_ridge	0.0021682646916290783	0.0036946876231094025	0.005862952314738483	55	14	0.005862952314738481	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
2	64	512	direct_effect_ridge	CPA_0.8.8	0.06942132729981583	0.0036946876231094025	0.07311601492292524	55	0	0.07311601492292523	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
2	128	1024	direct_effect_ridge	additive	0.0038552443154077805	0.0018953966213961383	0.0057506409368039205	55	4	0.005750640936803919	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
2	128	1024	direct_effect_ridge	compositional_ridge	0.003064008250482463	0.0018953966213961383	0.0049594048718786	55	11	0.004959404871878601	-8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
2	128	1024	direct_effect_ridge	CPA_0.8.8	0.07029909455021464	0.0018953966213961383	0.0721944911716108	55	0	0.07219449117161078	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
2	135	1080	direct_effect_ridge	additive	0.0038887290171356103	0.0018059612902153717	0.005694690307350982	55	3	0.005694690307350982	0.0	False	False	False	False	False	effect_preferred_both
2	135	1080	direct_effect_ridge	compositional_ridge	0.003097492952210293	0.0018059612902153717	0.004903454242425665	55	10	0.004903454242425664	8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
2	135	1080	direct_effect_ridge	CPA_0.8.8	0.0700365496356794	0.0018059612902153717	0.07184251092589478	55	0	0.07184251092589478	0.0	False	False	False	False	False	effect_preferred_both
3	8	64	direct_effect_ridge	additive	-0.009884038039551178	0.03017672459217438	0.020292686552623205	55	44	0.0202926865526232	3.469446951953614e-18	True	True	True	False	False	state_to_effect
3	8	64	direct_effect_ridge	compositional_ridge	-0.010675274104476497	0.03017672459217438	0.019501450487697893	55	42	0.019501450487697886	6.938893903907228e-18	True	True	True	False	False	state_to_effect
3	8	64	direct_effect_ridge	CPA_0.8.8	0.06317070664699778	0.03017672459217438	0.09334743123917218	55	7	0.09334743123917216	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
3	16	128	direct_effect_ridge	additive	-0.0027314017665588295	0.015680702176219533	0.012949300409660709	55	37	0.012949300409660703	5.204170427930421e-18	True	True	True	False	False	state_to_effect
3	16	128	direct_effect_ridge	compositional_ridge	-0.003522637831484146	0.015680702176219533	0.012158064344735391	55	33	0.012158064344735387	3.469446951953614e-18	True	True	True	False	False	state_to_effect
3	16	128	direct_effect_ridge	CPA_0.8.8	0.06450239610983001	0.015680702176219533	0.08018309828604954	55	2	0.08018309828604954	0.0	False	False	False	False	False	effect_preferred_both
3	32	256	direct_effect_ridge	additive	0.0009250926394315603	0.008001787147119617	0.008926879786551179	55	18	0.008926879786551177	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
3	32	256	direct_effect_ridge	compositional_ridge	0.00013385657450624305	0.008001787147119617	0.008135643721625861	55	28	0.00813564372162586	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
3	32	256	direct_effect_ridge	CPA_0.8.8	0.06938114021714878	0.008001787147119617	0.0773829273642684	55	1	0.0773829273642684	0.0	False	False	False	False	False	effect_preferred_both
3	64	512	direct_effect_ridge	additive	0.002708906095717216	0.0041293923615451505	0.0068382984572623665	55	11	0.0068382984572623665	0.0	False	False	False	False	False	effect_preferred_both
3	64	512	direct_effect_ridge	compositional_ridge	0.0019176700307918983	0.0041293923615451505	0.006047062392337048	55	16	0.006047062392337049	-8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
3	64	512	direct_effect_ridge	CPA_0.8.8	0.06910896778413324	0.0041293923615451505	0.07323836014567839	55	0	0.07323836014567839	0.0	False	False	False	False	False	effect_preferred_both
3	128	1024	direct_effect_ridge	additive	0.0037613052310167417	0.0019275796496853175	0.005688884880702059	55	5	0.005688884880702059	0.0	False	False	False	False	False	effect_preferred_both
3	128	1024	direct_effect_ridge	compositional_ridge	0.002970069166091425	0.0019275796496853175	0.00489764881577674	55	11	0.004897648815776742	-2.6020852139652106e-18	False	False	False	False	False	effect_preferred_both
3	128	1024	direct_effect_ridge	CPA_0.8.8	0.06890086978588518	0.0019275796496853175	0.0708284494355705	55	0	0.0708284494355705	0.0	False	False	False	False	False	effect_preferred_both
3	135	1080	direct_effect_ridge	additive	0.003821659860221574	0.0018556108691784683	0.005677270729400041	55	5	0.005677270729400042	-8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
3	135	1080	direct_effect_ridge	compositional_ridge	0.0030304237952962563	0.0018556108691784683	0.004886034664474724	55	11	0.004886034664474724	0.0	False	False	False	False	False	effect_preferred_both
