completed_epoch	autoencoder_lr	doser_lr	adversary_lr
152	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
153	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
154	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
155	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
156	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
157	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
158	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
159	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
160	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
161	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
162	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
163	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
164	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
165	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
166	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
167	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
168	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
169	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
170	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
171	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
172	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
173	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
174	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
175	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
176	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
177	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
178	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
179	7.290000000000001e-05	7.290000000000001e-05	7.290000000000001e-05
