panel_id	axis_variant_order	axis_variant	axis_variant_label	root_count_R	cell_id	events	trials	point_estimate	interval_lower	interval_upper	interval_method	alias_endpoint_verified
F2B_GLOBAL_NULL_CALIBRATION	4	TIE050	Tie 0.50	40	SIMV1__DZ000__R40__AXTIE050	126	5000	0.0252	0.021034670741797434	0.029931413808363751	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	5	MISS010	Missing 0.10	8	SIMV1__DZ000__R08__AXMISS010	105	5000	0.021000000000000001	0.017207250536944503	0.025365369976971624	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	5	MISS010	Missing 0.10	12	SIMV1__DZ000__R12__AXMISS010	87	5000	0.017399999999999999	0.013959554240703373	0.021419110159137392	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	5	MISS010	Missing 0.10	20	SIMV1__DZ000__R20__AXMISS010	130	5000	0.025999999999999999	0.021767574583048534	0.030797310361565577	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	5	MISS010	Missing 0.10	40	SIMV1__DZ000__R40__AXMISS010	182	5000	0.036400000000000002	0.031381120548909201	0.041969007247753348	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	6	MISS025	Missing 0.25	8	SIMV1__DZ000__R08__AXMISS025	19	5000	0.0038	0.002289351383877032	0.0059278373071564227	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	6	MISS025	Missing 0.25	12	SIMV1__DZ000__R12__AXMISS025	116	5000	0.023199999999999998	0.019207583210592891	0.027761558905499435	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	6	MISS025	Missing 0.25	20	SIMV1__DZ000__R20__AXMISS025	120	5000	0.024	0.019937495963640663	0.02863041240434205	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	6	MISS025	Missing 0.25	40	SIMV1__DZ000__R40__AXMISS025	140	5000	0.028000000000000001	0.023604553693749138	0.032957382410413516	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
F2B_GLOBAL_NULL_CALIBRATION	7	MISS050	Missing 0.50	8	SIMV1__DZ000__R08__AXMISS050	1	5000	0.00020000000000000001	5.0635487770515903e-06	0.001113819380333972	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON_N5000	SIM_FWER_GLOBAL_NULL_EQUALS_SIM_ANY_FALSE_SELECTION
