root_count_R	procedure_order	procedure_id	procedure_label	visual_group	visual_group_label	events	trials	estimate	interval_lower	interval_upper	interval_method	invalid_descendant_replicate	evidence_authority	interpretation	source_record_id	upstream_sha256
20	1	EXACT_ROOT_SIGN_HOLM	Exact unit sign	EXPERIMENTAL_UNIT_PROCEDURE	Experimental-unit procedures	36	2500	0.0144	0.0101054228544891	0.019880403066366299	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	VALID_SIGN_INFERENCE_CHARACTERIZATION_NOT_A_QUALIFICATION_RECEIPT	SIGN_FWER_CHARACTERIZATION_ONLY_NOT_QUALIFICATION	CMP010:EXACT_ROOT_SIGN_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
20	2	ROOT_CR1_T_MEAN_CONTRAST_HOLM	Unit CR1-t mean	EXPERIMENTAL_UNIT_PROCEDURE	Experimental-unit procedures	108	2500	0.043200000000000002	0.035570053797203897	0.051921705039827397	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	DESCRIPTIVE_ROOT_MEAN_COMPARATOR	ROOT_MEAN_FAMILY_ERROR_NOT_SIGN_FWER_CHARACTERIZATION_ONLY	CMP010:ROOT_CR1_T_MEAN_CONTRAST_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
20	3	ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	Whole-unit bootstrap	WHOLE_UNIT_BOOTSTRAP_COMPARATOR	Whole-unit bootstrap comparator	225	2500	0.089999999999999997	0.079067073498569895	0.1019039280025127	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	DESCRIPTIVE_ROOT_MEAN_COMPARATOR	ROOT_MEAN_FAMILY_ERROR_NOT_SIGN_FWER_CHARACTERIZATION_ONLY	CMP010:ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
20	4	TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	Tasks as replicates (invalid)	INVALID_DESCENDANT_REPLICATE_ANALYSIS	Invalid descendant-replicate analyses	1916	2500	0.76639999999999997	0.74930739187680206	0.78286632947401691	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	true	NEGATIVE_CONTROL_NO_VALID_INFERENCE	DESCRIPTIVE_ANY_NULL_REJECTION_BEHAVIOR_NOT_VALID_FWER	CMP010:TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
20	5	CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	Cells as replicates (invalid)	INVALID_DESCENDANT_REPLICATE_ANALYSIS	Invalid descendant-replicate analyses	2469	2500	0.98760000000000003	0.98244501478669966	0.99155967547934765	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	true	NEGATIVE_CONTROL_NO_VALID_INFERENCE	DESCRIPTIVE_ANY_NULL_REJECTION_BEHAVIOR_NOT_VALID_FWER	CMP010:CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
40	1	EXACT_ROOT_SIGN_HOLM	Exact unit sign	EXPERIMENTAL_UNIT_PROCEDURE	Experimental-unit procedures	75	2500	0.029999999999999999	0.023668430213569	0.037461577248207499	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	VALID_SIGN_INFERENCE_CHARACTERIZATION_NOT_A_QUALIFICATION_RECEIPT	SIGN_FWER_CHARACTERIZATION_ONLY_NOT_QUALIFICATION	CMP014:EXACT_ROOT_SIGN_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
40	2	ROOT_CR1_T_MEAN_CONTRAST_HOLM	Unit CR1-t mean	EXPERIMENTAL_UNIT_PROCEDURE	Experimental-unit procedures	105	2500	0.042000000000000003	0.034478011928423202	0.0506170777600694	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	DESCRIPTIVE_ROOT_MEAN_COMPARATOR	ROOT_MEAN_FAMILY_ERROR_NOT_SIGN_FWER_CHARACTERIZATION_ONLY	CMP014:ROOT_CR1_T_MEAN_CONTRAST_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
40	3	ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	Whole-unit bootstrap	WHOLE_UNIT_BOOTSTRAP_COMPARATOR	Whole-unit bootstrap comparator	161	2500	0.064399999999999999	0.055092763165225898	0.074742728530502997	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	false	DESCRIPTIVE_ROOT_MEAN_COMPARATOR	ROOT_MEAN_FAMILY_ERROR_NOT_SIGN_FWER_CHARACTERIZATION_ONLY	CMP014:ROOT_NONPARAMETRIC_BOOTSTRAP_MEAN_CONTRAST_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
40	4	TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	Tasks as replicates (invalid)	INVALID_DESCENDANT_REPLICATE_ANALYSIS	Invalid descendant-replicate analyses	1886	2500	0.75439999999999996	0.73703488325357636	0.77116720682806184	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	true	NEGATIVE_CONTROL_NO_VALID_INFERENCE	DESCRIPTIVE_ANY_NULL_REJECTION_BEHAVIOR_NOT_VALID_FWER	CMP014:TASK_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
40	5	CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	Cells as replicates (invalid)	INVALID_DESCENDANT_REPLICATE_ANALYSIS	Invalid descendant-replicate analyses	2472	2500	0.98880000000000001	0.98385328537541716	0.99254513617703399	POINTWISE_TWO_SIDED_95_PERCENT_CLOPPER_PEARSON	true	NEGATIVE_CONTROL_NO_VALID_INFERENCE	DESCRIPTIVE_ANY_NULL_REJECTION_BEHAVIOR_NOT_VALID_FWER	CMP014:CELL_NEGATIVE_CONTROL_BOOTSTRAP_MEAN_CONTRAST_HOLM	22eae5fd4a9859bb2d2d712f110f5f4f2ddf368aa38ea17f28a4d5e8c1806656
