cohort	assignment_index	prediction_index	label_id	inference_block	observation_block	evaluation	mse_S	mse_D	mse_D_minus_S	mae_S	mae_D	mae_D_minus_S	prediction_mae_difference	donor_count	task_count	D_lower_mse_donors	D_lower_mae_donors	D_lower_mse_tasks	D_lower_mae_tasks
extension39_four_types	24	6	200	1	1	shared_observation	0.011623490276670775	0.014522239822952164	0.002898749546281388	0.08081591958796411	0.09153548945495635	0.010719569866992249	0.054682532911909824	39	156	7	4	25	29
extension34_five_types	24	6	200	1	1	shared_observation	0.011124614894198326	0.014228558597061928	0.0031039437028636038	0.07891921129843149	0.09075462914692393	0.011835417848492454	0.05472741627818424	34	170	4	3	23	28
primary39_two_types	25	6	200	1	2	independent_observation	0.021569574377648483	0.01830788704881543	-0.0032616873288330507	0.11298593524632239	0.10313698718458976	-0.00984894806173263	0.060624089818307504	39	78	29	31	58	56
extension39_four_types	25	6	200	1	2	independent_observation	0.01731598567522626	0.014150976901446104	-0.0031650087737801567	0.10059393730545188	0.09003140794212099	-0.010562529363330896	0.054682532911909824	39	156	34	32	130	124
extension34_five_types	25	6	200	1	2	independent_observation	0.016704379721170164	0.013418839467921117	-0.003285540253249046	0.09934570865026926	0.08808378169496957	-0.011261926955299697	0.05472741627818424	34	170	30	30	141	136
primary39_two_types	26	6	200	1	3	independent_observation	0.02227627555266697	0.01873619049366407	-0.003540085059002899	0.1141856159205632	0.10355452728123002	-0.010631088639333193	0.060624089818307504	39	78	29	30	61	57
extension39_four_types	26	6	200	1	3	independent_observation	0.017818204375379704	0.014361756659393264	-0.0034564477159864356	0.10233211308632256	0.09049128596894863	-0.011840827117373937	0.054682532911909824	39	156	33	34	133	128
extension34_five_types	26	6	200	1	3	independent_observation	0.017623078165642733	0.014090532375778566	-0.0035325457898641656	0.10179917607435958	0.09006391553384063	-0.01173526054051894	0.05472741627818424	34	170	31	33	145	138
primary39_two_types	27	6	200	1	all_excluding_input	deeper_observation	0.009625869186971659	0.005642908711018626	-0.003982960475953034	0.07328539844359222	0.051272910334443096	-0.022012488109149124	0.060624089818307504	39	78	32	32	68	65
extension39_four_types	27	6	200	1	all_excluding_input	deeper_observation	0.0076370858044555266	0.003953290059203893	-0.0036837957452516335	0.06512829639290074	0.040903655487332366	-0.02422464090556838	0.054682532911909824	39	156	37	38	146	143
extension34_five_types	27	6	200	1	all_excluding_input	deeper_observation	0.007790214382817925	0.00397461652124655	-0.003815597861571375	0.06604384565334913	0.042160412606382376	-0.023883433046966763	0.05472741627818424	34	170	32	34	160	158
primary39_two_types	28	7	200	2	1	independent_observation	0.02356380561978536	0.018903729449950744	-0.004660076169834619	0.1193740551570347	0.10603230271922218	-0.01334175243781251	0.061010226198934835	39	78	31	32	62	57
extension39_four_types	28	7	200	2	1	independent_observation	0.01830817888619446	0.014522239822952164	-0.003785939063242295	0.10347393967648638	0.09153548945495635	-0.011938450221530018	0.05420618705838143	39	156	35	35	134	126
extension34_five_types	28	7	200	2	1	independent_observation	0.017930440231681992	0.014228558597061928	-0.0037018816346200624	0.10258781157631418	0.09075462914692393	-0.011833182429390226	0.05375905748839719	34	170	32	33	145	138
primary39_two_types	29	7	200	2	2	shared_observation	0.015794504696618368	0.01830788704881543	0.002513382352197063	0.09461294432066891	0.10313698718458976	0.00852404286392086	0.061010226198934835	39	78	10	10	19	21
extension39_four_types	29	7	200	2	2	shared_observation	0.011286736200245007	0.014150976901446104	0.002864240701201097	0.0787198140589609	0.09003140794212099	0.011311593883160095	0.05420618705838143	39	156	5	6	24	25
extension34_five_types	29	7	200	2	2	shared_observation	0.010428517361722558	0.013418839467921117	0.0029903221061985587	0.07599668098005327	0.08808378169496957	0.012087100714916293	0.05375905748839719	34	170	4	3	26	26
primary39_two_types	30	7	200	2	3	independent_observation	0.022718314480659082	0.01873619049366407	-0.003982123986995011	0.1164941263143433	0.10355452728123002	-0.012939599033113295	0.061010226198934835	39	78	31	32	62	62
extension39_four_types	30	7	200	2	3	independent_observation	0.018014346974510535	0.014361756659393264	-0.003652590315117268	0.10319350995084066	0.09049128596894863	-0.012702223981892026	0.05420618705838143	39	156	36	37	134	131
extension34_five_types	30	7	200	2	3	independent_observation	0.017729916135374963	0.014090532375778566	-0.0036393837595963983	0.1023926744914258	0.09006391553384063	-0.012328758957585182	0.05375905748839719	34	170	33	32	147	144
primary39_two_types	31	7	200	2	all_excluding_input	deeper_observation	0.010492671535039636	0.005699612714212193	-0.004793058820827442	0.07751011877315414	0.05199463610485538	-0.025515482668298763	0.061010226198934835	39	78	35	35	68	69
extension39_four_types	31	7	200	2	all_excluding_input	deeper_observation	0.00808532410316396	0.003998758652701753	-0.004086565450462206	0.06708651943555573	0.04136914053501492	-0.025717378900540818	0.05420618705838143	39	156	37	39	146	147
extension34_five_types	31	7	200	2	all_excluding_input	deeper_observation	0.008096242216079711	0.0040324936147402325	-0.00406374860133948	0.06765613065726961	0.042647036718759114	-0.02500909393851049	0.05375905748839719	34	170	34	34	160	162
primary39_two_types	32	8	200	3	1	independent_observation	0.02313103787002128	0.018903729449950744	-0.004227308420070536	0.11797489867102649	0.10603230271922218	-0.011942595951804288	0.058623370483091436	39	78	32	32	62	58
extension39_four_types	32	8	200	3	1	independent_observation	0.018211000331887394	0.014522239822952164	-0.003688760508935229	0.10339294336734775	0.09153548945495635	-0.011857453912391411	0.05339247416253112	39	156	35	36	133	125
extension34_five_types	32	8	200	3	1	independent_observation	0.01794882945542976	0.014228558597061928	-0.003720270858367832	0.10299584454130334	0.09075462914692393	-0.01224121539437938	0.052702850855607136	34	170	32	33	146	140
primary39_two_types	33	8	200	3	2	independent_observation	0.021389308264816068	0.01830788704881543	-0.0030814212160006336	0.11264321130422726	0.10313698718458976	-0.009506224119637505	0.058623370483091436	39	78	30	30	56	60
extension39_four_types	33	8	200	3	2	independent_observation	0.017385228047890354	0.014150976901446104	-0.0032342511464442513	0.10119562662938036	0.09003140794212099	-0.01116421868725936	0.05339247416253112	39	156	36	38	126	132
extension34_five_types	33	8	200	3	2	independent_observation	0.016627493021672945	0.013418839467921117	-0.0032086535537518253	0.09927395515744925	0.08808378169496957	-0.011190173462479684	0.052702850855607136	34	170	32	34	138	146
