label_id	inference_block	observation_block	evaluation	program_mse_S	program_mse_D	program_mse_D_minus_S	program_mae_S	program_mae_D	program_mae_D_minus_S	program_prediction_mae_difference	negative_task_mse_deltas	negative_donor_mse_deltas
0	1	1	shared_observation	0.010030947771743667	0.012713863713429004	0.002682915941685336	0.0732262076455555	0.0871710540932162	0.013944846447660694	0.05707514809786773	5	1
0	1	2	independent_observation	0.0174304767380355	0.01318098186227951	-0.004249494875755992	0.09946910719654865	0.08731879738522012	-0.01215030981132851	0.05707514809786773	33	7
0	1	3	independent_observation	0.017045073233366632	0.012407645913876712	-0.004637427319489919	0.10124593562941103	0.08638117425463017	-0.014864761374780872	0.05707514809786773	36	8
0	2	1	independent_observation	0.01695245571010465	0.012713863713429004	-0.004238591996675646	0.09718992175838788	0.0871710540932162	-0.010018867665171686	0.05715701669609241	33	7
0	2	2	shared_observation	0.010456272309978604	0.01318098186227951	0.0027247095523009017	0.07094519879986833	0.08731879738522012	0.016373598585351815	0.05715701669609241	3	1
0	2	3	independent_observation	0.016700411384651146	0.012407645913876712	-0.004292765470774434	0.09904205395894415	0.08638117425463017	-0.01266087970431398	0.05715701669609241	35	8
0	3	1	independent_observation	0.018209733145477806	0.012713863713429004	-0.0054958694320488026	0.10191542757713065	0.0871710540932162	-0.014744373483914466	0.05861281677410185	32	8
0	3	2	independent_observation	0.018572320753062383	0.01318098186227951	-0.005391338890782876	0.10153928964490654	0.08731879738522012	-0.014220492259686385	0.05861281677410185	36	8
0	3	3	shared_observation	0.009665463298075737	0.012407645913876712	0.0027421826158009754	0.07261473845187755	0.08638117425463017	0.013766435802752629	0.05861281677410185	6	1
100	1	1	shared_observation	0.009991131883774334	0.013407837037192994	0.003416705153418662	0.07167065599447511	0.08894705880219035	0.017276402807715235	0.05611995200410103	3	1
100	1	2	independent_observation	0.01605299629253241	0.012405865931080484	-0.0036471303614519306	0.09512598876250185	0.085454345969627	-0.009671642792874847	0.05611995200410103	33	8
100	1	3	independent_observation	0.014919644935412217	0.011673035215912496	-0.003246609719499718	0.09274350744364362	0.08296068112456072	-0.009782826319082904	0.05611995200410103	32	8
100	2	1	independent_observation	0.018404630851971623	0.013407837037192994	-0.0049967938147786285	0.10283210062471852	0.08894705880219035	-0.013885041822528166	0.055909309572940824	33	8
100	2	2	shared_observation	0.009451536442832819	0.012405865931080484	0.0029543294882476622	0.07085199189659017	0.085454345969627	0.014602354073036845	0.055909309572940824	3	1
100	2	3	independent_observation	0.01580058573021183	0.011673035215912496	-0.004127550514299333	0.09767950445422979	0.08296068112456072	-0.014718823329669067	0.055909309572940824	36	8
100	3	1	independent_observation	0.01933513999046875	0.013407837037192994	-0.0059273029532757576	0.10393892756214791	0.08894705880219035	-0.014991868759957566	0.058471835643270416	36	7
100	3	2	independent_observation	0.01817434093433837	0.012405865931080484	-0.005768475003257888	0.10201040417469355	0.085454345969627	-0.016556058205066553	0.058471835643270416	36	8
100	3	3	shared_observation	0.009906362490448649	0.011673035215912496	0.0017666727254638471	0.07187012213840771	0.08296068112456072	0.011090558986153024	0.058471835643270416	6	1
200	1	1	shared_observation	0.010427442515303573	0.012077369919579866	0.0016499274042762956	0.0731168841174697	0.08387150213512815	0.010754618017658436	0.054778951540138295	8	1
200	1	2	independent_observation	0.01713230262492988	0.012615136753398284	-0.004517165871531595	0.09984645532219585	0.08692268458632663	-0.01292377073586924	0.054778951540138295	36	8
200	1	3	independent_observation	0.0175762993005471	0.012823680323589336	-0.0047526189769577605	0.10097057805686291	0.08767270999574754	-0.013297868061115378	0.054778951540138295	34	8
200	2	1	independent_observation	0.016957440512841766	0.012077369919579866	-0.004880070593261897	0.0976225532415037	0.08387150213512815	-0.013751051106375584	0.05799313283687465	34	8
200	2	2	shared_observation	0.010098658024580336	0.012615136753398284	0.0025164787288179473	0.07111127513328341	0.08692268458632663	0.015811409453043226	0.05799313283687465	5	1
200	2	3	independent_observation	0.01637946513765028	0.012823680323589336	-0.00355578481406094	0.09575615137293624	0.08767270999574754	-0.008083441377188687	0.05799313283687465	31	7
200	3	1	independent_observation	0.016626641689239413	0.012077369919579866	-0.004549271769659545	0.09787338797155393	0.08387150213512815	-0.01400188583642579	0.055832522813854014	37	8
200	3	2	independent_observation	0.016731524774642466	0.012615136753398284	-0.00411638802124418	0.0995925353916663	0.08692268458632663	-0.012669850805339685	0.055832522813854014	34	8
200	3	3	shared_observation	0.009183703075568421	0.012823680323589336	0.0036399772480209163	0.07076018074183037	0.08767270999574754	0.01691252925391717	0.055832522813854014	7	1
300	1	1	shared_observation	0.009881158230353638	0.012512066229852084	0.002630907999498444	0.07390800200727779	0.08652388794287012	0.012615885935592324	0.05595573192593076	10	1
300	1	2	independent_observation	0.017339821416376154	0.013307439881831737	-0.0040323815345444155	0.09990106301334822	0.08757888390153805	-0.012322179111810197	0.05595573192593076	31	8
300	1	3	independent_observation	0.015494284109141677	0.011676885539016673	-0.003817398570125004	0.09386515495220898	0.08207760477791942	-0.01178755017428956	0.05595573192593076	34	8
300	2	1	independent_observation	0.017068324034934104	0.012512066229852084	-0.004556257805082021	0.09853523435628182	0.08652388794287012	-0.012011346413411712	0.05727730805640499	34	7
300	2	2	shared_observation	0.011014911596978722	0.013307439881831737	0.0022925282848530147	0.07464932683092944	0.08757888390153805	0.012929557070608604	0.05727730805640499	5	1
300	2	3	independent_observation	0.0162971893944507	0.011676885539016673	-0.004620303855434029	0.0971373681154653	0.08207760477791942	-0.015059763337545886	0.05727730805640499	35	8
300	3	1	independent_observation	0.01662102711343259	0.012512066229852084	-0.004108960883580509	0.09686487245887197	0.08652388794287012	-0.010340984516001862	0.05708760254712229	33	8
300	3	2	independent_observation	0.01821987947674878	0.013307439881831737	-0.004912439594917041	0.10178108210818387	0.08757888390153805	-0.01420219820664581	0.05708760254712229	35	8
300	3	3	shared_observation	0.00937700228686207	0.011676885539016673	0.0022998832521546027	0.0683236956805193	0.08207760477791942	0.013753909097400145	0.05708760254712229	5	1
400	1	1	shared_observation	0.008932783294567832	0.01233302081097043	0.003400237516402599	0.06929591107817178	0.08584239424693137	0.016546483168759597	0.05719559836891213	3	1
400	1	2	independent_observation	0.016685724629604635	0.01254428730626468	-0.004141437323339957	0.0992293307385764	0.08486150077634125	-0.014367829962235143	0.05719559836891213	34	8
400	1	3	independent_observation	0.016775575046779977	0.012484232031089103	-0.004291343015690873	0.0986732702167241	0.08585255114759245	-0.012820719069131648	0.05719559836891213	31	8
400	2	1	independent_observation	0.017442159943695065	0.01233302081097043	-0.005109139132724636	0.10011239444947606	0.08584239424693137	-0.014270000202544693	0.05591155218426089	37	8
400	2	2	shared_observation	0.010111036477165693	0.01254428730626468	0.0024332508290989857	0.07189842803078712	0.08486150077634125	0.012963072745554116	0.05591155218426089	9	1
400	2	3	independent_observation	0.01696181415452582	0.012484232031089103	-0.004477582123436718	0.09922262065804836	0.08585255114759245	-0.013370069510455895	0.05591155218426089	35	8
400	3	1	independent_observation	0.01751157175946558	0.01233302081097043	-0.00517855094849515	0.10020763492811878	0.08584239424693137	-0.014365240681187419	0.059417938085392245	34	8
400	3	2	independent_observation	0.016694152212970707	0.01254428730626468	-0.004149864906706028	0.09761579023753411	0.08486150077634125	-0.012754289461192864	0.059417938085392245	33	7
400	3	3	shared_observation	0.010694217985526092	0.012484232031089103	0.001790014045563012	0.07392658936136887	0.08585255114759245	0.011925961786223583	0.059417938085392245	8	1
500	1	1	shared_observation	0.009963627050021016	0.01191336308445951	0.0019497360344384916	0.07159476986539022	0.08347660005003593	0.011881830184645701	0.05661182316949266	8	1
500	1	2	independent_observation	0.016567636872378378	0.01236435717122741	-0.004203279701150968	0.09867700765632025	0.08495025289110184	-0.013726754765218417	0.05661182316949266	35	8
500	1	3	independent_observation	0.01814393426686497	0.013289141341368079	-0.004854792925496891	0.10231097565555612	0.08707112453118289	-0.015239851124373241	0.05661182316949266	35	8
500	2	1	independent_observation	0.01670560081859728	0.01191336308445951	-0.00479223773413777	0.09813777342890016	0.08347660005003593	-0.014661173378864217	0.056838706230963314	34	8
500	2	2	shared_observation	0.009776013857991248	0.01236435717122741	0.0025883433132361617	0.07230640586359877	0.08495025289110184	0.01264384702750305	0.056838706230963314	4	1
500	2	3	independent_observation	0.017768440044780218	0.013289141341368079	-0.004479298703412138	0.10141462309421549	0.08707112453118289	-0.01434349856303262	0.056838706230963314	36	8
