cohort	orientation	mse_S	mse_D	mse_D_minus_S	mae_S	mae_D	mae_D_minus_S	prediction_mae_difference
primary39_two_types	O1	0.024276026148857394	0.018696505270852617	-0.005579520878004783	0.12118286515584421	0.10799286136650076	-0.013190003789343452	0.05944390617965457
primary39_two_types	O2	0.022798746067968924	0.020237711037793385	-0.0025610350301755367	0.11650553464220041	0.10794223445576782	-0.008563300186432588	0.057582055320816124
extension39_four_types	O1	0.019603818442644284	0.014997041266922124	-0.004606777175722159	0.10778773956920709	0.095031192153798	-0.01275654741540908	0.05374846071193525
extension39_four_types	O2	0.017514096658477453	0.014743069545869745	-0.0027710271126077076	0.10137278251069798	0.09144789306349099	-0.009924889447207003	0.0524618282404995
extension34_five_types	O1	0.018459828022598906	0.01418487645857167	-0.004274951564027241	0.10516434993432047	0.0927947607685549	-0.012369589165765577	0.053778167591284086
extension34_five_types	O2	0.01788372097309697	0.014804182523838964	-0.003079538449258007	0.10263268619295383	0.09184978255444519	-0.010782903638508631	0.05355297496763025
