cohort	omitted_batch_id	mse_S	mse_D	mse_D_minus_S	mae_S	mae_D	mae_D_minus_S	prediction_mae_difference
primary39_two_types	B01	0.023565753090696428	0.019115870715996734	-0.004449882374699698	0.11871949637782989	0.10707242274918907	-0.011647073628640812	0.057226696481455876
primary39_two_types	B02	0.023598548519278846	0.019513072330517932	-0.004085476188760915	0.11864324913003285	0.10794386982961872	-0.010699379300414124	0.05882794056630332
primary39_two_types	B03	0.02381162825873195	0.019886529921048196	-0.00392509833768375	0.11915840476378635	0.10882102980177269	-0.010337374962013673	0.05844386630970732
primary39_two_types	B04	0.022553636141539567	0.01870130046296204	-0.003852335678577525	0.11631184627769431	0.1049333721697496	-0.01137847410794472	0.05949874728954013
primary39_two_types	B05	0.023571969032144924	0.019564047036980333	-0.0040079219951645925	0.1190419072592925	0.10847854026814209	-0.010563366991150422	0.059646494147699604
primary39_two_types	B06	0.023499416827028104	0.019174691968610224	-0.004324724858417881	0.11983897776519557	0.10893326564589255	-0.010905712119303043	0.057867502146973566
primary39_two_types	B07	0.023937698215985747	0.01974320996543365	-0.0041944882505521005	0.11966118936045153	0.1083756589323158	-0.011285530428135763	0.05779332547951875
primary39_two_types	B08	0.023760438781899696	0.020038142833034883	-0.0037222959488648157	0.11937852825789545	0.10918222389239389	-0.01019630436550159	0.058799273580684173
extension39_four_types	B01	0.01844624956126345	0.014536515037326598	-0.003909734523936852	0.10420935512396393	0.09217648011183129	-0.012032875012132654	0.05234698900149899
extension39_four_types	B02	0.018725987189381083	0.014991110984099646	-0.003734876205281435	0.10490550890188617	0.09366159964614984	-0.011243909255736333	0.05336909120443765
extension39_four_types	B03	0.01892943360046795	0.01516916249067428	-0.0037602711097936667	0.10556640342965752	0.09405487290024821	-0.011511530529409333	0.05324076672071994
extension39_four_types	B04	0.017787070133170317	0.014326923931294224	-0.0034601462018760934	0.1022976234537244	0.09096152446672656	-0.011336098986997833	0.05346456432941558
extension39_four_types	B05	0.018627753198400498	0.014953325480592947	-0.003674427717807551	0.10467353504190456	0.09352438123249322	-0.011149153809411347	0.0537433967226567
extension39_four_types	B06	0.018480106788848014	0.014715477909522866	-0.0037646288793251486	0.10512766475299286	0.09392324618423083	-0.011204418568762035	0.05287317029442313
extension39_four_types	B07	0.01870303137268408	0.015020189920518104	-0.003682841452165973	0.10475607272290006	0.0934271624661477	-0.011328910256752379	0.05257307047143909
extension39_four_types	B08	0.018772028560271554	0.015247737497138805	-0.0035242910631327466	0.10510592489259078	0.09418707386132838	-0.010918851031262432	0.0532301070651479
extension34_five_types	B01	0.018173963454417654	0.014323458540875272	-0.003850504913542382	0.10383537161352198	0.09183365040301371	-0.01200172121050828	0.05325053279300879
extension34_five_types	B02	0.018182062075157695	0.014510990725043771	-0.003671071350113928	0.10381458186924065	0.0923486916273796	-0.01146589024186105	0.05389406625537121
extension34_five_types	B03	0.018661261337301338	0.014875839357996828	-0.003785421979304513	0.10530326478803577	0.09332354947643315	-0.01197971531160262	0.053748441045604174
extension34_five_types	B04	0.01763993695457469	0.014168168312078252	-0.003471768642496439	0.10221948603334911	0.09081816805730902	-0.0114013179760401	0.05408882937114776
extension34_five_types	B05	0.018137939363440294	0.014352321057809592	-0.0037856183056307036	0.10374251842804362	0.09197307945595537	-0.011769438972088249	0.0541055583991552
extension34_five_types	B06	0.0180237848925627	0.01430373581466361	-0.003720049077899091	0.10404446963717687	0.09272534082688418	-0.011319128810292716	0.05338766678268275
extension34_five_types	B07	0.018268528727208678	0.0145996871542467	-0.0036688415729619803	0.10401400414353461	0.09246763983798387	-0.011546364305550746	0.053254051259615395
extension34_five_types	B08	0.018286719178120452	0.014822034966928504	-0.003464684211191952	0.10421444799619463	0.09308805360704157	-0.011126394389153057	0.05359542432907205
