cohort	program_id	mse_S	mse_D	mse_D_minus_S	contribution_to_all37_mse_delta	contribution_to_secondary_without_IFNa36	mae_S	mae_D	mae_D_minus_S
primary39_two_types	HALLMARK_ADIPOGENESIS	0.01387699928413913	0.009396864631654853	-0.004480134652484277	-0.00012108472033741288	-0.0001244481847912299	0.0993995606738997	0.08187738268519147	-0.017522177988708226
primary39_two_types	HALLMARK_ALLOGRAFT_REJECTION	0.010661672556996618	0.008825537270746421	-0.0018361352862501963	-4.962527800676206e-05	-5.100375795139434e-05	0.08384279993238221	0.07481869080196468	-0.009024109130417526
primary39_two_types	HALLMARK_ANDROGEN_RESPONSE	0.02524457388287149	0.016973111975368504	-0.008271461907502987	-0.00022355302452710775	-0.00022976283076397186	0.13185145551862967	0.10499156554218446	-0.026859889976445214
primary39_two_types	HALLMARK_APICAL_JUNCTION	0.03052692798549754	0.020555292466661827	-0.009971635518835714	-0.0002695036626712355	-0.00027698987552321426	0.13572049998056135	0.10955407619658517	-0.026166423783976184
primary39_two_types	HALLMARK_APOPTOSIS	0.01209441478145366	0.010975039830832745	-0.0011193749506209147	-3.0253377043808505e-05	-3.109374862835874e-05	0.088823148843969	0.08216149119124015	-0.006661657652728845
primary39_two_types	HALLMARK_COAGULATION	0.04044312525921125	0.024110125246415922	-0.01633300001279533	-0.0004414324327782522	-0.0004536944447998703	0.15139871152370135	0.1248653346580827	-0.026533376865618657
primary39_two_types	HALLMARK_COMPLEMENT	0.024543797082063355	0.01784724511342937	-0.006696551968633984	-0.00018098789104416173	-0.0001860153324620551	0.12093912321584797	0.1044723917585505	-0.016466731457297476
primary39_two_types	HALLMARK_DNA_REPAIR	0.01377412887946154	0.010148497400975506	-0.0036256314784860345	-9.799003995908201e-05	-0.00010071198551350096	0.09680625755893614	0.08505423084337442	-0.01175202671556172
primary39_two_types	HALLMARK_E2F_TARGETS	0.014444610090680345	0.011580948160147935	-0.00286366193053241	-7.739626839276784e-05	-7.954616473701139e-05	0.09502034512253214	0.08650977821880705	-0.008510566903725092
primary39_two_types	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.021596000244262926	0.01821283389096997	-0.0033831663532929573	-9.143692846737722e-05	-9.39768431470266e-05	0.1197149206321512	0.11133506906007849	-0.008379851572072702
primary39_two_types	HALLMARK_ESTROGEN_RESPONSE_LATE	0.01766059405019242	0.01433223797075007	-0.0033283560794423513	-8.995556971465814e-05	-9.245433554006532e-05	0.10811981796703597	0.10084656623326872	-0.00727325173376725
primary39_two_types	HALLMARK_FATTY_ACID_METABOLISM	0.020990492684294988	0.015511429062804252	-0.005479063621490737	-0.00014808280058083072	-0.00015219621170807601	0.11174183396740159	0.10081533648800162	-0.010926497479399971
primary39_two_types	HALLMARK_G2M_CHECKPOINT	0.018590069602084487	0.015139991628005403	-0.003450077974079084	-9.324535065078606e-05	-9.583549927997456e-05	0.10864137092288412	0.09957161940483843	-0.00906975151804569
primary39_two_types	HALLMARK_GLYCOLYSIS	0.019674006609429404	0.015330978555857822	-0.004343028053571582	-0.00011737913658301572	-0.00012063966815476616	0.11299445143611285	0.1027070495866751	-0.010287401849437744
primary39_two_types	HALLMARK_HEME_METABOLISM	0.013198543703686063	0.010754938459374313	-0.0024436052443117494	-6.604338498139863e-05	-6.787792345310415e-05	0.08896782987462824	0.08438862247339346	-0.004579207401234783
primary39_two_types	HALLMARK_HYPOXIA	0.012879275115066499	0.011025197804703749	-0.0018540773103627502	-5.0110197577371625e-05	-5.1502147510076395e-05	0.09335712662191693	0.08314874573939426	-0.010208380882522669
primary39_two_types	HALLMARK_IL2_STAT5_SIGNALING	0.016354590437759105	0.01405560802916522	-0.002298982408593886	-6.213465969172665e-05	-6.386062246094127e-05	0.10335510131690866	0.09856555575754741	-0.004789545559361244
primary39_two_types	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.04113658579024613	0.03676233192653248	-0.004374253863713651	-0.00011822307739766623	-0.00012150705176982363	0.16510159993258045	0.1608787785538486	-0.004222821378731839
primary39_two_types	HALLMARK_INFLAMMATORY_RESPONSE	0.020189819641641862	0.019943139336370683	-0.000246680305271179	-6.667035277599432e-06	-6.852230701977194e-06	0.11077448345906264	0.10662043300167623	-0.004154050457386413
primary39_two_types	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0813952785040691	0.08498806491079572	0.003592786406726625	9.710233531693582e-05	0.0	0.21328873477157076	0.2151846596927074	0.0018959249211366325
primary39_two_types	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.047936927322487145	0.05064760854382162	0.002710681221334478	7.326165463066157e-05	7.529670059262439e-05	0.16845529350720942	0.1705212723385181	0.0020659788313086846
