cohort	donor_id	batch_id	mse_S	mse_D	mse_D_minus_S	mae_S	mae_D	mae_D_minus_S	prediction_mae_difference	orientation
primary39_two_types	V01	B01	0.026066222932195092	0.024474263940443317	-0.001591958991751772	0.1325699635985258	0.1257697290666085	-0.006800234531917332	0.07028655739430284	O1
primary39_two_types	V02	B01	0.032530474579492534	0.028257939444666536	-0.004272535134825997	0.13676879423020633	0.12173857144276029	-0.015030222787446028	0.06192734488302628	O1
primary39_two_types	V03	B01	0.01252243606402139	0.010454886474323584	-0.0020675495896978076	0.09431000530154812	0.08320741019370245	-0.01110259510784567	0.0661291688542684	O2
primary39_two_types	V04	B01	0.014405834365941502	0.014763347347153545	0.000357512981212043	0.09215811678645944	0.09617748270102572	0.004019365914566281	0.0657456723205219	O2
primary39_two_types	V05	B01	0.025209586697087213	0.02723808243649927	0.0020284957394120593	0.12782648845311012	0.13475320060972373	0.0069267121566136125	0.07490612919936597	O2
primary39_two_types	V06	B02	0.022617636770314375	0.018787428640976822	-0.003830208129337551	0.12168935235009969	0.10747555777316306	-0.014213794576936632	0.043627336030023244	O1
primary39_two_types	V07	B02	0.023134527414539363	0.022631238786770355	-0.0005032886277690097	0.117297084044933	0.1260452107268857	0.008748126681952711	0.05604926647725217	O1
primary39_two_types	V08	B02	0.013758292787773924	0.008856414496154853	-0.004901878291619073	0.09700959503797006	0.07527389776428192	-0.021735697273688147	0.05209244600496015	O2
primary39_two_types	V09	B02	0.04144727381984888	0.03824631330731369	-0.003200960512535194	0.17677413750935939	0.16471073883830978	-0.012063398671049608	0.050027310204500484	O2
primary39_two_types	V10	B02	0.014821682509216574	0.0056414245806614225	-0.009180257928555152	0.08924174455181313	0.05853397753779506	-0.030707767014018082	0.08621491225618333	O2
primary39_two_types	V11	B03	0.012968049519114785	0.012794490441673774	-0.00017355907744100955	0.0921050364639502	0.09680201994784708	0.004696983483896883	0.05835376259688289	O1
primary39_two_types	V12	B03	0.027808798044950223	0.022479632861523935	-0.005329165183426287	0.13527389323990147	0.11804346288367534	-0.01723043035622611	0.056332592090781355	O1
primary39_two_types	V13	B03	0.033661822416616256	0.024220878641708937	-0.00944094377490732	0.1531210432883689	0.1260263498019099	-0.02709469348645898	0.06951255445391055	O2
primary39_two_types	V14	B03	0.019781233028330097	0.011579771058376587	-0.008201461969953508	0.10790064598281007	0.08455925171345319	-0.023341394269356892	0.06140725947167197	O2
primary39_two_types	V15	B03	0.015097819546045957	0.010475100068597575	-0.004622719477448382	0.09777851124708774	0.07910522229734682	-0.018673288949740914	0.05103134504651038	O2
primary39_two_types	V16	B04	0.0461850463165256	0.03405287751059587	-0.012132168805929724	0.19181057119564238	0.16433964507160237	-0.027470926124039993	0.05793761927542178	O1
primary39_two_types	V17	B04	0.017810397252870983	0.01605655871345617	-0.001753838539414812	0.10285795813334028	0.10186224955074394	-0.000995708582596344	0.0475792016925021	O1
primary39_two_types	V18	B04	0.029286592809577634	0.023923645266626496	-0.005362947542951139	0.12455321937814251	0.11530308148486636	-0.009250137893276146	0.0547025686324063	O2
primary39_two_types	V19	B04	0.018149719563798593	0.017513280112806482	-0.0006364394509921125	0.10655022693092565	0.10837991135197711	0.0018296844210514557	0.04344170530654036	O2
primary39_two_types	V20	B04	0.03911233753169873	0.032365492247587176	-0.006746845284111557	0.14631781118736759	0.1522548338346001	0.005937022647232518	0.05325618445977857	O2
primary39_two_types	V21	B05	0.030435451585303364	0.023817054082040774	-0.006618397503262588	0.12957174366590757	0.12046428007774328	-0.009107463588164298	0.04517609870264627	O1
primary39_two_types	V22	B05	0.009920799049107861	0.005895727244532828	-0.004025071804575032	0.07863595314239734	0.060390125415459676	-0.018245827726937665	0.04412925728227396	O1
primary39_two_types	V23	B05	0.015432742340460073	0.015741969412084226	0.0003092270716241524	0.0992261202285904	0.10353777745998825	0.004311657231397856	0.0572193922583195	O1
primary39_two_types	V24	B05	0.015165872716667425	0.00969533033839143	-0.005470542378275996	0.0985828307452456	0.0746910444898756	-0.02389178625537	0.05440090909973311	O2
primary39_two_types	V25	B05	0.040822687869248205	0.035155646405389984	-0.005667041463858225	0.16630228473868147	0.1532765725229828	-0.01302571221569869	0.05022947327671584	O2
primary39_two_types	V26	B06	0.015725935057144546	0.00981472079056175	-0.005911214266582797	0.09973925526373478	0.08109142416354242	-0.01864783110019235	0.06723694916633047	O1
primary39_two_types	V27	B06	0.01771207021434615	0.01049917900676274	-0.007212891207583409	0.10219602909483302	0.08088396769182715	-0.021312061403005886	0.07022998436763915	O1
primary39_two_types	V28	B06	0.025303564967539785	0.014144690548241932	-0.011158874419297853	0.11736533906821192	0.08859332193243326	-0.02877201713577867	0.06198866561755061	O1
primary39_two_types	V29	B06	0.014148601772940972	0.00869606238148405	-0.005452539391456923	0.09304175394473266	0.07484205512201189	-0.018199698822720767	0.05763488222369592	O2
primary39_two_types	V30	B06	0.041903035713472855	0.05438762987205473	0.012484594158581875	0.14161418311398533	0.16294223075742598	0.021328047643440623	0.061520042234228176	O2
primary39_two_types	V31	B07	0.021703750465384145	0.020138932851796312	-0.0015648176135878312	0.10990567170570816	0.11723364361914751	0.0073279719134393614	0.05975034227890362	O1
primary39_two_types	V32	B07	0.02940368918538	0.01980904742160482	-0.009594641763775181	0.13973857103093684	0.11414885427073689	-0.02558971676019997	0.07759097525760036	O1
primary39_two_types	V33	B07	0.02105928854221025	0.013214799465351458	-0.007844489076858795	0.11274743969149986	0.0907784992140517	-0.021968940477448157	0.07447850148049509	O1
primary39_two_types	V34	B07	0.01907838509550488	0.014448214239942261	-0.00463017085556262	0.11263025440622842	0.09494118022249329	-0.017689074183735123	0.0522680753727565	O2
primary39_two_types	V35	B07	0.015751268197465612	0.02024751450708314	0.004496246309617529	0.09827638531774575	0.11072790475967151	0.012451519441925754	0.06072098253025001	O2
primary39_two_types	V36	B08	0.014208313073846202	0.011417558304867417	-0.0027907547689787855	0.09569761661536377	0.08782153171809953	-0.00787608489726424	0.057678200314493014	O1
primary39_two_types	V37	B08	0.044871617007802296	0.01602429869490955	-0.02884731831289275	0.1609160914110268	0.1037868669891775	-0.05712922442184929	0.08091017538395834	O1
primary39_two_types	V38	B08	0.023165676839048445	0.01889650316754876	-0.004269173671499687	0.1170899529371521	0.0999837105488818	-0.0171062423882703	0.05212468554121026	O1
primary39_two_types	V39	B08	0.016536832481115815	0.015493610750904413	-0.0010432217302114022	0.1056399157859728	0.1017322623325814	-0.003907653453391405	0.049446841460966395	O2
extension39_four_types	V01	B01	0.022430039777981955	0.02013985553234231	-0.00229018424563964	0.11839764453321505	0.1123254505628517	-0.006072193970363363	0.05592485427006537	O1
extension39_four_types	V02	B01	0.025363204824212768	0.0216386412386151	-0.0037245635855976665	0.118698684589816	0.10773691839461055	-0.010961766195205468	0.05591412773492077	O1
extension39_four_types	V03	B01	0.011472755156690006	0.00962912026908393	-0.001843634887606076	0.08725851876825465	0.08017095388667617	-0.007087564881578488	0.05702175224110079	O2
extension39_four_types	V04	B01	0.014257527223295884	0.01296093259691192	-0.0012965946263839615	0.09505404777617597	0.09082637100362898	-0.004227676772546998	0.05824296357639773	O2
extension39_four_types	V05	B01	0.01866733157057869	0.01797122991685569	-0.0006961016537230008	0.10510255448225948	0.10299500219152359	-0.0021075522907359097	0.06745020797049828	O2
extension39_four_types	V06	B02	0.017414302183110478	0.01462583200268111	-0.0027884701804293654	0.10262840039863978	0.09164413860461412	-0.010984261794025667	0.041101666892571366	O1
extension39_four_types	V07	B02	0.017276963714634944	0.01622328311331439	-0.0010536806013205532	0.10221313715270877	0.1020487806944787	-0.00016435645823007286	0.04980116745713005	O1
extension39_four_types	V08	B02	0.011593778392290116	0.007761966744712898	-0.003831811647577219	0.08695640796716535	0.06892795000612942	-0.01802845796103593	0.05130780968059679	O2
extension39_four_types	V09	B02	0.02734590089475367	0.02363885067722066	-0.0037070502175330093	0.13283897696679497	0.11812402673548428	-0.014714950231310683	0.049293325693161694	O2
extension39_four_types	V10	B02	0.0133619223392543	0.00646150807889288	-0.006900414260361419	0.08676346477751949	0.06411950438638964	-0.02264396039112986	0.07058971737374216	O2
extension39_four_types	V11	B03	0.012169605552876592	0.011523102584405457	-0.000646502968471134	0.08592761647739644	0.08743748419648358	0.0015098677190871317	0.052062420555701754	O1
extension39_four_types	V12	B03	0.01855000443580268	0.01517960602084292	-0.0033703984149597572	0.10606071108396994	0.09366256728414207	-0.01239814379982786	0.05162662710477868	O1
extension39_four_types	V13	B03	0.023985338173425356	0.018705387060278078	-0.005279951113147278	0.12284221906387674	0.10692390342427341	-0.015918315639603338	0.05566236471237199	O2
extension39_four_types	V14	B03	0.014322730393927167	0.00918542594711206	-0.005137304446815108	0.09168744565176165	0.07541931150164072	-0.016268134150120947	0.05214017510003534	O2
extension39_four_types	V15	B03	0.011406267656896313	0.00871295898342224	-0.0026933086734740744	0.08355142981441732	0.07120009125765865	-0.012351338556758658	0.04959862128506848	O2
extension39_four_types	V16	B04	0.030960916223515305	0.02315155944032346	-0.007809356783191845	0.14460818846684725	0.12430266418741043	-0.02030552427943683	0.05460817579706331	O1
extension39_four_types	V17	B04	0.02371367525988234	0.017897019356759622	-0.00581665590312272	0.12069228818047215	0.10701731025572699	-0.013674977924745164	0.05009856731842061	O1
extension39_four_types	V18	B04	0.02220906775210117	0.017022719544109166	-0.005186348207992002	0.11399089362425749	0.10160150853661559	-0.012389385087641907	0.051338405089641444	O2
extension39_four_types	V19	B04	0.014178266154968304	0.01291174701563201	-0.0012665191393362934	0.09361540243567484	0.0923269347264585	-0.0012884677092163503	0.04596029431432879	O2
