alpha	validation_mse	n_validation_conditions	selected	within_tie_tolerance
0	0.019906771263354033	55	False	False
0.01	0.019716775384273504	55	False	False
0.10000000000000001	0.018423263987317817	55	True	True
1	0.020704528819270783	55	False	False
10	0.057960424039919134	55	False	False
100	0.084851970447214223	55	False	False
