dataset	regime	family	mode	depth	seed_summary	root_index	root_tasks	rms
gse162632	original8	scGen	raw_state	8	29	3	5	0.07846352669864627
gse162632	original8	scGen	raw_state	8	29	4	5	0.07548866087151304
gse162632	original8	scGen	raw_state	8	29	5	5	0.07212859402757174
gse162632	original8	scGen	raw_state	8	29	6	5	0.07217660581370675
gse162632	original8	scGen	raw_state	8	29	7	5	0.0753305241621246
gse162632	original8	scGen	raw_state	8	43	0	5	0.09168215169227681
gse162632	original8	scGen	raw_state	8	43	1	5	0.08815675082043649
gse162632	original8	scGen	raw_state	8	43	2	5	0.09410596811063911
gse162632	original8	scGen	raw_state	8	43	3	5	0.09487739877262785
gse162632	original8	scGen	raw_state	8	43	4	5	0.08052376128114846
gse162632	original8	scGen	raw_state	8	43	5	5	0.07576873603313544
gse162632	original8	scGen	raw_state	8	43	6	5	0.08468477459963772
gse162632	original8	scGen	raw_state	8	43	7	5	0.09148006161639789
gse162632	original8	scGen	input_centered_effect	4	mean_of_squared_seed_displacements	0	5	0.6918216117169719
gse162632	original8	scGen	input_centered_effect	4	mean_of_squared_seed_displacements	1	5	0.6685459820921942
gse162632	original8	scGen	input_centered_effect	4	mean_of_squared_seed_displacements	2	5	0.6548050011426482
gse162632	original8	scGen	input_centered_effect	4	mean_of_squared_seed_displacements	3	5	0.654576580844007
gse162632	original8	scGen	input_centered_effect	4	mean_of_squared_seed_displacements	4	5	0.6628632733107341
gse162632	original8	scGen	input_centered_effect	4	mean_of_squared_seed_displacements	5	5	0.684544964265641
gse162632	original8	scGen	input_centered_effect	4	mean_of_squared_seed_displacements	6	5	0.7138015313042773
gse162632	original8	scGen	input_centered_effect	4	mean_of_squared_seed_displacements	7	5	0.6841717806291435
gse162632	original8	scGen	input_centered_effect	4	17	0	5	0.6924333187827371
gse162632	original8	scGen	input_centered_effect	4	17	1	5	0.668967288627393
gse162632	original8	scGen	input_centered_effect	4	17	2	5	0.6558024022127386
gse162632	original8	scGen	input_centered_effect	4	17	3	5	0.6554419719072063
gse162632	original8	scGen	input_centered_effect	4	17	4	5	0.6629157526952177
gse162632	original8	scGen	input_centered_effect	4	17	5	5	0.684174700046251
gse162632	original8	scGen	input_centered_effect	4	17	6	5	0.7143720069464993
gse162632	original8	scGen	input_centered_effect	4	17	7	5	0.6846491286577738
gse162632	original8	scGen	input_centered_effect	4	29	0	5	0.6913949979467083
gse162632	original8	scGen	input_centered_effect	4	29	1	5	0.6680339881229236
gse162632	original8	scGen	input_centered_effect	4	29	2	5	0.6537660752478945
gse162632	original8	scGen	input_centered_effect	4	29	3	5	0.6532705697473786
gse162632	original8	scGen	input_centered_effect	4	29	4	5	0.6627908545802161
