dataset	regime	panel	seed	depth	unit	allocations	biological_roots	contrast	family	utility_before	utility_after	utility_gain	structural_input_unused	deterministic_seed_alias
gse162632	cap48	primary	17	4	root_00	1000	1	S_to_M	PCA	-0.3688539684799838	-0.3688539684799838	3.1641356201816963e-18	True	True
gse162632	cap48	primary	17	4	root_00	1000	1	S_to_M	RBF	-0.3690226636433117	-0.3690226636433117	3.1641356201816963e-18	True	True
gse162632	cap48	primary	17	4	root_00	1000	1	S_to_M	scGen	-0.14131404915100892	-0.14131404913729018	1.3718774033444347e-11	False	False
gse162632	cap48	primary	17	4	root_00	1000	1	S_to_M	CPA	-0.4576158116152732	-0.45761581163135295	-1.608024047250467e-11	False	False
gse162632	cap48	primary	17	4	root_00	1000	1	S_to_M	CellOT	-0.15212132914405804	-0.15212132912893184	1.5125910662883157e-11	False	False
gse162632	cap48	primary	17	4	root_01	1000	1	D_to_O	NC	-0.438382130415819	-0.438382130415819	-2.331468351712829e-18	True	True
gse162632	cap48	primary	17	4	root_01	1000	1	D_to_O	CM	-0.33990125073925354	-0.3399012507392536	-3.885780586188048e-19	True	True
gse162632	cap48	primary	17	4	root_01	1000	1	D_to_O	TW	-0.33999562916086645	-0.33999562916086645	-1.609823385706477e-18	True	True
gse162632	cap48	primary	17	4	root_01	1000	1	D_to_O	PCA	-0.3399259899914732	-0.3399259899914732	-1.1657341758564144e-18	True	True
gse162632	cap48	primary	17	4	root_01	1000	1	D_to_O	RBF	-0.3402098874931722	-0.3402098874931722	1.1102230246251566e-19	True	True
gse162632	cap48	primary	17	4	root_01	1000	1	D_to_O	scGen	-0.582100752755897	-0.5599706902776749	0.022130062478223324	False	False
gse162632	cap48	primary	17	4	root_01	1000	1	D_to_O	CPA	-0.7880709584837544	-0.7731139515399365	0.014957006943818562	False	False
gse162632	cap48	primary	17	4	root_01	1000	1	D_to_O	CellOT	-0.5924706005213514	-0.5683235705403689	0.024147029980981963	False	False
gse162632	cap48	primary	17	4	root_01	1000	1	D_to_P	NC	-0.438382130415819	-0.438382130415819	0.0	True	True
gse162632	cap48	primary	17	4	root_01	1000	1	D_to_P	CM	-0.33990125073925354	-0.33990125073925354	0.0	True	True
gse162632	cap48	primary	17	4	root_01	1000	1	D_to_P	TW	-0.33999562916086645	-0.33999562916086645	0.0	True	True
gse162632	cap48	primary	17	4	root_01	1000	1	D_to_P	PCA	-0.3399259899914732	-0.3399259899914732	0.0	True	True
gse162632	cap48	primary	17	4	root_01	1000	1	D_to_P	RBF	-0.3402098874931722	-0.3402098874931722	0.0	True	True
gse162632	cap48	primary	17	4	root_01	1000	1	D_to_P	scGen	-0.582100752755897	-0.604230815242479	-0.02213006248658227	False	False
gse162632	cap48	primary	17	4	root_01	1000	1	D_to_P	CPA	-0.7880709584837544	-0.8030279654320696	-0.014957006948313721	False	False
gse162632	cap48	primary	17	4	root_01	1000	1	D_to_P	CellOT	-0.5924706005213514	-0.6166176304911627	-0.02414702996981263	False	False
gse162632	cap48	primary	17	4	root_01	1000	1	S_to_M	NC	-0.4383821304158191	-0.438382130415819	1.5265566588595904e-17	True	True
gse162632	cap48	primary	17	4	root_01	1000	1	S_to_M	CM	-0.3399012507392536	-0.33990125073925354	-1.7763568394002505e-18	True	True
gse162632	cap48	primary	17	4	root_01	1000	1	S_to_M	TW	-0.3399956291608665	-0.33999562916086645	-1.3322676295501879e-18	True	True
gse162632	cap48	primary	17	4	root_01	1000	1	S_to_M	PCA	-0.3399259899914732	-0.3399259899914732	-1.4432899320127034e-18	True	True
gse162632	cap48	primary	17	4	root_01	1000	1	S_to_M	RBF	-0.34020988749317216	-0.3402098874931722	-9.992007221626408e-19	True	True
gse162632	cap48	primary	17	4	root_01	1000	1	S_to_M	scGen	-0.1264780996154914	-0.12647809961103787	4.4534752136060614e-12	False	False
gse162632	cap48	primary	17	4	root_01	1000	1	S_to_M	CPA	-0.3324483053529585	-0.33244830535002573	2.9325404327096292e-12	False	False
gse162632	cap48	primary	17	4	root_01	1000	1	S_to_M	CellOT	-0.1368479473706355	-0.136847947369722	9.137916257007107e-13	False	False
gse162632	cap48	primary	17	4	root_02	1000	1	D_to_O	NC	-0.41551700859099705	-0.41551700859099705	-2.831068712794149e-18	True	True
gse162632	cap48	primary	17	4	root_02	1000	1	D_to_O	CM	-0.3264618447234512	-0.3264618447234512	-1.8873791418627663e-18	True	True
gse162632	cap48	primary	17	4	root_02	1000	1	D_to_O	TW	-0.32648873301909165	-0.32648873301909165	-6.106226635438361e-19	True	True
gse162632	cap48	primary	17	4	root_02	1000	1	D_to_O	PCA	-0.32622770100280335	-0.32622770100280335	3.885780586188048e-19	True	True
