resource	minimum_gap	budget	comparisons	coverage	numerical_ties	policy	released	strict_reversals	unsupported_fraction	unsupported_releases	within_gap
Norman	0.02	d32	420	0.3761904761904762	0	geometry_scaled	158	0	0.0	0	0
Norman	0.02	d64	420	0.5738095238095238	0	single_split	241	0	0.0995850622406639	24	24
Norman	0.02	d64	420	0.45714285714285713	0	repeated_primary	192	0	0.005208333333333333	1	1
Norman	0.02	d64	420	0.45714285714285713	0	geometry_scaled	192	0	0.005208333333333333	1	1
Norman	0.02	d128	420	0.5738095238095238	0	single_split	241	0	0.04979253112033195	12	12
Norman	0.02	d128	420	0.4928571428571429	0	repeated_primary	207	0	0.0	0	0
Norman	0.02	d128	420	0.4928571428571429	0	geometry_scaled	207	0	0.0	0	0
Norman	0.02	d135	420	0.5761904761904761	0	single_split	242	0	0.049586776859504134	12	12
Norman	0.02	d135	420	0.48095238095238096	0	repeated_primary	202	0	0.0	0	0
Norman	0.02	d135	420	0.48095238095238096	0	geometry_scaled	202	0	0.0	0	0
