dataset	regime	panel	seed	depth	unit	allocations	biological_roots	contrast	family	utility_before	utility_after	utility_gain	structural_input_unused	deterministic_seed_alias
gse162632	original8	primary	17	4	root_00	1000	1	D_to_P	CPA	-0.9482969070556756	-0.9573334619645851	-0.009036554908909488	False	False
gse162632	original8	primary	17	4	root_00	1000	1	D_to_P	CellOT	-0.6382198701499701	-0.6541047763435607	-0.015884906193590856	False	False
gse162632	original8	primary	17	4	root_00	1000	1	S_to_M	NC	-0.4224909354288409	-0.42249093542884086	1.681987882307112e-17	True	True
gse162632	original8	primary	17	4	root_00	1000	1	S_to_M	CM	-0.3740998668579828	-0.3740998668579828	7.43849426498855e-18	True	True
gse162632	original8	primary	17	4	root_00	1000	1	S_to_M	TW	-0.37111033785063013	-0.37111033785063013	4.496403249731884e-18	True	True
gse162632	original8	primary	17	4	root_00	1000	1	S_to_M	PCA	-0.37175749549814635	-0.3717574954981464	5.218048215738236e-18	True	True
gse162632	original8	primary	17	4	root_00	1000	1	S_to_M	RBF	-0.37196863132706126	-0.37196863132706126	4.440892098500626e-18	True	True
gse162632	original8	primary	17	4	root_00	1000	1	S_to_M	scGen	-0.13746884796363598	-0.13746884795953915	4.0969944103963485e-12	False	False
gse162632	original8	primary	17	4	root_00	1000	1	S_to_M	CPA	-0.4591955631131723	-0.4591955631184085	-5.236380329343149e-12	False	False
gse162632	original8	primary	17	4	root_00	1000	1	S_to_M	CellOT	-0.14911852627991867	-0.14911852627277034	7.148419411961981e-12	False	False
gse162632	original8	primary	17	4	root_01	1000	1	D_to_O	NC	-0.438382130415819	-0.438382130415819	-2.331468351712829e-18	True	True
gse162632	original8	primary	17	4	root_01	1000	1	D_to_O	CM	-0.34394930876798757	-0.34394930876798757	-8.881784197001253e-19	True	True
gse162632	original8	primary	17	4	root_01	1000	1	D_to_O	TW	-0.3444408862834163	-0.3444408862834163	-1.1102230246251566e-18	True	True
gse162632	original8	primary	17	4	root_01	1000	1	D_to_O	PCA	-0.34306730652381795	-0.34306730652381795	-1.0547118733938987e-18	True	True
gse162632	original8	primary	17	4	root_01	1000	1	D_to_O	RBF	-0.3440941303236806	-0.3440941303236806	-6.661338147750939e-19	True	True
gse162632	original8	primary	17	4	root_01	1000	1	D_to_O	scGen	-0.5825397110145304	-0.5708739774546405	0.011665733559889748	False	False
gse162632	original8	primary	17	4	root_01	1000	1	D_to_O	CPA	-0.8033150880356218	-0.7952311237984179	0.00808396423720365	False	False
gse162632	original8	primary	17	4	root_01	1000	1	D_to_O	CellOT	-0.5946900188856059	-0.5789639593183656	0.015726059567239794	False	False
gse162632	original8	primary	17	4	root_01	1000	1	D_to_P	NC	-0.438382130415819	-0.438382130415819	0.0	True	True
gse162632	original8	primary	17	4	root_01	1000	1	D_to_P	CM	-0.34394930876798757	-0.34394930876798757	0.0	True	True
gse162632	original8	primary	17	4	root_01	1000	1	D_to_P	TW	-0.3444408862834163	-0.3444408862834163	0.0	True	True
gse162632	original8	primary	17	4	root_01	1000	1	D_to_P	PCA	-0.34306730652381795	-0.34306730652381795	0.0	True	True
gse162632	original8	primary	17	4	root_01	1000	1	D_to_P	RBF	-0.3440941303236806	-0.3440941303236806	0.0	True	True
gse162632	original8	primary	17	4	root_01	1000	1	D_to_P	scGen	-0.5825397110145304	-0.5942054445662813	-0.011665733551750983	False	False
gse162632	original8	primary	17	4	root_01	1000	1	D_to_P	CPA	-0.8033150880356218	-0.8113990522739455	-0.008083964238323789	False	False
gse162632	original8	primary	17	4	root_01	1000	1	D_to_P	CellOT	-0.5946900188856059	-0.6104160784429032	-0.015726059557297913	False	False
gse162632	original8	primary	17	4	root_01	1000	1	S_to_M	NC	-0.4383821304158191	-0.438382130415819	1.5265566588595904e-17	True	True
gse162632	original8	primary	17	4	root_01	1000	1	S_to_M	CM	-0.34394930876798757	-0.34394930876798757	-9.436895709313831e-19	True	True
gse162632	original8	primary	17	4	root_01	1000	1	S_to_M	TW	-0.3444408862834163	-0.3444408862834163	-1.7763568394002505e-18	True	True
gse162632	original8	primary	17	4	root_01	1000	1	S_to_M	PCA	-0.343067306523818	-0.34306730652381795	-8.881784197001253e-19	True	True
gse162632	original8	primary	17	4	root_01	1000	1	S_to_M	RBF	-0.3440941303236806	-0.3440941303236806	-7.216449660063517e-19	True	True
gse162632	original8	primary	17	4	root_01	1000	1	S_to_M	scGen	-0.1269170578666319	-0.1269170578697524	-3.1203342548691283e-12	False	False
gse162632	original8	primary	17	4	root_01	1000	1	S_to_M	CPA	-0.3476924349159938	-0.3476924349141775	1.8155494330152066e-12	False	False
gse162632	original8	primary	17	4	root_01	1000	1	S_to_M	CellOT	-0.1390673657364776	-0.13906736573570735	7.701409510119106e-13	False	False
gse162632	original8	primary	17	4	root_02	1000	1	D_to_O	NC	-0.41551700859099705	-0.41551700859099705	-2.831068712794149e-18	True	True
gse162632	original8	primary	17	4	root_02	1000	1	D_to_O	CM	-0.3308712784163365	-0.3308712784163365	-1.1657341758564144e-18	True	True
gse162632	original8	primary	17	4	root_02	1000	1	D_to_O	TW	-0.3307901594200786	-0.3307901594200786	-1.6653345369377348e-19	True	True
gse162632	original8	primary	17	4	root_02	1000	1	D_to_O	PCA	-0.32962951686430125	-0.3296295168643012	-7.771561172376096e-19	True	True
gse162632	original8	primary	17	4	root_02	1000	1	D_to_O	RBF	-0.33062878962274117	-0.33062878962274117	-7.771561172376096e-19	True	True
gse162632	original8	primary	17	4	root_02	1000	1	D_to_O	scGen	-0.5592246787991556	-0.545767480437157	0.013457198361998433	False	False
gse162632	original8	primary	17	4	root_02	1000	1	D_to_O	CPA	-0.7783580303933292	-0.7705318950992589	0.0078261352940701	False	False
gse162632	original8	primary	17	4	root_02	1000	1	D_to_O	CellOT	-0.5715990527273885	-0.5561093100897103	0.015489742637679426	False	False
gse162632	original8	primary	17	4	root_02	1000	1	D_to_P	NC	-0.41551700859099705	-0.41551700859099705	0.0	True	True
gse162632	original8	primary	17	4	root_02	1000	1	D_to_P	CM	-0.3308712784163365	-0.3308712784163365	0.0	True	True
gse162632	original8	primary	17	4	root_02	1000	1	D_to_P	TW	-0.3307901594200786	-0.3307901594200786	0.0	True	True
gse162632	original8	primary	17	4	root_02	1000	1	D_to_P	PCA	-0.32962951686430125	-0.32962951686430125	0.0	True	True
gse162632	original8	primary	17	4	root_02	1000	1	D_to_P	RBF	-0.33062878962274117	-0.33062878962274117	0.0	True	True
gse162632	original8	primary	17	4	root_02	1000	1	D_to_P	scGen	-0.5592246787991556	-0.5726818771565299	-0.013457198357373976	False	False
gse162632	original8	primary	17	4	root_02	1000	1	D_to_P	CPA	-0.7783580303933292	-0.7861841656828353	-0.007826135289505223	False	False
gse162632	original8	primary	17	4	root_02	1000	1	D_to_P	CellOT	-0.5715990527273885	-0.5870887953631373	-0.015489742635748835	False	False
gse162632	original8	primary	17	4	root_02	1000	1	S_to_M	NC	-0.41551700859099705	-0.41551700859099705	1.6653345369377347e-17	True	True
gse162632	original8	primary	17	4	root_02	1000	1	S_to_M	CM	-0.3308712784163365	-0.3308712784163365	-1.5543122344752192e-18	True	True
gse162632	original8	primary	17	4	root_02	1000	1	S_to_M	TW	-0.3307901594200786	-0.3307901594200786	-1.7208456881689926e-18	True	True
gse162632	original8	primary	17	4	root_02	1000	1	S_to_M	PCA	-0.32962951686430125	-0.32962951686430125	-8.326672684688674e-19	True	True
gse162632	original8	primary	17	4	root_02	1000	1	S_to_M	RBF	-0.33062878962274117	-0.33062878962274117	-7.216449660063517e-19	True	True
gse162632	original8	primary	17	4	root_02	1000	1	S_to_M	scGen	-0.12068310184330074	-0.12068310184092752	2.373125557175726e-12	False	False
gse162632	original8	primary	17	4	root_02	1000	1	S_to_M	CPA	-0.3398164535005834	-0.3398164535002809	3.0187935484704554e-13	False	False
gse162632	original8	primary	17	4	root_02	1000	1	S_to_M	CellOT	-0.13305747576732543	-0.1330574757647538	2.5715538726212015e-12	False	False
gse162632	original8	primary	17	4	root_03	1000	1	D_to_O	NC	-0.3955474671934167	-0.3955474671934167	-3.1641356201816963e-18	True	True
gse162632	original8	primary	17	4	root_03	1000	1	D_to_O	CM	-0.3364744803943095	-0.3364744803943095	-8.881784197001253e-19	True	True
gse162632	original8	primary	17	4	root_03	1000	1	D_to_O	TW	-0.33478305149403653	-0.33478305149403653	-1.8873791418627663e-18	True	True
gse162632	original8	primary	17	4	root_03	1000	1	D_to_O	PCA	-0.33537164690051774	-0.33537164690051774	-9.992007221626408e-19	True	True
gse162632	original8	primary	17	4	root_03	1000	1	D_to_O	RBF	-0.3351542680408259	-0.3351542680408259	-1.3877787807814458e-18	True	True
