allocation	depth_per_gemgroup	cells_per_reference	pattern	reversed_task_pairs	eligible_task_pairs
22	16	128	O	1	165
23	16	128	O	0	165
24	16	128	O	1	165
25	16	128	O	2	165
26	16	128	O	1	165
27	16	128	O	1	165
28	16	128	O	3	165
29	16	128	O	2	165
0	16	128	D	0	165
1	16	128	D	0	165
2	16	128	D	0	165
3	16	128	D	0	165
4	16	128	D	0	165
5	16	128	D	0	165
6	16	128	D	0	165
7	16	128	D	0	165
8	16	128	D	0	165
9	16	128	D	0	165
10	16	128	D	0	165
11	16	128	D	0	165
12	16	128	D	0	165
13	16	128	D	0	165
14	16	128	D	0	165
15	16	128	D	0	165
16	16	128	D	0	165
17	16	128	D	0	165
18	16	128	D	0	165
19	16	128	D	0	165
20	16	128	D	0	165
21	16	128	D	0	165
22	16	128	D	0	165
23	16	128	D	0	165
24	16	128	D	0	165
25	16	128	D	0	165
26	16	128	D	0	165
27	16	128	D	0	165
28	16	128	D	0	165
29	16	128	D	0	165
0	32	256	S	0	165
1	32	256	S	0	165
2	32	256	S	0	165
3	32	256	S	0	165
4	32	256	S	0	165
5	32	256	S	0	165
6	32	256	S	0	165
7	32	256	S	0	165
8	32	256	S	0	165
9	32	256	S	0	165
10	32	256	S	0	165
11	32	256	S	0	165
12	32	256	S	0	165
13	32	256	S	0	165
14	32	256	S	0	165
15	32	256	S	0	165
16	32	256	S	0	165
17	32	256	S	0	165
18	32	256	S	0	165
19	32	256	S	0	165
20	32	256	S	0	165
21	32	256	S	0	165
22	32	256	S	0	165
23	32	256	S	0	165
24	32	256	S	0	165
25	32	256	S	0	165
26	32	256	S	0	165
27	32	256	S	0	165
28	32	256	S	0	165
29	32	256	S	0	165
0	32	256	M	0	165
1	32	256	M	0	165
2	32	256	M	0	165
3	32	256	M	0	165
4	32	256	M	0	165
5	32	256	M	0	165
6	32	256	M	0	165
7	32	256	M	0	165
8	32	256	M	0	165
9	32	256	M	0	165
10	32	256	M	0	165
11	32	256	M	0	165
12	32	256	M	0	165
13	32	256	M	0	165
14	32	256	M	0	165
15	32	256	M	0	165
16	32	256	M	0	165
17	32	256	M	0	165
18	32	256	M	0	165
19	32	256	M	0	165
20	32	256	M	0	165
21	32	256	M	0	165
22	32	256	M	0	165
23	32	256	M	0	165
24	32	256	M	0	165
25	32	256	M	0	165
26	32	256	M	0	165
27	32	256	M	0	165
28	32	256	M	0	165
29	32	256	M	0	165
0	32	256	P	0	165
1	32	256	P	0	165
2	32	256	P	1	165
3	32	256	P	0	165
4	32	256	P	0	165
5	32	256	P	1	165
6	32	256	P	1	165
7	32	256	P	0	165
8	32	256	P	0	165
9	32	256	P	1	165
10	32	256	P	1	165
11	32	256	P	0	165
12	32	256	P	0	165
13	32	256	P	1	165
14	32	256	P	0	165
15	32	256	P	0	165
16	32	256	P	1	165
17	32	256	P	1	165
18	32	256	P	0	165
19	32	256	P	1	165
20	32	256	P	0	165
21	32	256	P	1	165
22	32	256	P	0	165
23	32	256	P	1	165
24	32	256	P	0	165
25	32	256	P	0	165
26	32	256	P	0	165
27	32	256	P	0	165
28	32	256	P	2	165
29	32	256	P	0	165
0	32	256	O	1	165
1	32	256	O	1	165
2	32	256	O	0	165
3	32	256	O	1	165
4	32	256	O	1	165
5	32	256	O	0	165
6	32	256	O	0	165
7	32	256	O	1	165
8	32	256	O	1	165
9	32	256	O	0	165
10	32	256	O	1	165
11	32	256	O	1	165
12	32	256	O	1	165
13	32	256	O	1	165
14	32	256	O	2	165
15	32	256	O	1	165
16	32	256	O	1	165
17	32	256	O	1	165
18	32	256	O	1	165
19	32	256	O	0	165
20	32	256	O	1	165
21	32	256	O	1	165
22	32	256	O	1	165
23	32	256	O	0	165
24	32	256	O	2	165
25	32	256	O	2	165
26	32	256	O	1	165
27	32	256	O	1	165
28	32	256	O	0	165
29	32	256	O	1	165
0	32	256	D	0	165
1	32	256	D	0	165
2	32	256	D	0	165
3	32	256	D	0	165
4	32	256	D	0	165
5	32	256	D	0	165
6	32	256	D	0	165
7	32	256	D	0	165
8	32	256	D	0	165
9	32	256	D	0	165
10	32	256	D	0	165
11	32	256	D	0	165
12	32	256	D	0	165
13	32	256	D	0	165
14	32	256	D	0	165
15	32	256	D	0	165
16	32	256	D	0	165
17	32	256	D	0	165
18	32	256	D	0	165
19	32	256	D	0	165
20	32	256	D	0	165
21	32	256	D	0	165
22	32	256	D	0	165
23	32	256	D	0	165
24	32	256	D	0	165
25	32	256	D	0	165
26	32	256	D	0	165
27	32	256	D	0	165
28	32	256	D	0	165
29	32	256	D	0	165
0	64	512	S	0	165
1	64	512	S	0	165
2	64	512	S	0	165
3	64	512	S	0	165
4	64	512	S	0	165
5	64	512	S	0	165
6	64	512	S	0	165
7	64	512	S	0	165
8	64	512	S	0	165
9	64	512	S	0	165
10	64	512	S	0	165
11	64	512	S	0	165
12	64	512	S	0	165
13	64	512	S	0	165
14	64	512	S	0	165
15	64	512	S	0	165
16	64	512	S	0	165
17	64	512	S	0	165
18	64	512	S	0	165
19	64	512	S	0	165
20	64	512	S	0	165
21	64	512	S	0	165
22	64	512	S	0	165
23	64	512	S	0	165
24	64	512	S	0	165
25	64	512	S	0	165
26	64	512	S	0	165
27	64	512	S	0	165
28	64	512	S	0	165
29	64	512	S	0	165
0	64	512	M	0	165
1	64	512	M	0	165
2	64	512	M	0	165
3	64	512	M	0	165
4	64	512	M	0	165
