allocation	depth_per_gemgroup	cells_per_reference	model	pattern	scaled_squared_error
0	135	1080	CPA_0.8.8	D	0.075399008212789942
0	135	1080	zero_effect	S	0.10291164648091326
0	135	1080	zero_effect	M	0.10291164648091324
0	135	1080	zero_effect	P	0.10291164648091324
0	135	1080	zero_effect	O	0.10291164648091324
0	135	1080	zero_effect	D	0.10291164648091324
1	8	64	additive	S	0.026195167136201958
1	8	64	additive	M	0.026195167136201958
1	8	64	additive	P	0.058155137851557077
1	8	64	additive	O	0.058155137851557077
1	8	64	additive	D	0.058155137851557077
1	8	64	compositional_ridge	S	0.025403931071276635
1	8	64	compositional_ridge	M	0.025403931071276635
1	8	64	compositional_ridge	P	0.057363901786631734
1	8	64	compositional_ridge	O	0.057363901786631734
1	8	64	compositional_ridge	D	0.057363901786631734
1	8	64	CPA_0.8.8	S	0.071168971505957218
1	8	64	CPA_0.8.8	M	0.071168971505957218
1	8	64	CPA_0.8.8	P	0.10717711072595264
1	8	64	CPA_0.8.8	O	0.099080773716672024
1	8	64	CPA_0.8.8	D	0.10312894222131233
1	8	64	zero_effect	S	0.1126886569754965
1	8	64	zero_effect	M	0.1126886569754965
1	8	64	zero_effect	P	0.1126886569754965
1	8	64	zero_effect	O	0.1126886569754965
1	8	64	zero_effect	D	0.1126886569754965
1	16	128	additive	S	0.026195167136201958
1	16	128	additive	M	0.026195167136201958
1	16	128	additive	P	0.042041954457908398
1	16	128	additive	O	0.042041954457908398
1	16	128	additive	D	0.042041954457908398
1	16	128	compositional_ridge	S	0.025403931071276635
1	16	128	compositional_ridge	M	0.025403931071276635
1	16	128	compositional_ridge	P	0.041250718392983096
1	16	128	compositional_ridge	O	0.041250718392983096
1	16	128	compositional_ridge	D	0.041250718392983096
1	16	128	CPA_0.8.8	S	0.072767806310676003
1	16	128	CPA_0.8.8	M	0.072767806310675989
1	16	128	CPA_0.8.8	P	0.091003437622420622
1	16	128	CPA_0.8.8	O	0.08622574964234421
1	16	128	CPA_0.8.8	D	0.08861459363238243
1	16	128	zero_effect	S	0.10814726754503144
1	16	128	zero_effect	M	0.10814726754503144
1	16	128	zero_effect	P	0.10814726754503144
1	16	128	zero_effect	O	0.10814726754503144
1	16	128	zero_effect	D	0.10814726754503144
1	32	256	additive	S	0.026195167136201958
1	32	256	additive	M	0.026195167136201958
1	32	256	additive	P	0.034595175660254489
1	32	256	additive	O	0.034595175660254489
1	32	256	additive	D	0.034595175660254489
