condition	depth_per_gemgroup	model_a	model_b	pair_role	pattern	S_margin	margin	displacement	crossing_allocation_count	n_allocations	strict_crossing_after_allocation_mean
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	S	0.015549117301723399	0.015549117301723399	0	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	M	0.015549117301723399	0.015549117301723399	2.3129646346357432e-19	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	P	0.015549117301723399	0.016380074706308499	0.00083095740458499995	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	O	0.015549117301723399	0.014718159897138299	-0.00083095740458499995	0	30	False
BAK1+KLF1	32	additive	CPA_0.8.8	primary_state_pair	D	0.015549117301723399	0.015549117301723399	-5.2041704279304211e-19	0	30	False
BAK1+KLF1	64	additive	CPA_0.8.8	primary_state_pair	S	0.0154868371676467	0.0154868371676467	0	0	30	False
BAK1+KLF1	64	additive	CPA_0.8.8	primary_state_pair	M	0.0154868371676467	0.0154868371676467	4.6259292692714865e-19	0	30	False
BAK1+KLF1	64	additive	CPA_0.8.8	primary_state_pair	P	0.0154868371676467	0.015878348424027001	0.00039151125638030001	0	30	False
BAK1+KLF1	64	additive	CPA_0.8.8	primary_state_pair	O	0.0154868371676467	0.0150953259112663	-0.00039151125638030001	0	30	False
BAK1+KLF1	64	additive	CPA_0.8.8	primary_state_pair	D	0.0154868371676467	0.0154868371676467	-9.251858538542973e-19	0	30	False
BAK1+KLF1	128	additive	CPA_0.8.8	primary_state_pair	S	0.015358221377720801	0.015358221377720801	0	0	30	False
BAK1+KLF1	128	additive	CPA_0.8.8	primary_state_pair	M	0.015358221377720801	0.015358221377720801	-2.3129646346357432e-19	0	30	False
BAK1+KLF1	128	additive	CPA_0.8.8	primary_state_pair	P	0.015358221377720801	0.0155535283050976	0.0001953069273767	0	30	False
BAK1+KLF1	128	additive	CPA_0.8.8	primary_state_pair	O	0.015358221377720801	0.015162914450343999	-0.0001953069273767	0	30	False
BAK1+KLF1	128	additive	CPA_0.8.8	primary_state_pair	D	0.015358221377720801	0.015358221377720801	-1.3299546649155522e-18	0	30	False
BAK1+KLF1	135	additive	CPA_0.8.8	primary_state_pair	S	0.015397152438707	0.015397152438707	0	0	30	False
BAK1+KLF1	135	additive	CPA_0.8.8	primary_state_pair	M	0.015397152438707	0.015397152438707	-3.4694469519536144e-19	0	30	False
BAK1+KLF1	135	additive	CPA_0.8.8	primary_state_pair	P	0.015397152438707	0.015585223602130599	0.00018807116342360001	0	30	False
BAK1+KLF1	135	additive	CPA_0.8.8	primary_state_pair	O	0.015397152438707	0.0152090812752834	-0.00018807116342360001	0	30	False
BAK1+KLF1	135	additive	CPA_0.8.8	primary_state_pair	D	0.015397152438707	0.015397152438707	-6.9388939039072297e-19	0	30	False
BAK1+KLF1	8	additive	zero_effect	zero_effect_diagnostic	S	0.041323264093819798	0.041323264093819798	0	0	30	False
BAK1+KLF1	8	additive	zero_effect	zero_effect_diagnostic	M	0.041323264093819798	0.041323264093819798	-1.1564823173178713e-18	0	30	False
BAK1+KLF1	8	additive	zero_effect	zero_effect_diagnostic	P	0.041323264093819798	0.0105521675122751	-0.030771096581544699	0	30	False
BAK1+KLF1	8	additive	zero_effect	zero_effect_diagnostic	O	0.041323264093819798	0.0105521675122751	-0.030771096581544699	0	30	False
BAK1+KLF1	8	additive	zero_effect	zero_effect_diagnostic	D	0.041323264093819798	0.0105521675122751	-0.030771096581544699	0	30	False
BAK1+KLF1	16	additive	zero_effect	zero_effect_diagnostic	S	0.033407983511261799	0.033407983511261799	0	0	30	False
BAK1+KLF1	16	additive	zero_effect	zero_effect_diagnostic	M	0.033407983511261799	0.033407983511261799	2.3129646346357432e-19	0	30	False
BAK1+KLF1	16	additive	zero_effect	zero_effect_diagnostic	P	0.033407983511261799	0.0180671608151441	-0.0153408226961176	0	30	False
BAK1+KLF1	16	additive	zero_effect	zero_effect_diagnostic	O	0.033407983511261799	0.0180671608151441	-0.0153408226961176	0	30	False
BAK1+KLF1	16	additive	zero_effect	zero_effect_diagnostic	D	0.033407983511261799	0.0180671608151441	-0.0153408226961176	0	30	False
BAK1+KLF1	32	additive	zero_effect	zero_effect_diagnostic	S	0.0299493221385972	0.0299493221385972	0	0	30	False
BAK1+KLF1	32	additive	zero_effect	zero_effect_diagnostic	M	0.0299493221385972	0.0299493221385972	-2.3129646346357432e-19	0	30	False
BAK1+KLF1	32	additive	zero_effect	zero_effect_diagnostic	P	0.0299493221385972	0.022215311575612701	-0.0077340105629844997	0	30	False
BAK1+KLF1	32	additive	zero_effect	zero_effect_diagnostic	O	0.0299493221385972	0.022215311575612701	-0.0077340105629844997	0	30	False
BAK1+KLF1	32	additive	zero_effect	zero_effect_diagnostic	D	0.0299493221385972	0.022215311575612701	-0.0077340105629844997	0	30	False
BAK1+KLF1	64	additive	zero_effect	zero_effect_diagnostic	S	0.028131446302336601	0.028131446302336601	0	0	30	False
BAK1+KLF1	64	additive	zero_effect	zero_effect_diagnostic	M	0.028131446302336601	0.028131446302336601	2.3129646346357432e-19	0	30	False
BAK1+KLF1	64	additive	zero_effect	zero_effect_diagnostic	P	0.028131446302336601	0.024292450717933799	-0.0038389955844026998	0	30	False
BAK1+KLF1	64	additive	zero_effect	zero_effect_diagnostic	O	0.028131446302336601	0.024292450717933799	-0.0038389955844026998	0	30	False
BAK1+KLF1	64	additive	zero_effect	zero_effect_diagnostic	D	0.028131446302336601	0.024292450717933799	-0.0038389955844026998	0	30	False
BAK1+KLF1	128	additive	zero_effect	zero_effect_diagnostic	S	0.027129018547027699	0.027129018547027699	0	0	30	False
BAK1+KLF1	128	additive	zero_effect	zero_effect_diagnostic	M	0.027129018547027699	0.027129018547027699	4.6259292692714865e-19	0	30	False
BAK1+KLF1	128	additive	zero_effect	zero_effect_diagnostic	P	0.027129018547027699	0.0252116208878344	-0.0019173976591932999	0	30	False
BAK1+KLF1	128	additive	zero_effect	zero_effect_diagnostic	O	0.027129018547027699	0.0252116208878344	-0.0019173976591932999	0	30	False
BAK1+KLF1	128	additive	zero_effect	zero_effect_diagnostic	D	0.027129018547027699	0.0252116208878344	-0.0019173976591932999	0	30	False
BAK1+KLF1	135	additive	zero_effect	zero_effect_diagnostic	S	0.027104252768413599	0.027104252768413599	0	0	30	False
BAK1+KLF1	135	additive	zero_effect	zero_effect_diagnostic	M	0.027104252768413599	0.027104252768413599	0	0	30	False
BAK1+KLF1	135	additive	zero_effect	zero_effect_diagnostic	P	0.027104252768413599	0.025282758046174102	-0.0018214947222395001	0	30	False
BAK1+KLF1	135	additive	zero_effect	zero_effect_diagnostic	O	0.027104252768413599	0.025282758046174102	-0.0018214947222395001	0	30	False
BAK1+KLF1	135	additive	zero_effect	zero_effect_diagnostic	D	0.027104252768413599	0.025282758046174102	-0.0018214947222395001	0	30	False
BAK1+KLF1	8	compositional_ridge	CPA_0.8.8	primary_state_pair	S	0.016479802749394298	0.016479802749394298	0	0	30	False
BAK1+KLF1	8	compositional_ridge	CPA_0.8.8	primary_state_pair	M	0.016479802749394298	0.016479802749394298	-4.2789845740761244e-18	0	30	False
BAK1+KLF1	8	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.016479802749394298	0.0197670805387813	0.0032872777893868999	0	30	False
