depth_per_gemgroup	cells_per_reference	mean	allocation_min	allocation_max
8	64	0.056134144288185424	0.042467527460406683	0.078588500972285924
16	128	0.039053680673272556	0.026165782729133929	0.049722494165087776
32	256	0.028134467587314683	0.018758781379534295	0.037231552495946861
64	512	0.019456873052947445	0.012742439210814926	0.02481379798213338
128	1024	0.013622315274989721	0.010240960591057861	0.018931457826890923
135	1080	0.013370429130904252	0.0093938989562809445	0.018208989148621652
