regime	policy	root_index	family	utility
original8	D	3	TW	-0.22535628716301082
original8	D	3	PCA	-0.22593730247801924
original8	D	3	RBF	-0.22572548143742396
original8	D	3	scGen	-0.3391890188945826
original8	D	3	CPA	-0.5887500603383847
original8	D	3	CellOT	-0.3467914702020358
original8	D	4	NC	-0.3057407653779721
original8	D	4	CM	-0.22958436798727275
original8	D	4	TW	-0.22954004232602307
original8	D	4	PCA	-0.22830784489620817
original8	D	4	RBF	-0.22931374892894185
original8	D	4	scGen	-0.34588761722849726
original8	D	4	CPA	-0.5982410484586703
original8	D	4	CellOT	-0.3508893109174827
original8	D	5	NC	-0.3025338767210602
original8	D	5	CM	-0.23992112746118513
original8	D	5	TW	-0.2378993170285816
original8	D	5	PCA	-0.23870644791028225
original8	D	5	RBF	-0.23843088710502527
original8	D	5	scGen	-0.3671187439243535
original8	D	5	CPA	-0.6412575423815828
original8	D	5	CellOT	-0.3742329151940121
original8	D	6	NC	-0.2756270580139184
original8	D	6	CM	-0.2822732368813582
original8	D	6	TW	-0.27647575892638293
original8	D	6	PCA	-0.2801102833351388
original8	D	6	RBF	-0.2782020111907162
original8	D	6	scGen	-0.4346137729164785
original8	D	6	CPA	-0.7738961332494775
original8	D	6	CellOT	-0.43275803659511025
original8	D	7	NC	-0.30624202956919394
original8	D	7	CM	-0.24547558799672867
original8	D	7	TW	-0.24494343666191623
original8	D	7	PCA	-0.24405375402792776
original8	D	7	RBF	-0.24483404776573345
original8	D	7	scGen	-0.3675434632528673
original8	D	7	CPA	-0.6627954473837218
original8	D	7	CellOT	-0.37214017872846394
cap48	S	0	NC	-0.3003647506436976
cap48	S	0	CM	-0.2474119035137715
cap48	S	0	TW	-0.2470979027564143
cap48	S	0	PCA	-0.24662956146254325
cap48	S	0	RBF	-0.2467952895653965
cap48	S	0	scGen	-0.13487585068796923
cap48	S	0	CPA	-0.4452761648208672
cap48	S	0	CellOT	-0.14225353474291114
cap48	S	1	NC	-0.3246196933953161
cap48	S	1	CM	-0.2260193011298398
cap48	S	1	TW	-0.22611478178051345
cap48	S	1	PCA	-0.22604299358680072
cap48	S	1	RBF	-0.22633040142862426
cap48	S	1	scGen	-0.12146198000042556
cap48	S	1	CPA	-0.3328292012207054
cap48	S	1	CellOT	-0.12945225904992663
cap48	S	2	NC	-0.3057557804442886
cap48	S	2	CM	-0.21669815463258887
cap48	S	2	TW	-0.216725178748131
cap48	S	2	PCA	-0.21646027650097457
cap48	S	2	RBF	-0.21683501952315706
cap48	S	2	scGen	-0.11444676663766339
cap48	S	2	CPA	-0.3203016259300325
cap48	S	2	CellOT	-0.12118628312046538
cap48	S	3	NC	-0.2861264156785637
cap48	S	3	CM	-0.22191442339544887
cap48	S	3	TW	-0.22177048120200615
cap48	S	3	PCA	-0.2218981602532405
cap48	S	3	RBF	-0.22160599990155108
cap48	S	3	scGen	-0.11905641316779873
cap48	S	3	CPA	-0.35000336950504796
cap48	S	3	CellOT	-0.12795317152929508
cap48	S	4	NC	-0.3057407653779721
cap48	S	4	CM	-0.22560675962266094
cap48	S	4	TW	-0.22563604594766207
cap48	S	4	PCA	-0.22530664070837694
cap48	S	4	RBF	-0.22565686364716464
cap48	S	4	scGen	-0.11970569763253543
cap48	S	4	CPA	-0.3521109069343429
cap48	S	4	CellOT	-0.1270470255600359
cap48	S	5	NC	-0.3025338767210602
cap48	S	5	CM	-0.2364169818696481
cap48	S	5	TW	-0.23619532577442362
cap48	S	5	PCA	-0.2360760046915115
cap48	S	5	RBF	-0.23603832018461002
cap48	S	5	scGen	-0.12603013385839199
cap48	S	5	CPA	-0.38788328572644576
cap48	S	5	CellOT	-0.13227735917405395
cap48	S	6	NC	-0.2756270580139184
cap48	S	6	CM	-0.27876275569047304
cap48	S	6	TW	-0.27807736269975075
cap48	S	6	PCA	-0.2777245691414646
cap48	S	6	RBF	-0.27715764606537824
cap48	S	6	scGen	-0.15328727451354404
cap48	S	6	CPA	-0.509121970612504
cap48	S	6	CellOT	-0.1600990341470394
cap48	S	7	NC	-0.30624202956919394
cap48	S	7	CM	-0.24143128839642256
cap48	S	7	TW	-0.2414056533599338
cap48	S	7	PCA	-0.24132974966351137
cap48	S	7	RBF	-0.24126482686603237
cap48	S	7	scGen	-0.12730358094167896
cap48	S	7	CPA	-0.4183070221347979
cap48	S	7	CellOT	-0.13420583677741957
cap48	O	0	NC	-0.3003647506436976
cap48	O	0	CM	-0.2474119035137715
cap48	O	0	TW	-0.2470979027564143
cap48	O	0	PCA	-0.24662956146254325
cap48	O	0	RBF	-0.2467952895653965
cap48	O	0	scGen	-0.3680905658682588
cap48	O	0	CPA	-0.6825410656013955
cap48	O	0	CellOT	-0.3737357679530579
cap48	O	1	NC	-0.3246196933953161
cap48	O	1	CM	-0.2260193011298398
cap48	O	1	TW	-0.22611478178051345
cap48	O	1	PCA	-0.22604299358680072
cap48	O	1	RBF	-0.22633040142862426
cap48	O	1	scGen	-0.33817372889308245
cap48	O	1	CPA	-0.5528204134121507
cap48	O	1	CellOT	-0.3444962061815424
cap48	O	2	NC	-0.3057557804442885
cap48	O	2	CM	-0.21669815463258887
cap48	O	2	TW	-0.216725178748131
cap48	O	2	PCA	-0.21646027650097455
cap48	O	2	RBF	-0.21683501952315706
cap48	O	2	scGen	-0.3224838949406872
cap48	O	2	CPA	-0.532317869242701
cap48	O	2	CellOT	-0.3283971631154527
cap48	O	3	NC	-0.2861264156785637
cap48	O	3	CM	-0.22191442339544887
cap48	O	3	TW	-0.22177048120200615
cap48	O	3	PCA	-0.2218981602532405
cap48	O	3	RBF	-0.22160599990155108
cap48	O	3	scGen	-0.32697244742057946
cap48	O	3	CPA	-0.5613537114978081
cap48	O	3	CellOT	-0.33442189936059435
cap48	O	4	NC	-0.3057407653779722
cap48	O	4	CM	-0.22560675962266094
cap48	O	4	TW	-0.22563604594766204
cap48	O	4	PCA	-0.22530664070837694
cap48	O	4	RBF	-0.22565686364716464
cap48	O	4	scGen	-0.33436518208217864
cap48	O	4	CPA	-0.5697668411648986
cap48	O	4	CellOT	-0.3400508277655385
cap48	O	5	NC	-0.3025338767210602
cap48	O	5	CM	-0.2364169818696481
cap48	O	5	TW	-0.23619532577442362
cap48	O	5	PCA	-0.2360760046915115
cap48	O	5	RBF	-0.23603832018461002
cap48	O	5	scGen	-0.35491604903702817
cap48	O	5	CPA	-0.6202061568045801
cap48	O	5	CellOT	-0.35974196590543733
cap48	O	6	NC	-0.2756270580139184
cap48	O	6	CM	-0.27876275569047304
cap48	O	6	TW	-0.27807736269975075
cap48	O	6	PCA	-0.27772456914146465
cap48	O	6	RBF	-0.2771576460653782
cap48	O	6	scGen	-0.4013230652302017
cap48	O	6	CPA	-0.7613548832403466
cap48	O	6	CellOT	-0.4070088220269174
cap48	O	7	NC	-0.30624202956919394
cap48	O	7	CM	-0.24143128839642256
cap48	O	7	TW	-0.2414056533599338
cap48	O	7	PCA	-0.24132974966351137
cap48	O	7	RBF	-0.24126482686603237
cap48	O	7	scGen	-0.3552085647665495
cap48	O	7	CPA	-0.6495292475543836
cap48	O	7	CellOT	-0.36046535951990827
cap48	D	0	NC	-0.3003647506436976
cap48	D	0	CM	-0.2474119035137715
cap48	D	0	TW	-0.2470979027564143
cap48	D	0	PCA	-0.24662956146254325
cap48	D	0	RBF	-0.24679528956539645
cap48	D	0	scGen	-0.37950221766681397
cap48	D	0	CPA	-0.6899025318289707
cap48	D	0	CellOT	-0.3868799017172098
cap48	D	1	NC	-0.3246196933953161
cap48	D	1	CM	-0.2260193011298398
cap48	D	1	TW	-0.22611478178051345
cap48	D	1	PCA	-0.22604299358680072
cap48	D	1	RBF	-0.22633040142862426
cap48	D	1	scGen	-0.3492546220576549
cap48	D	1	CPA	-0.5606218432390165
cap48	D	1	CellOT	-0.3572449011048069
cap48	D	2	NC	-0.3057557804442885
cap48	D	2	CM	-0.21669815463258887
cap48	D	2	TW	-0.216725178748131
cap48	D	2	PCA	-0.21646027650097455
cap48	D	2	RBF	-0.21683501952315706
cap48	D	2	scGen	-0.33358642161185
cap48	D	2	CPA	-0.5394412808226304
cap48	D	2	CellOT	-0.3403259380907904
cap48	D	3	NC	-0.2861264156785637
cap48	D	3	CM	-0.22191442339544884
cap48	D	3	TW	-0.22177048120200615
cap48	D	3	PCA	-0.2218981602532405
cap48	D	3	RBF	-0.22160599990155105
cap48	D	3	scGen	-0.3377785482872777
cap48	D	3	CPA	-0.5687255046035895
cap48	D	3	CellOT	-0.3466753066512229
cap48	D	4	NC	-0.3057407653779721
cap48	D	4	CM	-0.22560675962266094
cap48	D	4	TW	-0.22563604594766207
cap48	D	4	PCA	-0.22530664070837694
cap48	D	4	RBF	-0.22565686364716464
cap48	D	4	scGen	-0.3441166520026397
