allocation	depth_per_gemgroup	model_a	model_b	pair_role	pattern	S_margin	margin	displacement	strict_crossing
0	16	compositional_ridge	CPA_0.8.8	primary_state_pair	P	0.05194662987432027	0.053113782854151005	0.001167152979830735	False
0	16	compositional_ridge	CPA_0.8.8	primary_state_pair	O	0.05194662987432027	0.050779476894489604	-0.0011671529798306657	False
0	16	compositional_ridge	CPA_0.8.8	primary_state_pair	D	0.05194662987432027	0.05194662987432031	4.163336342344337e-17	False
0	16	compositional_ridge	zero_effect	zero_effect_diagnostic	S	0.08820666554941392	0.08820666554941392	0.0	False
0	16	compositional_ridge	zero_effect	zero_effect_diagnostic	M	0.08820666554941392	0.08820666554941392	0.0	False
0	16	compositional_ridge	zero_effect	zero_effect_diagnostic	P	0.08820666554941392	0.07367442054961412	-0.014532244999799798	False
0	16	compositional_ridge	zero_effect	zero_effect_diagnostic	O	0.08820666554941392	0.07367442054961412	-0.014532244999799798	False
0	16	compositional_ridge	zero_effect	zero_effect_diagnostic	D	0.08820666554941392	0.07367442054961412	-0.014532244999799798	False
0	16	CPA_0.8.8	zero_effect	zero_effect_diagnostic	S	0.03626003567509366	0.03626003567509366	0.0	False
0	16	CPA_0.8.8	zero_effect	zero_effect_diagnostic	M	0.03626003567509366	0.03626003567509366	0.0	False
0	16	CPA_0.8.8	zero_effect	zero_effect_diagnostic	P	0.03626003567509366	0.02056063769546311	-0.015699397979630547	False
0	16	CPA_0.8.8	zero_effect	zero_effect_diagnostic	O	0.03626003567509366	0.02289494365512451	-0.013365092019969146	False
0	16	CPA_0.8.8	zero_effect	zero_effect_diagnostic	D	0.03626003567509366	0.021727790675293804	-0.014532244999799854	False
0	32	additive	compositional_ridge	primary_state_pair	S	-0.0007912360649253228	-0.0007912360649253228	0.0	False
0	32	additive	compositional_ridge	primary_state_pair	M	-0.0007912360649253228	-0.0007912360649253228	0.0	False
0	32	additive	compositional_ridge	primary_state_pair	P	-0.0007912360649253228	-0.0007912360649253158	6.938893903907228e-18	False
0	32	additive	compositional_ridge	primary_state_pair	O	-0.0007912360649253228	-0.0007912360649253158	6.938893903907228e-18	False
0	32	additive	compositional_ridge	primary_state_pair	D	-0.0007912360649253228	-0.0007912360649253158	6.938893903907228e-18	False
0	32	additive	CPA_0.8.8	primary_state_pair	S	0.04861055593727298	0.04861055593727298	0.0	False
0	32	additive	CPA_0.8.8	primary_state_pair	M	0.04861055593727298	0.04861055593727298	0.0	False
0	32	additive	CPA_0.8.8	primary_state_pair	P	0.04861055593727298	0.04909934529590354	0.0004887893586305592	False
0	32	additive	CPA_0.8.8	primary_state_pair	O	0.04861055593727298	0.04812176657864248	-0.0004887893586305037	False
